epoch,total,classification,regression,ranking,fusion,weight_regularizer,learning_rate,validation_total,validation_classification,validation_regression,validation_ranking,validation_fusion,validation_weight_regularizer,validation_best_gain,validation_best_coverage,validation_harm_cost_fraction,validation_probability_threshold,validation_utility_threshold,validation_constraint_feasible
1,0.7365415288523942,0.536508168790125,0.06872270929756918,0.08197103301770385,0.1330826480412347,0.060483345150807534,0.001953503690479756,1.1347226966724786,0.8218447889063261,0.05078450354089379,0.09606383827923318,0.21494825319137295,0.24260721213363512,-0.005483584012836218,0.15426612171521978,1.3035828498093773,0.9,0.1,False
2,0.5832820510050057,0.4237563452825768,0.029826913584443504,0.06915299835322836,0.11769361427873698,0.048152063772729986,0.001818566144655606,0.9513736489067318,0.6579272842604655,0.045842839388194424,0.09834697695055312,0.21183503096106487,0.17051585280479295,-0.008609437383711338,0.12379321967962557,1.6210580265806682,0.9,-0.05,False
3,0.545439089236293,0.3924946570020331,0.02445610624496064,0.06470621233647537,0.11547707203562467,0.04531392140523722,0.0016083959896773324,0.9963205850321788,0.7105924265030242,0.0365247853172279,0.09247204847046253,0.20652096567599085,0.18913393091336583,-0.0032419762574136257,0.07392726275463049,1.282276168370468,0.9,0.1,False
4,0.5191985392925208,0.36747204525446864,0.02202822489368261,0.06118857614221456,0.11703190441984314,0.04191672047786133,0.0013435661446557768,0.8652123507030003,0.5970934258556516,0.03194307074536884,0.08964445696973274,0.20720149419308648,0.11267390234125406,-0.002397799165919423,0.08515933547496192,1.1976861713536233,0.9,0.1,False
5,0.49647762070898044,0.3496812957253499,0.019556656518243384,0.05812981781000945,0.11438146105214621,0.040520250177119355,0.0010499999999996506,0.9294644389618835,0.643591593606662,0.04124935431426467,0.10188840780178032,0.21169664283468145,0.14039712136637297,-0.005924148950725794,0.060922849421119966,1.5405338749705846,0.9,0.1,False
6,0.4744672708708451,0.33142441541989875,0.01813775710738983,0.05503762598185581,0.11238627656358106,0.03914167633351113,0.0007564338553434991,0.8578209706144378,0.5889745677271946,0.034207690730015235,0.09077201125165008,0.20809483932513356,0.10477358022303354,-0.004085541237145662,0.09110821426112002,1.3145443374498187,0.9,0.1,False
7,0.46158223626202116,0.31815933529959617,0.016583313731088914,0.05337474761054234,0.11416122754691142,0.03813159503799134,0.0004916040103220251,0.9201355925164765,0.6414028935968782,0.037721237429411796,0.10170248156378181,0.20990060190978674,0.12272930275963491,-0.005124351941049099,0.07967438224808178,1.4163513427368932,0.9,0.1,False
8,0.4487968163683893,0.30782548825013184,0.015517328147270675,0.05150736967716454,0.11299704195494571,0.03669395733247729,0.000281433855343765,0.9035069413224606,0.6246229321410885,0.03571189927908207,0.10132025563707488,0.20938307619903365,0.1315746047388966,-0.007984241470694542,0.14354025943587134,1.5012491008014865,0.9,0.1,False
9,0.4414778816710484,0.29957957205727237,0.014947016325533965,0.04990665512466574,0.11469164757491881,0.036282543288639155,0.00014649630951960396,0.8901589606885655,0.6143787851175205,0.036030887359164196,0.09992915875798426,0.20951798616053555,0.11632227600555031,-0.004815695341676474,0.08648345634206778,1.3745632268406873,0.9,0.1,False
10,0.4351017214704813,0.2972928606064993,0.014498965468335498,0.049330657096959454,0.11093844379624095,0.03644142808640517,0.0001,0.8830784145260835,0.6101321243560559,0.035316582268973586,0.09794696562406416,0.20846752571970317,0.11166866974225725,-0.004442180041223764,0.07896157995648281,1.3689056033494937,0.9,0.1,False
