model,mode,size,n_seeds,trainable_params,new_bad3_pct_mean,harmful_rate_mean,delta_lt1_mean,pct_anchors_improved_mean,modified_pixel_ratio_mean
EGBM-v3-CARE-S,calibration_only,1session,2,10856,0.0,0.0,-0.0,0.0,0.0
EGBM-v3-CARE-S,calibration_only,2session,3,10856,1.9397,0.3386,-0.0514,0.0,0.3629
EGBM-v3-CARE-S,calibration_only,4session,4,10856,0.622,0.3481,-0.0568,0.0,0.185
EGBM-v3-CARE-S,calibration_only,8session,3,10856,0.0,0.0389,-0.0001,0.0,0.0009
EGBM-v3-CARE-S,full,1session,2,4420122,1.5155,0.4299,-0.2848,20.0,0.2889
EGBM-v3-CARE-S,full,2session,3,4420122,4.003,0.4728,-0.3042,10.0,0.3093
EGBM-v3-CARE-S,full,4session,4,4420122,3.4022,0.6113,-0.2268,8.75,0.4001
EGBM-v3-CARE-S,full,8session,3,4420122,3.6104,0.6725,-0.3001,8.3333,0.4222
EGBM-v3-CARE-S,head_only,1session,2,94577,20.1083,0.8214,-1.104,5.0,0.8443
EGBM-v3-CARE-S,head_only,2session,3,94577,19.5763,0.8199,-1.0642,5.0,0.8506
EGBM-v3-CARE-S,head_only,4session,4,94577,10.5315,0.7415,-0.5661,2.5,0.717
EGBM-v3-CARE-S,head_only,8session,3,94577,0.086,0.2467,-0.0057,0.0,0.0752
EGBM-v3-CARE-S,scratch,4session,4,4420122,1.2134,0.1299,-0.0294,10.0,0.1319
EGBM-v3-CARE-S,scratch,8session,3,4420122,2.3552,0.1752,-0.0998,6.6667,0.1528
EGBM-v3-CARE-S,zero_shot,0session,1,0,23.5192,0.8336,-1.4403,5.0,0.8625
v3.2c,calibration_only,1session,2,65,0.1128,0.0833,-0.0015,0.0,0.0015
v3.2c,calibration_only,2session,3,65,0.1079,0.0833,-0.0015,0.0,0.0015
v3.2c,calibration_only,4session,3,65,0.0752,0.0528,-0.0015,0.0,0.0012
v3.2c,calibration_only,8session,3,65,0.0,0.0,0.0,0.0,0.0
v3.2c,full,1session,2,194818,0.0,0.0306,0.0,0.0,0.0016
v3.2c,full,2session,3,194818,0.0,0.0278,0.0,0.0,0.0014
v3.2c,full,4session,3,194818,0.4305,0.1494,-0.0513,0.0,0.01
v3.2c,full,8session,3,194818,0.345,0.1706,-0.0473,0.0,0.0103
v3.2c,head_only,1session,2,130,0.2301,0.1242,-0.0081,0.0,0.0044
v3.2c,head_only,2session,3,130,0.1996,0.1175,-0.0055,0.0,0.0039
v3.2c,head_only,4session,3,130,0.1569,0.0926,-0.004,0.0,0.0034
v3.2c,head_only,8session,3,130,0.0752,0.0847,-0.0015,0.0,0.0015
v3.2c,scratch,4session,3,194818,0.0,0.0,0.0,0.0,0.0
v3.2c,scratch,8session,3,194818,0.0096,0.0325,-0.0014,3.3333,0.0094
v3.2c,zero_shot,0session,1,0,15.4953,0.7073,-0.8674,5.0,0.51
