model,mode,size,delta_<1,delta_1-3,delta_3-6,delta_6-12,delta_>12
EGBM-v3-CARE-S,calibration_only,1session,-0.0,-0.0,0.0,0.0,0.001
EGBM-v3-CARE-S,calibration_only,2session,-0.051,-0.035,0.04,0.037,0.236
EGBM-v3-CARE-S,calibration_only,4session,-0.057,-0.014,0.078,0.046,0.467
EGBM-v3-CARE-S,calibration_only,8session,-0.0,-0.0,0.001,0.0,0.013
EGBM-v3-CARE-S,full,1session,-0.285,0.119,0.207,0.576,0.792
EGBM-v3-CARE-S,full,2session,-0.304,-0.031,0.264,0.568,0.927
EGBM-v3-CARE-S,full,4session,-0.227,-0.031,0.294,0.405,1.141
EGBM-v3-CARE-S,full,8session,-0.3,0.015,0.178,0.346,0.95
EGBM-v3-CARE-S,head_only,1session,-1.104,-0.434,0.38,0.676,1.19
EGBM-v3-CARE-S,head_only,2session,-1.064,-0.417,0.356,0.618,1.178
EGBM-v3-CARE-S,head_only,4session,-0.566,-0.214,0.221,0.373,0.754
EGBM-v3-CARE-S,head_only,8session,-0.006,-0.003,0.025,0.022,0.127
EGBM-v3-CARE-S,scratch,4session,-0.029,0.04,0.07,0.15,0.116
EGBM-v3-CARE-S,scratch,8session,-0.1,0.027,0.079,0.159,0.287
EGBM-v3-CARE-S,zero_shot,0session,-1.44,-0.616,0.48,0.762,1.188
v3.2c,calibration_only,1session,-0.001,-0.003,0.003,-0.007,0.0
v3.2c,calibration_only,2session,-0.001,-0.002,0.003,-0.007,0.0
v3.2c,calibration_only,4session,-0.001,-0.001,0.002,-0.005,0.007
v3.2c,calibration_only,8session,0.0,0.0,0.0,0.0,0.0
v3.2c,full,1session,0.0,-0.0,0.006,0.007,0.13
v3.2c,full,2session,0.0,-0.0,0.006,0.007,0.109
v3.2c,full,4session,-0.051,-0.018,0.043,0.02,0.227
v3.2c,full,8session,-0.047,-0.016,0.039,0.019,0.188
v3.2c,head_only,1session,-0.008,-0.01,0.015,0.014,0.109
v3.2c,head_only,2session,-0.006,-0.008,0.012,0.007,0.087
v3.2c,head_only,4session,-0.004,-0.004,0.009,-0.002,0.072
v3.2c,head_only,8session,-0.001,-0.002,0.002,-0.007,0.029
v3.2c,scratch,4session,0.0,0.0,0.0,0.0,0.0
v3.2c,scratch,8session,-0.001,0.025,0.088,0.1,0.022
v3.2c,zero_shot,0session,-0.867,-0.557,0.493,1.231,1.584
