model,mode,size,n_seeds,train_anchors,trainable_params,refined_mae_mean,refined_mae_std,delta_mae_mean,delta_mae_std,refined_bad3_mean,refined_bad3_std,new_bad3_pct_mean,new_bad3_pct_std,harmful_rate_mean,harmful_rate_std,pct_anchors_improved_mean,pct_anchors_improved_std,modified_pixel_ratio_mean,modified_pixel_ratio_std,delta_lt1_mean,delta_lt1_std,delta_gt6_pooled_mean,delta_gt6_pooled_std,selectivity_mean,selectivity_std,combined_score_mean,combined_score_std
EGBM-v3-CARE-S,head_only,4session,4,2;11;11;4,94577,4.1221,0.4422,-0.6211,0.4422,57.4925,5.9814,10.5315,8.6479,0.7415,0.0752,2.5,2.5,0.717,0.1111,-0.5661,0.5224,0.4635,0.3468,-0.1026,0.1791,4.7035,0.6523
EGBM-v3-CARE-S,head_only,8session,3,21;30;23,94577,3.5261,0.0238,-0.025,0.0238,50.4097,0.0588,0.086,0.0623,0.2467,0.0766,0.0,0.0,0.0752,0.0958,-0.0057,0.0052,0.0472,0.0318,0.0416,0.0266,3.6511,0.0624
EGBM-v3-CARE-S,scratch,4session,4,2;11;11;4,4420122,3.4723,0.0534,0.0289,0.0534,48.5897,5.1638,1.2134,1.8789,0.1299,0.13,10.0,10.6066,0.1319,0.1323,-0.0294,0.0503,0.1417,0.1614,0.1123,0.1179,3.5615,0.0973
EGBM-v3-CARE-S,scratch,8session,3,21;30;23,4420122,3.5145,0.0146,-0.0134,0.0146,52.2129,2.1126,2.3552,2.752,0.1752,0.1253,6.6667,9.4281,0.1528,0.1774,-0.0998,0.1193,0.1893,0.2189,0.0895,0.0997,3.6493,0.1135
EGBM-v3-CARE-S,zero_shot,0session,1,0,0,4.7234,0.0,-1.2223,0.0,66.0663,0.0,23.5192,0.0,0.8336,0.0,5.0,0.0,0.8625,0.0,-1.4403,0.0,0.8634,0.0,-0.5768,0.0,5.6106,0.0
v3.2c,calibration_only,1session,2,0;2,65,3.503,0.0,-0.0019,0.0,50.4763,0.0,0.1128,0.0,0.0833,0.0,0.0,0.0,0.0015,0.0,-0.0015,0.0,-0.0052,0.0,-0.0066,0.0,3.5469,0.0
v3.2c,calibration_only,2session,3,0;1;2,65,3.5029,0.0001,-0.0018,0.0001,50.4732,0.0032,0.1079,0.0049,0.0833,0.0,0.0,0.0,0.0015,0.0,-0.0015,0.0,-0.0052,0.0,-0.0066,0.0,3.5467,0.0002
v3.2c,calibration_only,4session,3,2;11;4,65,3.5018,0.0008,-0.0007,0.0008,50.47,0.0103,0.0752,0.0538,0.0528,0.0375,0.0,0.0,0.0012,0.0008,-0.0015,0.0012,-0.0017,0.0049,-0.0032,0.0059,3.5297,0.0205
v3.2c,calibration_only,8session,3,21;30;23,65,3.5011,0.0,0.0,0.0,50.4574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5011,0.0
v3.2c,full,1session,2,0;2,194818,3.4982,0.0,0.0029,0.0,50.3998,0.0,0.0,0.0,0.0306,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0361,0.0,0.0361,0.0,3.5135,0.0
v3.2c,full,2session,3,0;1;2,194818,3.4984,0.0002,0.0027,0.0002,50.403,0.0032,0.0,0.0,0.0278,0.0028,0.0,0.0,0.0014,0.0002,0.0,0.0,0.031,0.0052,0.031,0.0052,3.5123,0.0012
v3.2c,full,4session,3,2;11;4,194818,3.5074,0.0115,-0.0063,0.0115,50.6446,0.3284,0.4305,0.5951,0.1494,0.1541,0.0,0.0,0.01,0.0116,-0.0513,0.0715,0.0692,0.0542,0.0179,0.0181,3.5907,0.1004
v3.2c,full,8session,3,21;30;23,194818,3.5073,0.0115,-0.0062,0.0115,50.5867,0.2415,0.345,0.4552,0.1706,0.1508,0.0,0.0,0.0103,0.0117,-0.0473,0.0638,0.059,0.036,0.0116,0.0281,3.5995,0.0958
v3.2c,head_only,1session,2,0;2,130,3.502,0.0,-0.001,0.0,50.5295,0.0,0.2301,0.0,0.1242,0.0,0.0,0.0,0.0044,0.0,-0.0081,0.0,0.0361,0.0,0.028,0.0,3.5687,0.0
v3.2c,head_only,2session,3,0;1;2,130,3.5017,0.0002,-0.0007,0.0003,50.5123,0.0172,0.1996,0.0305,0.1175,0.0067,0.0,0.0,0.0039,0.0005,-0.0055,0.0026,0.0258,0.0103,0.0203,0.0078,3.5645,0.0042
v3.2c,head_only,4session,3,2;11;4,130,3.5012,0.0003,-0.0002,0.0003,50.4844,0.0112,0.1569,0.0173,0.0926,0.0209,0.0,0.0,0.0034,0.0003,-0.004,0.0014,0.0155,0.0126,0.0115,0.0114,3.5507,0.0107
v3.2c,head_only,8session,3,21;30;23,130,3.5025,0.0,-0.0014,0.0,50.47,0.0,0.0752,0.0393,0.0847,0.012,0.0,0.0,0.0015,0.0006,-0.0015,0.0,0.0017,0.0024,0.0002,0.0024,3.5463,0.0053
v3.2c,scratch,4session,3,2;11;4,194818,3.5011,0.0,0.0,0.0,50.4574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5011,0.0
v3.2c,scratch,8session,3,21;30;23,194818,3.4843,0.0222,0.0168,0.0222,50.2965,0.2116,0.0096,0.0136,0.0325,0.0456,3.3333,4.714,0.0094,0.0112,-0.0014,0.0018,0.0817,0.1014,0.0803,0.1021,3.5008,0.0387
v3.2c,zero_shot,0session,1,0,0,4.6002,0.0,-1.0991,0.0,60.9171,0.0,15.4953,0.0,0.7073,0.0,5.0,0.0,0.51,0.0,-0.8674,0.0,1.3144,0.0,0.4471,0.0,5.2638,0.0
