model,mode,size,n_seeds,trainable_params,refined_mae_mean
EGBM-v3-CARE-S,calibration_only,1session,2,10856,3.5014
EGBM-v3-CARE-S,calibration_only,2session,3,10856,3.6609
EGBM-v3-CARE-S,calibration_only,4session,4,10856,3.5343
EGBM-v3-CARE-S,calibration_only,8session,3,10856,3.501
EGBM-v3-CARE-S,full,1session,2,4420122,3.5044
EGBM-v3-CARE-S,full,2session,3,4420122,3.7485
EGBM-v3-CARE-S,full,4session,4,4420122,4.0937
EGBM-v3-CARE-S,full,8session,3,4420122,4.0695
EGBM-v3-CARE-S,head_only,1session,2,94577,4.5807
EGBM-v3-CARE-S,head_only,2session,3,94577,4.5404
EGBM-v3-CARE-S,head_only,4session,4,94577,4.1221
EGBM-v3-CARE-S,head_only,8session,3,94577,3.5261
EGBM-v3-CARE-S,scratch,4session,4,4420122,3.4723
EGBM-v3-CARE-S,scratch,8session,3,4420122,3.5145
EGBM-v3-CARE-S,zero_shot,0session,1,0,4.7234
v3.2c,calibration_only,1session,2,65,3.503
v3.2c,calibration_only,2session,3,65,3.5029
v3.2c,calibration_only,4session,3,65,3.5018
v3.2c,calibration_only,8session,3,65,3.5011
v3.2c,full,1session,2,194818,3.4982
v3.2c,full,2session,3,194818,3.4984
v3.2c,full,4session,3,194818,3.5074
v3.2c,full,8session,3,194818,3.5073
v3.2c,head_only,1session,2,130,3.502
v3.2c,head_only,2session,3,130,3.5017
v3.2c,head_only,4session,3,130,3.5012
v3.2c,head_only,8session,3,130,3.5025
v3.2c,scratch,4session,3,194818,3.5011
v3.2c,scratch,8session,3,194818,3.4843
v3.2c,zero_shot,0session,1,0,4.6002
