policy,name,maximum_update_px,patch_mean_maximum_update_px,patch_kernel,harmful_probability_threshold,predicted_utility_ceiling_px,uncertainty_floor_px,require_harmful_class,p4_logic,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,epe_gain,gain_retained,veto_rate_conditional,harmful_veto_recall,harmful_veto_precision,useful_proposal_retention,conditional_harmful_acceptance,conditional_helpful_rejection,oracle_veto_recovery,conditional_count
C0_raw_error,C0_raw_error,,,5,,,,False,any,0.016750629304124312,0.6154365347202922,0.007865986991268665,0.005294962348633444,0.0030469021294265985,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25187
C1_pixel_max_0.1,C1_pixel_max_0.1,0.1,,5,,,,False,any,0.0008346384951235165,0.4541832669322709,0.00040104926163842176,0.00022311406063419998,-4.8358151616412215e-06,-0.0015871252033130717,0.9501727081430897,1.0,0.33682934982450274,0.0,0.0,1.0,-1.5654134751419782,25187
C1_patch_max_0.1,C1_patch_max_0.1,,0.1,5,,,,False,any,0.0009304057806197606,0.5039313795568263,0.0004948822777929918,0.0002696830390220237,3.820822712441441e-06,0.0012540024425269241,0.9444554730615,0.9796551296365216,0.3319741045905499,0.017093420777227378,0.020344870363478477,0.9829065792227726,-1.5609729832571673,25187
C1_pixel_max_0.25,C1_pixel_max_0.25,0.25,,5,,,,False,any,0.0045595868705711785,0.51487747957993,0.002596046780276439,0.0014770011802108254,5.606617560260929e-05,0.018401042508431498,0.7277960852820899,0.7134350576851507,0.31373083847035077,0.19102769831856556,0.28656494231484925,0.8089723016814344,-1.534173310115884,25187
C1_patch_max_0.25,C1_patch_max_0.25,,0.25,5,,,,False,any,0.005300453231979623,0.5568381430363865,0.0028365373253837075,0.0015958563340066141,0.00019953514856752008,0.06548787591187608,0.6835669194425695,0.6908572137451929,0.32345937155137366,0.25521523756366427,0.3091427862548071,0.7447847624363357,-1.460579748800332,25187
C1_pixel_max_0.5,C1_pixel_max_0.5,0.5,,5,,,,False,any,0.01061686767820862,0.5679654221999498,0.005777333557605826,0.0035621793169790497,0.000585236179176718,0.19207580497075386,0.36618096637154085,0.3188190050862176,0.2786511980917272,0.5608037396218517,0.6811809949137824,0.43919626037814835,-1.2627313091063224,25187
C1_patch_max_0.5,C1_patch_max_0.5,,0.5,5,,,,False,any,0.011186816037030017,0.5811188395458058,0.00589479859264377,0.003626124779839942,0.000797874468844384,0.26186416069574814,0.3321554770318021,0.30095521647438284,0.2899832655988525,0.6086653177980883,0.6990447835256172,0.3913346822019117,-1.153656791562248,25187
C1_pixel_max_1.0,C1_pixel_max_1.0,1.0,,5,,,,False,any,0.01520239152193503,0.5904457762806772,0.007683186374611983,0.005112161731976763,0.0017193412641063333,0.5642915955524632,0.09242863381903363,0.03808460488773105,0.13187285223367698,0.8612990999790693,0.961915395112269,0.13870090002093072,-0.6809830022688563,25187
C1_patch_max_1.0,C1_patch_max_1.0,,1.0,5,,,,False,any,0.016301055102766943,0.6113173677124556,0.007774934212629785,0.005203909569994565,0.0027370043098926544,0.8982908520293481,0.02683924246635169,0.01873216722491006,0.22337278106508876,0.9642782390288146,0.9812678327750899,0.03572176097118537,-0.15896457409648534,25187
C1_pixel_max_2.0,C1_pixel_max_2.0,2.0,,5,,,,False,any,0.01672003697681301,0.6160852790262917,0.00784722038803775,0.00527619574540253,0.0030739482026547194,1.008876580894054,0.0018263389843967126,0.004217838977794318,0.7391304347826086,0.9991627712272378,0.9957821610222057,0.0008372287727621573,0.013873500362656324,25187
