policy,name,maximum_update_px,patch_mean_maximum_update_px,patch_kernel,harmful_probability_threshold,predicted_utility_ceiling_px,uncertainty_floor_px,require_harmful_class,p4_logic,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,epe_gain,gain_retained,veto_rate_conditional,harmful_veto_recall,harmful_veto_precision,useful_proposal_retention,conditional_harmful_acceptance,conditional_helpful_rejection,oracle_veto_recovery,conditional_count,method
C0_raw_error,C0_raw_error,,,5,,,,False,any,0.06309865315755209,0.7731768461271835,0.0199125623957539,0.009985143506436294,0.0332624651491642,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,124057,C0_raw_error
C1_pixel_max_2.0,C1_pixel_max_2.0,2.0,,5,,,,False,any,0.05596110026041667,0.7522540536610194,0.01975457923311327,0.009827160343795667,0.017452826723456383,0.5247003385103863,0.11311735734380164,0.042393398883344036,0.06114159481222832,0.8500707213578501,0.957606601116656,0.14992927864214992,-2.8280138712946963,124057,C1_magnitude_veto
C2_utility_0.0,C2_utility_0.0,,,5,,0.0,,False,any,0.05311787923177083,0.8165827221019974,0.016293532716186287,0.00748232563367958,0.033023469150066376,0.9928148440584288,0.15817728947177506,0.27417362517910965,0.28278041074249605,0.915214217274262,0.7258263748208904,0.08478578272573802,-0.04275138889536755,124057,C2_p4_veto
C2_utility_0.0,C2_utility_0.0,,,5,,0.0,,False,any,0.05311787923177083,0.8165827221019974,0.016293532716186287,0.00748232563367958,0.033023469150066376,0.9928148440584288,0.15817728947177506,0.27417362517910965,0.28278041074249605,0.915214217274262,0.7258263748208904,0.08478578272573802,-0.04275138889536755,124057,cascade_balanced
