backbone,sequence,conditional_count,helpful_fraction,harmful_fraction,indifferent_fraction,utility_mean,utility_std,harmful_probability_mean,predicted_utility_mean,uncertainty_mean,update_magnitude_mean,update_utility_correlation
ALL,ALL,25187,0.5690634057251757,0.3200460555048239,0.1108905387700004,0.18189282715320587,0.5072328448295593,0.5509980916976929,0.18127299845218658,0.2787151038646698,0.4827118217945099,0.43669359010890996
S2M2-S,ALL,7498,0.5593491597759402,0.32288610296078957,0.1177647372632702,0.1892891675233841,0.4835430681705475,0.5596529245376587,0.15775324404239655,0.2746630311012268,0.45992666482925415,0.5707966066554891
S2M2-S,dataset_7_keyframe_1,6046,0.5831955011577903,0.31161098246774727,0.10519351637446245,0.21932844817638397,0.49165982007980347,0.576874315738678,0.16701777279376984,0.30272969603538513,0.4815382957458496,0.6156723827308787
S2M2-S,dataset_7_keyframe_2,1452,0.46005509641873277,0.36983471074380164,0.17011019283746556,0.06420818716287613,0.4259718358516693,0.48794466257095337,0.11917654424905777,0.15779583156108856,0.3699376583099365,0.2694650893118658
RAFT-Stereo,ALL,9407,0.5534176676942703,0.3364515786116722,0.11013075369405761,0.15410061180591583,0.5495393872261047,0.5469474196434021,0.1978297084569931,0.2878682315349579,0.5113341808319092,0.3089612881072451
RAFT-Stereo,dataset_7_keyframe_1,7058,0.5558231793709266,0.33493907622555963,0.10923774440351375,0.15556684136390686,0.5493227243423462,0.5599032640457153,0.19047479331493378,0.3029022812843323,0.5051414370536804,0.2650445981697543
RAFT-Stereo,dataset_7_keyframe_2,2349,0.5461898680289485,0.34099616858237547,0.11281396338867604,0.14969505369663239,0.5501663088798523,0.5080191493034363,0.21992889046669006,0.24269573390483856,0.5299415588378906,0.44703050921967163
StereoAnywhere,ALL,8282,0.5956290751026322,0.29884085969572566,0.10553006520164211,0.2067640870809555,0.475612998008728,0.5477633476257324,0.18376058340072632,0.2719871997833252,0.47082969546318054,0.5183141646150442
StereoAnywhere,dataset_7_keyframe_1,6248,0.5960307298335468,0.2927336747759283,0.11123559539052497,0.21951456367969513,0.4822230339050293,0.579235851764679,0.17280949652194977,0.297010213136673,0.4754902720451355,0.5608451092441273
StereoAnywhere,dataset_7_keyframe_2,2034,0.5943952802359882,0.3176007866273353,0.0880039331366765,0.16759736835956573,0.45246636867523193,0.4510868191719055,0.21739991009235382,0.1951218992471695,0.45651349425315857,0.36394878333334696
