dataset,frame,label,gt_source,valid_px,valid_pixel_ratio,raw_depth_mae_mm,raw_depth_rmse_mm,raw_depth_median_abs_error_mm,max_pred_depth_mm,p99_pred_depth_mm,p999_pred_depth_mm,min_pred_disp_px,p01_pred_disp_px,near_zero_disp_count_lt_0_1,near_zero_disp_count_lt_0_5,near_zero_disp_ratio_lt_0_1,near_zero_disp_ratio_lt_0_5,near_zero_lt_0_1_error_sum_mm,near_zero_lt_0_1_error_fraction
dataset_5,keyframe_1,dataset_5/keyframe_1,float32_npy,668804,0.5102569580078125,190939.28125,31225982.0,5.877681732177734,5107348992.0,181.0781707763672,360.0616760253906,0.0,28.205215454101562,31,47,4.635139741987189e-05,7.027469931399931e-05,127692087296.0,0.999930525690227
dataset_5,keyframe_3,dataset_5/keyframe_3,float32_npy,628468,0.4794830322265625,14.837127685546875,16.48275375366211,15.669355392456055,45.231685638427734,43.58993911743164,44.4563102722168,112.91529083251953,117.1680679321289,0,0,0.0,0.0,0.0,0.0
dataset_4,keyframe_5,dataset_4/keyframe_5,float32_npy,704671,0.5376213073730469,9.622410774230957,13.942927360534668,5.388454437255859,99.4481201171875,70.24089813232422,83.60962677001953,51.35691833496094,72.71189880371094,0,0,0.0,0.0,0.0,0.0
dataset_4,keyframe_1,dataset_4/keyframe_1,float32_npy,711639,0.5429374694824218,7.649903774261475,25.341726303100586,4.435146331787109,85.37024688720703,71.80933380126953,78.5656509399414,59.82586669921875,71.12374877929688,0,0,0.0,0.0,0.0,0.0
dataset_5,keyframe_2,dataset_5/keyframe_2,float32_npy,510158,0.38921966552734377,7.289977550506592,11.94589900970459,5.800165176391602,53.977237701416016,51.368167877197266,53.05577850341797,94.62042236328125,99.42634582519531,0,0,0.0,0.0,0.0,0.0
dataset_5,keyframe_5,dataset_5/keyframe_5,float32_npy,716589,0.5467140197753906,6.969954967498779,9.162803649902344,6.376682281494141,31.28949737548828,29.978500366210938,30.440879821777344,163.22886657714844,170.3670654296875,0,0,0.0,0.0,0.0,0.0
dataset_4,keyframe_2,dataset_4/keyframe_2,float32_npy,803883,0.6133140563964844,6.698549270629883,9.96012020111084,3.6428756713867188,74.4478530883789,70.37516021728516,73.68550109863281,68.60304260253906,72.57318115234375,0,0,0.0,0.0,0.0,0.0
dataset_4,keyframe_4,dataset_4/keyframe_4,float32_npy,622708,0.4750885009765625,6.04550838470459,15.56102180480957,3.4577503204345703,53.973026275634766,51.91484832763672,53.02552032470703,94.6278076171875,98.37934875488281,0,0,0.0,0.0,0.0,0.0
dataset_4,keyframe_3,dataset_4/keyframe_3,float32_npy,699779,0.5338890075683593,4.809286594390869,8.210509300231934,2.1247024536132812,80.8138427734375,72.42334747314453,75.97820281982422,63.19894027709961,70.520751953125,0,0,0.0,0.0,0.0,0.0
dataset_5,keyframe_4,dataset_5/keyframe_4,float32_npy,753032,0.574517822265625,4.597320079803467,17.83926773071289,4.437812805175781,60.96461868286133,51.47532653808594,57.17475509643555,83.77562713623047,99.21936798095703,0,0,0.0,0.0,0.0,0.0
