budget,seed,complete,integrity_pass,manifest_sha256,failures
1x,20260722,True,True,1dcb56fdbaba3ad13afc0cfb0937043f24dd533a3e329d8e62c88389960b6132,
1x,20260723,True,True,3840e023e8084fdc9df2f80411eadb1d37f0aac7b060bae86bced0c1eee7aa65,
1x,20260724,True,True,7732900ddc26e67bfaf67deac05f34d942d223a06189b20fd213758c5fbc3a0a,
3x,20260722,True,True,0c013e231f5bf1befa1ddc22ba52b752ccab3703422b2cce767a8edad81699dc,
3x,20260723,True,True,0723241290c975678955b529150b25818d812624f797696fa4279c80a0912af4,
3x,20260724,True,True,7412939be76c9fd038b1a293418404afd074a591160e142e104fa6b53f0aaa4c,
6x,20260722,True,True,aa4edfa2b5b7094dc6761006c869c131ab27eb7853a78380fda958871a34b891,
6x,20260723,True,True,f02764b8bc7dc825a14ff958e659943a35162624187aa33b07ae01222e0e36e1,
6x,20260724,True,True,e15490c04e5d20a9cdf9740f6abee6e5025369d6f21348e2a29e0cdd56dac95d,
