mode,sequence,backbone,frame_id,step_since_reset,valid_count,historical_only_count,recurrent_only_count,raw_epe,historical_memory_epe,recurrent_memory_epe,fused_epe,historical_selection_oracle_epe,recurrent_selection_oracle_epe,convex_fusion_oracle_epe,historical_selection_gain,recurrent_selection_gain,convex_fusion_gain,fused_gain,endpoint_selection_gain,beyond_endpoint_gain_signed,interpolation_advantage,recurrent_candidate_improvement,gt_between_endpoint_fraction,fused_better_than_both_fraction,fused_worse_than_both_fraction,harmful_update_rate,clean_pixel_degradation,reset_mean,fusion_mean,temporal_weight_mean,temporal_weight_p95,recurrent_raw_difference_mean,delta_fusion_mean,delta_fusion_p95,w_star_mean,temporal_valid_count,raw_tepe,fused_tepe,raw_teper,fused_teper
clip_reset,dataset_7_keyframe_1,S2M2-S,['000002'],1,11007,0,0,0.15524321794509888,0.15802398324012756,0.15802398324012756,0.1528945118188858,0.13525556027889252,0.13525556027889252,0.13388478755950928,0.019987668842077255,0.019987668842077255,0.0213584303855896,0.0023487152066081762,0.019987668842077255,-0.017638951539993286,0.00021074771939311177,0.0,0.0883074402809143,0.04251839593052864,0.0019078768091276288,0.007904061116278172,0.008297915570437908,0.5813353061676025,0.4850960373878479,0.39079150557518005,0.9996853470802307,0.045497629791498184,0.02071368880569935,0.09170438349246979,0.4835297465324402,7310,0.04351019486784935,0.036043573170900345,3.7559213638305664,2.648648262023926
clip_reset,dataset_7_keyframe_1,S2M2-S,['000002'],2,10665,0,0,0.15303263068199158,0.158817321062088,0.1596934199333191,0.15016792714595795,0.13061745464801788,0.1266736388206482,0.12230126559734344,0.022415190935134888,0.026359008625149727,0.03073137439787388,0.002864711917936802,0.026359008625149727,-0.0234942976385355,0.0011033691698685288,-0.0008760939235799015,0.14955462515354156,0.07463666051626205,0.0013127051061019301,0.04969526454806328,0.05939961597323418,0.6315028667449951,0.5401278734207153,0.45013073086738586,0.9998810291290283,0.06812356412410736,0.040570057928562164,0.16266077756881714,0.4234580099582672,6996,0.04861792176961899,0.03486674651503563,4.264960289001465,2.652061700820923
clip_reset,dataset_7_keyframe_1,S2M2-S,['000002'],3,10325,0,0,0.16921532154083252,0.1551329791545868,0.15840524435043335,0.16538290679454803,0.13861098885536194,0.12952971458435059,0.1249736100435257,0.030604319646954536,0.03968559950590134,0.04424170032143593,0.0038324138149619102,0.03968559950590134,-0.03585318475961685,0.00045959363342262805,-0.0032722551841288805,0.15157385170459747,0.06886198371648788,0.002227602992206812,0.07186440378427505,0.09348510205745697,0.6358681917190552,0.5584835410118103,0.47361087799072266,0.9999768733978271,0.07767333835363388,0.05127070099115372,0.21232429146766663,0.5246331691741943,6649,0.04707309603691101,0.036880239844322205,4.436636447906494,3.116670846939087
clip_reset,dataset_7_keyframe_1,S2M2-S,['000002'],4,10082,0,0,0.16623711585998535,0.1701122373342514,0.17403347790241241,0.16956700384616852,0.1460278183221817,0.1348174512386322,0.12914033234119415,0.020209291949868202,0.031419653445482254,0.0370967723429203,-0.003329894272610545,0.031419653445482254,-0.03474954888224602,0.0004027881659567356,-0.0039212265983223915,0.1407458782196045,0.06774449348449707,0.0010910533601418138,0.10017853230237961,0.13603509962558746,0.6313188672065735,0.5631378293037415,0.47353556752204895,0.9999810457229614,0.08198992908000946,0.05772219970822334,0.2530352771282196,0.43289458751678467,6328,0.044415269047021866,0.03239748626947403,4.437297821044922,2.9492762088775635
clip_reset,dataset_7_keyframe_1,S2M2-S,['000006'],1,9733,0,0,0.15453439950942993,0.17079642415046692,0.17079642415046692,0.15971550345420837,0.14086022973060608,0.14086022973060608,0.13967493176460266,0.013674157671630383,0.013674157671630383,0.014859453774988651,-0.0051810964941978455,0.013674157671630383,-0.018855253234505653,0.0002862972905859351,0.0,0.06842700392007828,0.03308332338929176,0.0023630945943295956,0.013356621377170086,0.018505504354834557,0.5750880241394043,0.4689488708972931,0.36301735043525696,0.9840767979621887,0.04598095640540123,0.018886972218751907,0.08118084073066711,0.3709300756454468,6033,0.041262075304985046,0.03292360529303551,4.038676738739014,2.809467315673828
clip_reset,dataset_7_keyframe_1,S2M2-S,['000006'],2,9383,0,0,0.16449344158172607,0.16146087646484375,0.16843785345554352,0.16362769901752472,0.140436053276062,0.1400250345468521,0.13837017118930817,0.024057388305664062,0.024468405172228813,0.02612326480448246,0.0008657326106913388,0.024468405172228813,-0.023602670058608055,0.0001986578427022323,-0.006976982578635216,0.07513588666915894,0.03175956383347511,0.0013854843564331532,0.029947778210043907,0.044570501893758774,0.6457852125167847,0.5312129855155945,0.4459560811519623,0.9996669292449951,0.05619095638394356,0.03178830072283745,0.13159509003162384,0.42844507098197937,5690,0.04076671600341797,0.03269398584961891,3.63472580909729,2.56351900100708
clip_reset,dataset_7_keyframe_1,S2M2-S,['000006'],3,8857,0,0,0.15712855756282806,0.17223794758319855,0.17764703929424286,0.16543519496917725,0.13906021416187286,0.13392916321754456,0.12944629788398743,0.018068332225084305,0.023199385032057762,0.027682246640324593,-0.008306637406349182,0.023199385032057762,-0.031506024301052094,0.0006952243275009096,-0.005409096367657185,0.13356667757034302,0.05803319439291954,0.0014677656581625342,0.0888562723994255,0.10126582533121109,0.623744547367096,0.5299347043037415,0.4486335813999176,0.9999570846557617,0.07588302344083786,0.04841219261288643,0.21100810170173645,0.3338049054145813,5232,0.04913131520152092,0.03729451075196266,3.8496506214141846,2.532639503479004
clip_reset,dataset_7_keyframe_1,S2M2-S,['000006'],4,8364,0,0,0.17857427895069122,0.16986553370952606,0.18777312338352203,0.18817193806171417,0.142865851521492,0.14029909670352936,0.13464891910552979,0.03570842370390892,0.03827517479658127,0.043925341218709946,-0.009597680531442165,0.03827517479658127,-0.04787285253405571,0.000231769256060943,-0.01790758967399597,0.128646582365036,0.04746532812714577,0.0028694404754787683,0.13558106124401093,0.19750656187534332,0.6056638956069946,0.5665258169174194,0.4543185830116272,0.9999891519546509,0.09704957157373428,0.06783561408519745,0.2962396740913391,0.4343818724155426,4630,0.06218693032860756,0.040176402777433395,4.869436740875244,2.6987619400024414
clip_reset,dataset_7_keyframe_1,S2M2-S,['000010'],1,7770,0,0,0.1690508872270584,0.1924048364162445,0.1924048364162445,0.17498189210891724,0.15208470821380615,0.15208470821380615,0.14965686202049255,0.01696617528796196,0.01696617528796196,0.01939401961863041,-0.0059310151264071465,0.01696617528796196,-0.02289719134569168,0.0003553116403054446,0.0,0.09613899886608124,0.04388674348592758,0.002187902107834816,0.02625482715666294,0.039372704923152924,0.5566216707229614,0.44721537828445435,0.3457358479499817,0.9952462315559387,0.0621420182287693,0.023714803159236908,0.1093934029340744,0.33719292283058167,4068,0.05110815912485123,0.043968383222818375,4.375462055206299,3.3377530574798584
clip_reset,dataset_7_keyframe_1,S2M2-S,['000010'],2,7100,0,0,0.18174244463443756,0.18623584508895874,0.1965332180261612,0.19119009375572205,0.15075549483299255,0.15113672614097595,0.14808478951454163,0.030986957252025604,0.0306057371199131,0.03365766257047653,-0.009447634220123291,0.0306057371199131,-0.040053367614746094,0.00015277709462679923,-0.01029738038778305,0.08591549098491669,0.035070423036813736,0.001267605577595532,0.08112675696611404,0.12679211795330048,0.5509569644927979,0.5055872797966003,0.390546053647995,0.9999063014984131,0.0821060985326767,0.040922269225120544,0.20949530601501465,0.4610556960105896,3587,0.06279028952121735,0.04952770471572876,4.482036113739014,3.2354230880737305
