sequence,historical_only_count,recurrent_only_count,raw_epe,historical_memory_epe,recurrent_memory_epe,fused_epe,historical_selection_oracle_epe,recurrent_selection_oracle_epe,convex_fusion_oracle_epe,historical_selection_gain,recurrent_selection_gain,convex_fusion_gain,fused_gain,endpoint_selection_gain,beyond_endpoint_gain_signed,interpolation_advantage,recurrent_candidate_improvement,gt_between_endpoint_fraction,fused_better_than_both_fraction,fused_worse_than_both_fraction,harmful_update_rate,clean_pixel_degradation,reset_mean,fusion_mean,temporal_weight_mean,temporal_weight_p95,recurrent_raw_difference_mean,delta_fusion_mean,delta_fusion_p95,w_star_mean,temporal_valid_count,raw_tepe,fused_tepe,raw_teper,fused_teper,historical_selection_normalized_gain,recurrent_selection_normalized_gain,convex_fusion_normalized_gain,frames_worsened_fraction,worst_frame_degradation
dataset_7_keyframe_1,0.0,0.0,0.15818548726557285,0.15637865793833994,0.16746347980686074,0.1674904005779967,0.13540147123986054,0.13021354523767267,0.12203227346622972,0.02278401600477185,0.02797194195666087,0.036153213654724015,-0.009304913430942094,0.02797194195666087,-0.037276855307330464,0.00045717379413764465,-0.011084821831352976,0.12803721025030373,0.05226201215218863,0.001589976192311634,0.04111141768218987,0.04396742047064779,0.6157667134423477,0.49315483227407975,0.3803194192387489,0.9254515440132042,0.0815844412837891,0.05187563900713083,0.29834746340030277,0.5020875956887719,2435.478166085578,0.04961066726456949,0.03734347449433095,5.36663298942911,3.67464584372781,-0.408396545586752,-0.3326516780765143,-0.25737444863981696,0.4946625344352617,0.36446118354797363
dataset_7_keyframe_2,0.0,0.0,0.21309354094764507,0.20672606041224512,0.31079509035734615,0.306605149489443,0.176302123873607,0.1608085021443115,0.13944140697952367,0.036791417830416645,0.052285038960507006,0.07365213423104759,-0.09351160910669933,0.052285038960507006,-0.14579664711643914,0.0006751068691693445,-0.1040690297520247,0.2493085763945149,0.08589722266649755,0.0013459573022336713,0.1713569984603025,0.2082213361419088,0.7176871598855099,0.6312690560923162,0.5623888684892776,0.9866103440658186,0.24500585756566173,0.20816492521511643,0.5993537893971449,0.4162134410254082,2104.0965762565797,,,,,-2.5416690799393513,-1.7884964985362717,-1.2696388242240522,0.37693798449612403,3.6612131595611572
dataset_7_keyframe_3,0.0,0.0,1.2092397891538396,1.2112776621887122,1.0963002806910178,1.0749203288273046,1.1073159505074182,0.9985912794889528,0.9202038871128224,0.1019238382576971,0.21064851131289833,0.28903590128140216,0.13431945986833582,0.21064851131289833,-0.07632905130340442,0.0017283909005411367,0.11497737997048786,0.18142479422705904,0.08180864471617894,0.001711944201105413,0.06971870930459531,0.0894003355942447,0.6159338475427685,0.5258964405648587,0.42704908387635887,0.9351125308342051,0.46513233104232543,0.36193371103253635,2.4515130173921786,0.5438809653318906,5186.352306265779,0.2719024741903819,0.14852857727507268,7.8146446879671,4.702671528027986,1.317841460490645,0.637647325543246,0.464715487843719,0.1914852997327224,0.1909075677394867
dataset_7_keyframe_4,0.0,0.0,0.3683576470985731,0.3635705413683118,1.3634129033525189,1.3580021015160975,0.32707808429732893,0.31748312877803864,0.2941759839836392,0.04127956309316249,0.050874518486653794,0.0741816634465552,-0.9896444581920041,0.050874518486653794,-1.0405189763459815,0.0005036320944510264,-0.9998423648841509,0.14916150294361863,0.0486825547247581,0.0019034474787639945,0.16870567707690634,0.1873268762801578,0.6740376341367653,0.47775875845702853,0.4337282915497656,0.8588611441318448,1.14341862411146,1.0907795763608124,1.4946966305309062,0.4663773392780383,3439.830992044565,,,,,-23.97419895066496,-19.452655034988158,-13.34082321981094,0.42010803275832026,22.81484031677246
