backbone,historical_only_count,recurrent_only_count,raw_epe,historical_memory_epe,recurrent_memory_epe,fused_epe,historical_selection_oracle_epe,recurrent_selection_oracle_epe,convex_fusion_oracle_epe,historical_selection_gain,recurrent_selection_gain,convex_fusion_gain,fused_gain,endpoint_selection_gain,beyond_endpoint_gain_signed,interpolation_advantage,recurrent_candidate_improvement,gt_between_endpoint_fraction,fused_better_than_both_fraction,fused_worse_than_both_fraction,harmful_update_rate,clean_pixel_degradation,reset_mean,fusion_mean,temporal_weight_mean,temporal_weight_p95,recurrent_raw_difference_mean,delta_fusion_mean,delta_fusion_p95,w_star_mean,temporal_valid_count,historical_selection_normalized_gain,recurrent_selection_normalized_gain,convex_fusion_normalized_gain,frames_worsened_fraction,worst_frame_degradation
RAFT-Stereo,0.0,0.0,0.515119527039319,0.5115695514095685,0.8143462894781739,0.8079644136076451,0.45393879952302896,0.41226704172987094,0.3759992416306558,0.061180728385620935,0.10285248670286672,0.13912028571090151,-0.2928448866880923,0.10285248670286672,-0.39569737335133376,0.0009976571735993947,-0.3027767396542679,0.1713767536559089,0.06713794018645708,0.0017583545456358986,0.09732154554826408,0.1132972171925757,0.6359960664086323,0.49526366942481315,0.41411659807012846,0.9077517609610518,0.5774673693589051,0.5061060477982311,1.3665964011323628,0.5020052757260579,3578.619235967298,-4.786554433322478,-2.8472319539934863,-2.104976173615958,0.3812302688223477,22.372526168823242
S2M2-S,0.0,0.0,0.5695533133508915,0.5690748495210859,0.9378734117845421,0.9301124916951902,0.5288176459557716,0.4926491376564735,0.46071414734389976,0.04073566523157506,0.07690417427991178,0.10883916446874947,-0.3605591813196449,0.07690417427991178,-0.43746335558180344,0.0007764814286517474,-0.3687985650190967,0.14204049148198425,0.05602919033892697,0.0017665439605011898,0.10346524470715487,0.11684258783224066,0.6433651676400142,0.5019034553818217,0.4201153806404426,0.9007007891156401,0.5859984610758443,0.5360436063069626,1.3418409429290983,0.4918730880905608,3578.619235967298,-8.85119168350215,-4.688421463408481,-3.312770573713571,0.41040849516885103,22.57508659362793
StereoAnywhere,0.0,0.0,0.51586456910858,0.513916714023712,0.9099772320789985,0.8996950659070526,0.46080033257412106,0.4304357650959719,0.39687864720565175,0.055064237878048664,0.08542880555094039,0.11898592276772807,-0.38383049856707,0.08542880555094039,-0.46925930352493483,0.0007333551963701996,-0.3960605182654959,0.1493142950636354,0.056965466950844916,0.0016868452697522578,0.10307605586546512,0.11716541009981898,0.6429630295926768,0.5031255764833021,0.4216010201671851,0.9046021474317161,0.6320845404303445,0.5758497047719965,1.3855192104688077,0.4996495809907838,3578.619235967298,-6.970594951611669,-4.49298683379338,-3.2258479796500295,0.38276092987659044,22.81484031677246
