mode,sequence,backbone,frame_id,threshold_cache_px,threshold_native_px,valid_count,coverage,epe,gain,harmful_update_rate,harmful_selected_fraction,clean_pixel_degradation
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000002,0.01,0.07111111111111111,11007,0.42409375309944153,0.1529298722743988,0.002313346369192004,0.007904061116278172,0.018637532368302345,0.008297915570437908
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000002,0.05,0.35555555555555557,11007,0.15190333127975464,0.15195538103580475,0.0032878336496651173,0.007904061116278172,0.05203349143266678,0.008297915570437908
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000002,0.1,0.7111111111111111,11007,0.034614335745573044,0.1531738042831421,0.0020694208797067404,0.007904061116278172,0.22834645211696625,0.008297915570437908
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000002,0.5,3.5555555555555554,11007,0.0,0.15524321794509888,0.0,0.0,0.0,0.0
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000003,0.01,0.07111111111111111,10665,0.555274248123169,0.15005278587341309,0.002979845507070422,0.04988279566168785,0.08983451873064041,0.05939961597323418
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000003,0.05,0.35555555555555557,10665,0.27782467007637024,0.14788076281547546,0.005151874851435423,0.04988279566168785,0.1795477569103241,0.05939961597323418
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000003,0.1,0.7111111111111111,10665,0.15180496871471405,0.14812909066677094,0.004903556313365698,0.04988279566168785,0.32859790325164795,0.05939961597323418
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000003,0.5,3.5555555555555554,10665,9.37646473175846e-05,0.15298554301261902,4.7083340177778155e-05,0.0,0.0,0.0
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000004,0.01,0.07111111111111111,10325,0.5747215747833252,0.16547469794750214,0.0037406194023787975,0.07186440378427505,0.125042125582695,0.09348510205745697
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000004,0.05,0.35555555555555557,10325,0.321452796459198,0.1642741709947586,0.004941145423799753,0.07186440378427505,0.22356131672859192,0.09348510205745697
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000004,0.1,0.7111111111111111,10325,0.19205811619758606,0.16316728293895721,0.006048033479601145,0.07186440378427505,0.37418052554130554,0.09348510205745697
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000004,0.5,3.5555555555555554,10325,0.00048426148714497685,0.16934451460838318,-0.00012918883294332772,0.0002905568981077522,0.6000000238418579,0.0
reset_every4_all_pairs,dataset_7_keyframe_1,S2M2-S,000005,0.01,0.07111111111111111,10082,0.5446339845657349,0.16942688822746277,-0.003189775859937072,0.10017853230237961,0.18393735587596893,0.13603509962558746
