mode,sequence,backbone,frame_id,threshold_cache_px,threshold_native_px,valid_count,coverage,epe,gain,harmful_update_rate,harmful_selected_fraction,clean_pixel_degradation
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000002,0.01,0.07111111111111111,11007,0.4242754578590393,0.15292812883853912,0.0023151033092290163,0.007904061116278172,0.01862955093383789,0.008297915570437908
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000002,0.05,0.35555555555555557,11007,0.15190333127975464,0.15195541083812714,0.0032878159545361996,0.007904061116278172,0.05203349143266678,0.008297915570437908
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000002,0.1,0.7111111111111111,11007,0.034614335745573044,0.15317383408546448,0.002069393638521433,0.007904061116278172,0.22834645211696625,0.008297915570437908
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000002,0.5,3.5555555555555554,11007,0.0,0.15524321794509888,0.0,0.0,0.0,0.0
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000003,0.01,0.07111111111111111,10665,0.5551804900169373,0.15005216002464294,0.0029804713558405638,0.04988279566168785,0.08984968811273575,0.05939961597323418
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000003,0.05,0.35555555555555557,10665,0.27782467007637024,0.14788100123405457,0.005151635501533747,0.04988279566168785,0.1795477569103241,0.05939961597323418
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000003,0.1,0.7111111111111111,10665,0.15180496871471405,0.14812909066677094,0.00490354560315609,0.04988279566168785,0.32859790325164795,0.05939961597323418
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000003,0.5,3.5555555555555554,10665,9.37646473175846e-05,0.15298554301261902,4.708441338152625e-05,0.0,0.0,0.0
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000004,0.01,0.07111111111111111,10325,0.5747215747833252,0.1654750555753708,0.0037402654998004436,0.07186440378427505,0.125042125582695,0.09348510205745697
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000004,0.05,0.35555555555555557,10325,0.321452796459198,0.16426514089107513,0.004950167611241341,0.07186440378427505,0.22356131672859192,0.09348510205745697
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000004,0.1,0.7111111111111111,10325,0.19205811619758606,0.16316764056682587,0.006047678180038929,0.07186440378427505,0.37418052554130554,0.09348510205745697
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000004,0.5,3.5555555555555554,10325,0.00048426148714497685,0.16934451460838318,-0.00012919095752295107,0.0002905568981077522,0.6000000238418579,0.0
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000005,0.01,0.07111111111111111,10082,0.5446339845657349,0.16942837834358215,-0.003191270399838686,0.10017853230237961,0.18393735587596893,0.13603509962558746
continuous_streaming,dataset_7_keyframe_1,S2M2-S,000005,0.05,0.35555555555555557,10082,0.3208688795566559,0.1690468043088913,-0.0028096905443817377,0.10017853230237961,0.31221020221710205,0.13603509962558746
