epoch,loss,harm_loss,delta_loss,validation_harm_auroc,validation_harm_auprc,validation_brier,validation_sample_count,validation_harm_fraction,validation_gain_mae,validation_gain_correlation,learning_rate
1,1.4378515005111694,1.4339953899383544,0.015424422081559896,0.43877980733800076,0.27296587589224636,0.27611531686486335,435,0.27816091954022987,0.13725969195365906,-0.061427946206849104,0.0019992675844286863
2,1.348824954032898,1.3451519727706909,0.014691887237131596,0.4420961204400695,0.27750107395849527,0.3155663937370141,435,0.27816091954022987,0.1337488442659378,-0.007608807198890707,0.0019970714670464705
3,1.312252402305603,1.308884072303772,0.01347325872629881,0.47117965994630734,0.33757498182729806,0.32147120048022454,435,0.27816091954022987,0.13372650742530823,-0.001905078491612469,0.001993415034107178
4,1.3210184574127197,1.3173439979553223,0.014697764068841934,0.51434437016371,0.35786046133819893,0.326997801969081,435,0.27816091954022987,0.13574108481407166,0.019639752872810307,0.001988303923565378
5,1.3477273464202881,1.3437809228897095,0.015785733796656133,0.5909748907722272,0.44666688641253627,0.3184696026384745,435,0.27816091954022987,0.13527075946331024,0.03304461774746218,0.0019817460163830654
6,1.407709550857544,1.4034066677093506,0.017211475409567356,0.6520766436805812,0.5569497184875711,0.32121357567289527,435,0.27816091954022987,0.13444237411022186,0.03732784175765667,0.001973751424377789
7,1.2437374591827393,1.240610408782959,0.012508217804133892,0.691556561562352,0.6217988629039645,0.31372575360071897,435,0.27816091954022987,0.1338493525981903,0.034341712409316584,0.0019643324746309605
8,1.3144636631011963,1.3104150772094727,0.016194402147084473,0.7156129915249776,0.6197994753803484,0.3075271266201079,435,0.27816091954022987,0.1342208981513977,0.06090570106274304,0.001953503690480391
9,1.3182178497314454,1.314790964126587,0.013707421254366636,0.7330631152287204,0.6187601662827756,0.31537679544348335,435,0.27816091954022987,0.13540655374526978,0.10868050733332588,0.001941281769126355
10,1.4023216009140014,1.3984160661697387,0.01562196072191,0.7448412907301153,0.6175044585084716,0.32451409546854093,435,0.27816091954022987,0.13512499630451202,0.1201415880535425,0.0019276855558857176
11,1.2872485637664794,1.2835025310516357,0.014984199963510036,0.7481970837500658,0.6114307749480462,0.32253568491062407,435,0.27816091954022987,0.13410831987857819,0.11670535929361553,0.0019127360151338223
