variant,model,margin,sample_count,harm_fraction,harm_auroc,harm_auprc,brier,ece,raw_error_mae,proposal_error_mae,delta_mae,delta_spearman
A,stereo,0.1,546309,0.4570856420084604,0.7426698011645776,0.699664355908506,0.24854996602237078,0.19330974282714786,0.3092361390590668,0.29559269547462463,0.24202167987823486,0.4819375724236207
B,stereo,0.1,546309,0.4570856420084604,0.7000612021243736,0.6684406117729897,0.37157737025121523,0.3687302406432904,0.320919394493103,0.30208125710487366,0.267909437417984,0.4464501375735206
C,stereo,0.1,546309,0.4570856420084604,0.7165419752414708,0.6787075666533013,0.3839097194924009,0.3875747927004157,0.32835477590560913,0.30037856101989746,0.2741806209087372,0.4214075501144712
D,stereo,0.1,546309,0.4570856420084604,0.7242158566977691,0.6862687092676992,0.4124469124695349,0.42242025973316966,0.32906046509742737,0.30557888746261597,0.2879646122455597,0.44130685092219873
E,stereo,0.1,546309,0.4570856420084604,0.7242193150164123,0.6862698026950251,0.21122109729944538,0.02658721505607672,0.32906046509742737,0.30557888746261597,0.2879646122455597,0.44130685092219873
