variant,feasible,gain,gain_over_fixed_h4,coverage,harmful_update_rate,clean_degradation,degraded_frame_fraction,intervention_precision,harm_auroc,harm_auprc,brier,ece,lambda_uncertainty,tau_gain,tau_harm
A,False,0.006349275354295969,0.21360379457473755,0.031540381286082025,0.2631350433452812,0.014432160237676704,0.23944773175542405,0.5351079893289079,0.7426698011645776,0.699664355908506,0.24854996602237078,0.19330974282714786,0.0,0.025,0.7
B,False,0.005365306045860052,0.2126198410987854,0.021640010358818643,0.243626161915878,0.009578915897447136,0.20954635108481262,0.5134437710058922,0.7000612021243736,0.6684406117729897,0.37157737025121523,0.3687302406432904,0.0,-0.05,0.8
C,False,0.005110820755362511,0.21236535906791687,0.01957159407429318,0.2193457101097739,0.007382785657375507,0.19676528599605522,0.48387598345616817,0.7165419752414708,0.6787075666533013,0.3839097194924009,0.3875747927004157,0.0,-0.05,0.8
D,False,0.005105759482830763,0.21236029267311096,0.01377108167185977,0.20211919651735796,0.0051772635559778415,0.13080867850098618,0.5750226504320155,0.7242158566977691,0.6862687092676992,0.4124469124695349,0.42242025973316966,0.0,-0.05,0.8
E,False,0.005446652881801128,0.21270117163658142,0.018094914653863606,0.2272142478746752,0.007292780319667653,0.16575936883629191,0.5541568914339531,0.7242193150164123,0.6862698026950251,0.21122109729944538,0.02658721505607672,0.0,-0.05,0.5
