stratum,pixel_count,fraction_of_supervised,harm_rate,mean_delta
raw_good_proposal_bad3,20270,0.0009689189722747684,1.0,-4.2290675825242285
disparity_boundary,155035,0.007410772218382769,1.0,-0.6506330146897814
occlusion_proxy,616637,0.029475643231701844,1.0,-0.36157855348937784
high_stereo_residual,97088,0.004640868533804278,1.0,-0.5533472604278522
temporal_inconsistency,47124,0.0022525573581389335,1.0,-0.5573351031885356
low_warp_support,0,0.0,0.0,0.0
low_fb_confidence,616637,0.029475643231701844,1.0,-0.36157855348937784
large_update_magnitude,220107,0.010521255462776638,1.0,-1.503557555063188
distant_anchor_cs4_cs8,4216516,0.2015521632609826,1.0,-0.31571166821517876
raw_proposal_ambiguity,6107577,0.29194608929102184,1.0,-0.2735678906825578
specular_low_texture,19300,0.0009225523514999028,1.0,-0.6820476440320978
helpful_accepted,10223909,0.48870939323684043,0.0,0.86629119413943
easy_raw_fallback,3517665,0.16814663821445108,0.0,0.0032334004959545274
