model,eligible_coverage,sample_count,harmful_fraction,mean_gain,selective_risk
stereo,0.01,5464,0.10486822840409957,4.271455764770508,0.07545532286167145
stereo,0.02,10927,0.13727464079802323,2.323422908782959,0.0816022977232933
stereo,0.05,27316,0.20434909942890614,1.0508358478546143,0.08808919042348862
stereo,0.1,54631,0.25503834819058774,0.5728968381881714,0.08890024572610855
stereo,0.2,109262,0.28006077135692187,0.30968108773231506,0.08215648680925369
stereo,0.3,163893,0.2816837814915829,0.21607811748981476,0.07729019969701767
stereo,0.5,273155,0.3178671450275485,0.1299351304769516,0.07927826792001724
stereo,1.0,546309,0.4570856420084604,-0.027363773435354233,0.1720757633447647
stereo,aurc,546309,0.3239982021026025,-0.02736377716064453,0.3239982021026025
stereo,0.01,5464,0.017569546120058566,1.277258276939392,0.005749803502112627
stereo,0.02,10927,0.06708154113663403,0.8374613523483276,0.021456828340888023
stereo,0.05,27316,0.18329916532435203,0.4259415566921234,0.04932878166437149
stereo,0.1,54631,0.23303618824476946,0.2379090040922165,0.05812137946486473
stereo,0.2,109262,0.2899452691695191,0.12223680317401886,0.06503321975469589
stereo,0.3,163893,0.31904352229808475,0.0807989314198494,0.06853187829256058
stereo,0.5,273155,0.3610148084420933,0.04460781067609787,0.0767795592546463
stereo,1.0,546309,0.4570856420084604,-0.027363773435354233,0.1720757633447647
stereo,aurc,546309,0.34039434193563445,-0.02736377716064453,0.34039434193563445
stereo@ensemble,0.01,5464,0.027635431918008786,1.4775470495224,0.009396135807037354
stereo@ensemble,0.02,10927,0.08556785943076782,0.9067267179489136,0.025875097140669823
stereo@ensemble,0.05,27316,0.13772148191536096,0.4559961259365082,0.03732109069824219
stereo@ensemble,0.1,54631,0.1644670608262708,0.25724881887435913,0.0415482297539711
stereo@ensemble,0.2,109262,0.2430945800003661,0.13653036952018738,0.05250482261180878
stereo@ensemble,0.3,163893,0.29432007468287236,0.08988622575998306,0.06064479053020477
stereo@ensemble,0.5,273155,0.35042741300726693,0.05044602230191231,0.07307157665491104
stereo@ensemble,1.0,546309,0.4570856420084604,-0.027363771572709084,0.1720757782459259
stereo@ensemble,aurc,546309,0.32139043721803645,-0.02736377716064453,0.32139043721803645
