epoch,global_step,learning_rate,train_total,train_classification,train_positive_gain,train_harmful_magnitude,train_harmful_selection,validation_loss_total,validation_loss_classification,validation_loss_positive_gain,validation_loss_harmful_magnitude,validation_loss_harmful_selection,validation_auroc,validation_auprc,validation_decisive_auroc,validation_decisive_auprc,validation_utility_mae,validation_best_policy_net_utility,validation_best_policy_coverage,validation_best_policy_harm_cost_fraction,validation_best_policy_threshold,validation_best_policy_constraint_feasible
1,898,0.002,0.08686171755617804,0.08142288522234804,0.0017378407312171394,0.0017252824813647723,0.000556533883156857,0.20171815606532617,0.19785113773774354,0.0006744992838162033,0.0007260227204415059,0.0010517426482363134,0.9189583204775392,0.36005614009229636,0.6153825761714992,0.5242891943568658,0.05849903076887131,0.002591401571407914,0.005001011453968072,0.20041996158805442,0.030116190761327738,True
2,1796,0.001961518324933773,0.06277461686609251,0.05823434108167157,0.0011707728866660226,0.0016031012105050793,0.00048242558252548887,0.19904016406973823,0.19569871028652414,0.0004323904271620904,0.00070967453602659,0.0009222755852589159,0.9239166918510621,0.4456365363410936,0.6523315373569704,0.5864315415392528,0.05675981566309929,0.00286053866147995,0.005001011453968072,0.14671715089286305,0.037490135617554154,True
3,2694,0.0018491908561896221,0.05929679882594432,0.05587199551648645,0.0009377029162732204,0.0011043822992370753,0.00041526347137504064,0.18672519880812616,0.18285303328651936,0.0008596030527655785,0.0006155861346292113,0.001044591810754696,0.9319856486588254,0.4272446453098808,0.5959149678618574,0.5549441176463221,0.056663837283849716,0.003621080657467246,0.01000082592099168,0.1672458926557769,0.14846066385507514,True
4,3592,0.001672117697248021,nan,nan,nan,nan,nan,0.18564102784730493,0.18235502226336395,0.0005238066142425879,0.000703900373059696,0.0008531740001018306,0.9237417552997758,0.3960609792674519,0.5730266804725664,0.5240297597968089,0.05615434795618057,0.003629210637882352,0.01000082592099168,0.16889133127995806,0.006970823416486371,True
5,4490,0.0014446442623517923,nan,nan,nan,nan,nan,0.22825226020533593,0.22268797856755554,0.0006192822862718117,0.0007159036809558116,0.001935571310167461,0.9265219200077163,0.45130579421930417,0.6493795530905522,0.5870994980470003,0.05808351933956146,0.002958985511213541,0.005001011453968072,0.1785891424848088,0.004898704262450297,True
6,5388,0.001185199096359621,0.05985153092482109,0.05711324568754912,0.0007824939703643196,0.0008096065058475232,0.0003706908089725909,0.19324855403043328,0.18726885070092977,0.0012331710784326334,0.0010052971517234255,0.0016192931455395864,0.9490431425051171,0.5764421576888622,0.7635406296872974,0.7046655280406137,0.06162068992853165,0.0028585537802428007,0.01000082592099168,0.19608625344724825,0.0869639135897154,True
7,6286,0.0009148009036403791,0.057595334283360396,0.05529317657415546,0.0007485305785502672,0.0005876987086468867,0.0003360395972303051,0.1819141902658157,0.1752508316584863,0.0005998303718544574,0.0024919624724361713,0.0011627921830179844,0.9383714339781205,0.5182148785544172,0.6819831624226985,0.6345182403627251,0.060540821403265,0.003178086830303073,0.10000107728825001,0.15319030256348282,-0.0005062235286459327,True
8,7184,0.000655355737648208,0.0575360098754145,0.05534498656753509,0.0006159767393432401,0.0005803450359784627,0.00035226459248404146,0.16952497732941993,0.16494307393557392,0.000557747753642559,0.001638361191403419,0.0007833073815818637,0.9496778917955474,0.5864185149646889,0.7760650513658326,0.7167706149387925,0.05816703289747238,0.0071887183003127575,0.05000053864412501,0.1724038092110885,0.009973508305847645,True
9,8082,0.0004278823027519793,nan,nan,nan,nan,nan,0.15898029380943626,0.15454127282835542,0.0004810972109337808,0.0015230239698530567,0.0008366936404653558,0.9556172140627601,0.6492871654410881,0.8370610690900895,0.7815794018749885,0.0571790374815464,0.012212191708385944,0.3000008378908611,0.2440954777868815,-1.0803341865539551e-07,True
10,8980,0.0002508091438103778,nan,nan,nan,nan,nan,0.2028842377848923,0.19857222646009176,0.0006838740947661393,0.0004832527808898135,0.0014516291510699374,0.9392717760164857,0.619123185008057,0.7715600769050601,0.737726375923762,0.0549815408885479,0.0064245304092764854,0.05000053864412501,0.19609204664365162,0.041530217975378036,True
11,9878,0.0001384816750662276,0.05498165660693345,0.05309062730313542,0.000499878248207453,0.0005084256905575443,0.0003142563035440183,0.19227597238495947,0.18900355816353112,0.000614772826098573,0.0004938925269430427,0.000958401306515384,0.9040590485570814,0.45199987536868014,0.676648354734475,0.623518464135195,0.05618852749466896,0.00515741715207696,0.025000269322062504,0.10292697680092715,0.07700733654201031,True
12,10776,0.0001,0.05482457988461965,0.052903566387106554,0.0005518449426587067,0.0004893751094503889,0.0003175529196588369,0.22417772327084096,0.22025893939659,0.00041129327587795304,0.0005618612654967592,0.0013323489774870723,0.8966103085039467,0.4497823326750949,0.6688416793551509,0.6264981072085034,0.054834943264722824,0.005291434470564127,0.05000053864412501,0.23804775394256933,0.005052338354289532,True
