family,seed,epoch,total,error,harm,rank,validation_harm_auroc,validation_harm_auprc,validation_raw_error_mae,validation_proposal_error_mae,validation_delta_mae,validation_delta_spearman,validation_sample_count,validation_harm_fraction,validation_best_selective_gain,validation_best_selective_harm,validation_best_selective_coverage,validation_best_constrained_gain,validation_best_constrained_harm,validation_best_constrained_coverage,learning_rate
geometry,20260722,1,-0.059030854181174014,-1.2272233458406419,1.1624899075335304,0.05702585462299519,0.5775950192521399,0.5233581051391919,0.3650769293308258,0.32834699749946594,0.3341170847415924,0.08756998519965374,563434,0.45272738244408395,0.03805563598871231,0.2699232028200932,0.02819496161041045,0.0,0.0,0.0,0.0009838147674871471
geometry,20260722,2,-0.5549876525008195,-1.5775502113837925,1.0175188100578,0.05043749651252823,0.5925998245960392,0.5305777902763783,0.3238186240196228,0.33091697096824646,0.29258987307548523,0.14378967202613027,563434,0.45272738244408395,0.04282841458916664,0.30980751604032997,0.032917786289077336,0.0,0.0,0.0,0.0009363620667974238
geometry,20260722,3,-0.9533799425042515,-1.8372795152491983,0.8798098321329028,0.040897402542662,0.6630671011271703,0.5996235800883584,0.3311019241809845,0.30483779311180115,0.2843361794948578,0.2802648979632046,563434,0.45272738244408395,0.054655611515045166,0.2292077969023719,0.1914847169322405,0.0,0.0,0.0,0.000860875721063441
geometry,20260722,4,-1.2063492543592225,-1.9976883158282277,0.7877527181184132,0.035863430060340006,0.6960349065868662,0.6373288848822191,0.31110090017318726,0.2876270115375519,0.2549419701099396,0.41062811090647605,563434,0.45272738244408395,0.06607664376497269,0.27521163003793436,0.37382728056879777,0.0,0.0,0.0,0.000762499999999851
geometry,20260722,5,-1.4092663553893807,-2.143255189762782,0.7307180550924484,0.03270778875491713,0.6340633333021753,0.5686921816852593,0.3293626606464386,0.3048011362552643,0.2827046811580658,0.24396568751569683,563434,0.45272738244408395,0.045442987233400345,0.2871285915579244,0.14485281328425334,0.0,0.0,0.0,0.0006479390464235705
geometry,20260722,6,-1.560423089031305,-2.2433257253290524,0.6798719926418474,0.03030644399176458,0.6658403088963242,0.6114377590360704,0.3427174389362335,0.29839274287223816,0.25853994488716125,0.3210064227107686,563434,0.45272738244408395,0.0537615567445755,0.32731621087657276,0.34137095027989084,0.0,0.0,0.0,0.0005249999999998892
geometry,20260722,7,-1.7034451034920128,-2.348650169122539,0.6423631890258134,0.0284187775439639,0.7082550098893553,0.6337682810318329,0.3069496750831604,0.28684601187705994,0.2488263100385666,0.37267650564875693,563434,0.45272738244408395,0.06736903637647629,0.25015849430411097,0.35833833244000185,0.0,0.0,0.0,0.00040206095357620187
geometry,20260722,8,-1.8224166009972034,-2.441660870310394,0.6165377765093873,0.02706492436555958,0.7174635570747564,0.6461294367146225,0.3090283274650574,0.2919926643371582,0.24599134922027588,0.3954558188359072,563434,0.45272738244408395,0.0669819787144661,0.2370736072166182,0.34116329507981413,0.0,0.0,0.0,0.00028749999999993424
geometry,20260722,9,-1.9217585954011962,-2.515990232752836,0.5916519355603913,0.02579702838189625,0.6932226880078484,0.6309604916081907,0.3231288194656372,0.2965388894081116,0.253964364528656,0.35457890182077373,563434,0.45272738244408395,0.06319396942853928,0.26688237305986395,0.3269256026437879,0.0,0.0,0.0,0.0001891242789363633
geometry,20260722,10,-2.0044639278146996,-2.5825289436189407,0.5755746486453002,0.02490364462043465,0.7009441725871289,0.6363244963362303,0.3171335756778717,0.2970374822616577,0.24931170046329498,0.40950590182162416,563434,0.45272738244408395,0.06549399346113205,0.2983479105928086,0.3543023672692809,0.0,0.0,0.0,0.00011363793320239151
geometry,20260722,11,-2.064049929601059,-2.631439902085261,0.5649433900095873,0.024465810120474524,0.7048351957125901,0.6399981029820881,0.3163129687309265,0.29824861884117126,0.248810276389122,0.40876702883035926,563434,0.45272738244408395,0.06549347192049026,0.2957581667479278,0.3458169013584555,0.0,0.0,0.0,6.618523251269294e-05
geometry,20260722,12,-2.0949444377343265,-2.6528932362789797,0.5555455510223272,0.02403248858141194,0.6950601763056417,0.6300123065143346,0.3256504535675049,0.3025481402873993,0.25594791769981384,0.3843172185172661,563434,0.45272738244408395,0.06159156560897827,0.30309819857428966,0.33586720006247406,0.0,0.0,0.0,5e-05
