flow_model,sequence_id,current_frame,age,runtime_ms_pair_mean,peak_memory_mb_pair_max,valid_warp_ratio,forward_backward_consistency_mean_px,forward_backward_valid_ratio_lt1px
RAFT,dataset_3_keyframe_1,000033,1,0.0,0.0,0.9859182238578796,0.09125752747058868,0.9859182098765432
RAFT,dataset_3_keyframe_1,000161,1,0.0,0.0,0.9913966059684753,0.08895564079284668,0.9913966049382716
RAFT,dataset_7_keyframe_4,001100,1,0.0,0.0,0.9891589283943176,0.06322843581438065,0.989158950617284
SEA-RAFT,dataset_3_keyframe_1,000033,1,0.0,0.0,0.9864583611488342,0.041045982390642166,0.9864583333333333
SEA-RAFT,dataset_3_keyframe_1,000161,1,0.0,0.0,0.9910107851028442,0.04932873323559761,0.9910108024691358
SEA-RAFT,dataset_7_keyframe_4,001100,1,0.0,0.0,0.989506185054779,0.05391089245676994,0.9895061728395061
