flow_model,backbone,sequence_id,current_frame,previous_frame,coverage_threshold,epe_raw_common_cache_px,epe_candidate_common_cache_px,common_valid_count,common_valid_ratio,epe_raw_native_px,epe_aligned_native_px,native_valid_count,native_valid_ratio,boundary_epe_raw_common_cache_px,boundary_epe_candidate_common_cache_px,fb_consistency_mean_px,fb_valid_ratio_lt1px,aligned_better_frame,aligned_better_pixel_ratio,clean_pixel_degradation_ratio,temporal_disagreement_px,notes
RAFT,S2M2-S,dataset_3_keyframe_1,000033,000032,0.05,3.974334239959717,3.9948372840881348,21534,0.830787037037037,1.2157273292541504,1.248207688331604,629920,0.4805908203125,8.879537582397461,8.916814804077148,0.09125752747058868,0.9859182098765432,False,0.33045417070388794,0.0,0.03981032595038414,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_3_keyframe_1,000033,000032,0.25,3.516108989715576,3.534390687942505,20049,0.7734953703703704,1.2157273292541504,1.248207688331604,629920,0.4805908203125,7.1527419090271,7.185338020324707,0.09125752747058868,0.9859182098765432,False,0.3378223478794098,0.0,0.037421051412820816,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_3_keyframe_1,000033,000032,0.5,2.6278817653656006,2.6430554389953613,16072,0.6200617283950617,1.2157273292541504,1.248207688331604,629920,0.4805908203125,3.3797998428344727,3.3978798389434814,0.09125752747058868,0.9859182098765432,False,0.3542807400226593,0.0,0.03333819657564163,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_3_keyframe_1,000033,000032,0.9,0.4873952865600586,0.5057581663131714,97,0.003742283950617284,1.2157273292541504,1.248207688331604,629920,0.4805908203125,0.6169663667678833,0.6219102144241333,0.09125752747058868,0.9859182098765432,False,0.3195876181125641,0.0,0.031234947964549065,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_3_keyframe_1,000033,000032,0.05,4.016960144042969,4.033989429473877,21534,0.830787037037037,1.0547734498977661,1.0698108673095703,629920,0.4805908203125,8.918776512145996,8.958251953125,0.09125752747058868,0.9859182098765432,False,0.3583170771598816,0.0,0.04600720852613449,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_3_keyframe_1,000033,000032,0.25,3.558279514312744,3.5724236965179443,20049,0.7734953703703704,1.0547734498977661,1.0698108673095703,629920,0.4805908203125,7.197211742401123,7.229416847229004,0.09125752747058868,0.9859182098765432,False,0.36620280146598816,0.0,0.042663365602493286,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_3_keyframe_1,000033,000032,0.5,2.6706855297088623,2.6805825233459473,16072,0.6200617283950617,1.0547734498977661,1.0698108673095703,629920,0.4805908203125,3.4338672161102295,3.4481728076934814,0.09125752747058868,0.9859182098765432,False,0.38725733757019043,0.0,0.03807372599840164,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_3_keyframe_1,000033,000032,0.9,0.5,0.5069284439086914,97,0.003742283950617284,1.0547734498977661,1.0698108673095703,629920,0.4805908203125,0.6591538190841675,0.6619974374771118,0.09125752747058868,0.9859182098765432,False,0.3814432919025421,0.0,0.022105854004621506,BiDAVideo original flow_warp; common-mask evaluation
RAFT,StereoAnywhere,dataset_3_keyframe_1,000033,000032,0.05,4.039873123168945,4.057876110076904,21534,0.830787037037037,1.08950674533844,1.1273434162139893,629920,0.4805908203125,8.973478317260742,8.993247032165527,0.09125752747058868,0.9859182098765432,False,0.3335190713405609,0.0,0.04829837754368782,BiDAVideo original flow_warp; common-mask evaluation
RAFT,StereoAnywhere,dataset_3_keyframe_1,000033,000032,0.25,3.574528694152832,3.59307861328125,20049,0.7734953703703704,1.08950674533844,1.1273434162139893,629920,0.4805908203125,7.234415054321289,7.254290580749512,0.09125752747058868,0.9859182098765432,False,0.33507904410362244,0.0,0.044604916125535965,BiDAVideo original flow_warp; common-mask evaluation
RAFT,StereoAnywhere,dataset_3_keyframe_1,000033,000032,0.5,2.6786112785339355,2.6948089599609375,16072,0.6200617283950617,1.08950674533844,1.1273434162139893,629920,0.4805908203125,3.449347496032715,3.4665133953094482,0.09125752747058868,0.9859182098765432,False,0.3561473488807678,0.0,0.03630845993757248,BiDAVideo original flow_warp; common-mask evaluation
RAFT,StereoAnywhere,dataset_3_keyframe_1,000033,000032,0.9,0.4992348551750183,0.5117097496986389,97,0.003742283950617284,1.08950674533844,1.1273434162139893,629920,0.4805908203125,0.6564194560050964,0.6607588529586792,0.09125752747058868,0.9859182098765432,False,0.44329896569252014,0.0,0.02547239512205124,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_3_keyframe_1,000161,000160,0.05,4.401924133300781,4.385224342346191,23178,0.8942129629629629,0.9892265796661377,1.0459728240966797,665401,0.5076606750488282,10.906845092773438,10.880026817321777,0.08895564079284668,0.9913966049382716,True,0.6997584104537964,0.0,0.03680767863988876,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_3_keyframe_1,000161,000160,0.25,3.525606393814087,3.5104315280914307,20837,0.8038966049382716,0.9892265796661377,1.0459728240966797,665401,0.5076606750488282,7.600250244140625,7.575165271759033,0.08895564079284668,0.9913966049382716,True,0.6992849111557007,0.0,0.033729612827301025,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_3_keyframe_1,000161,000160,0.5,2.7572243213653564,2.7443838119506836,17372,0.6702160493827161,0.9892265796661377,1.0459728240966797,665401,0.5076606750488282,3.2859318256378174,3.2645297050476074,0.08895564079284668,0.9913966049382716,True,0.7008979916572571,0.0,0.029080171138048172,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_3_keyframe_1,000161,000160,0.9,,,0,0.0,0.9892265796661377,1.0459728240966797,665401,0.5076606750488282,,,0.08895564079284668,0.9913966049382716,False,,,,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_3_keyframe_1,000161,000160,0.05,4.461494445800781,4.4412713050842285,23178,0.8942129629629629,0.7937174439430237,0.8151723742485046,665401,0.5076606750488282,11.042074203491211,10.984088897705078,0.08895564079284668,0.9913966049382716,True,0.717965304851532,0.0,0.03848544508218765,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_3_keyframe_1,000161,000160,0.25,3.5752673149108887,3.5595030784606934,20837,0.8038966049382716,0.7937174439430237,0.8151723742485046,665401,0.5076606750488282,7.6875762939453125,7.646018028259277,0.08895564079284668,0.9913966049382716,True,0.713250458240509,0.0,0.03298594057559967,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_3_keyframe_1,000161,000160,0.5,2.800779342651367,2.788404703140259,17372,0.6702160493827161,0.7937174439430237,0.8151723742485046,665401,0.5076606750488282,3.3363802433013916,3.317225694656372,0.08895564079284668,0.9913966049382716,True,0.7174764275550842,0.0,0.027498828247189522,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_3_keyframe_1,000161,000160,0.9,,,0,0.0,0.7937174439430237,0.8151723742485046,665401,0.5076606750488282,,,0.08895564079284668,0.9913966049382716,False,,,,BiDAVideo original flow_warp; common-mask evaluation
RAFT,StereoAnywhere,dataset_3_keyframe_1,000161,000160,0.05,4.463253974914551,4.443711757659912,23178,0.8942129629629629,0.8659667372703552,0.8749914765357971,665401,0.5076606750488282,11.037528038024902,11.005276679992676,0.08895564079284668,0.9913966049382716,True,0.7251272797584534,0.0,0.037347275763750076,BiDAVideo original flow_warp; common-mask evaluation
RAFT,StereoAnywhere,dataset_3_keyframe_1,000161,000160,0.25,3.5796735286712646,3.560053825378418,20837,0.8038966049382716,0.8659667372703552,0.8749914765357971,665401,0.5076606750488282,7.700405597686768,7.66948938369751,0.08895564079284668,0.9913966049382716,True,0.7293756008148193,0.0,0.03345667943358421,BiDAVideo original flow_warp; common-mask evaluation
RAFT,StereoAnywhere,dataset_3_keyframe_1,000161,000160,0.5,2.804198741912842,2.7857131958007812,17372,0.6702160493827161,0.8659667372703552,0.8749914765357971,665401,0.5076606750488282,3.354351282119751,3.326409101486206,0.08895564079284668,0.9913966049382716,True,0.7359544038772583,0.0,0.02869136445224285,BiDAVideo original flow_warp; common-mask evaluation
RAFT,StereoAnywhere,dataset_3_keyframe_1,000161,000160,0.9,,,0,0.0,0.8659667372703552,0.8749914765357971,665401,0.5076606750488282,,,0.08895564079284668,0.9913966049382716,False,,,,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_7_keyframe_4,001100,001099,0.05,22.32111167907715,22.265878677368164,11539,0.4451774691358025,7.38713264465332,7.269242286682129,111944,0.085406494140625,26.988847732543945,26.95123291015625,0.06322843581438065,0.989158950617284,True,0.6586359143257141,0.0,0.08534685522317886,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_7_keyframe_4,001100,001099,0.25,10.931941986083984,10.876492500305176,2693,0.1038966049382716,7.38713264465332,7.269242286682129,111944,0.085406494140625,16.84635353088379,16.799579620361328,0.06322843581438065,0.989158950617284,True,0.6709988713264465,0.0,0.09203597158193588,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_7_keyframe_4,001100,001099,0.5,5.57415771484375,5.455385684967041,252,0.009722222222222222,7.38713264465332,7.269242286682129,111944,0.085406494140625,5.416325569152832,5.293489456176758,0.06322843581438065,0.989158950617284,True,0.7817460298538208,0.0,0.1730518490076065,BiDAVideo original flow_warp; common-mask evaluation
RAFT,S2M2-S,dataset_7_keyframe_4,001100,001099,0.9,,,0,0.0,7.38713264465332,7.269242286682129,111944,0.085406494140625,,,0.06322843581438065,0.989158950617284,False,,,,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.05,22.24886131286621,22.176387786865234,11539,0.4451774691358025,8.022991180419922,8.559494972229004,111944,0.085406494140625,26.95465850830078,26.86101531982422,0.06322843581438065,0.989158950617284,True,0.6303839087486267,0.0006933009717613459,0.3792774975299835,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.25,10.7223539352417,10.570382118225098,2693,0.1038966049382716,8.022991180419922,8.559494972229004,111944,0.085406494140625,16.687177658081055,16.71201515197754,0.06322843581438065,0.989158950617284,True,0.612699568271637,0.0029706647619605064,0.3533321022987366,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.5,4.729438781738281,4.7514214515686035,252,0.009722222222222222,8.022991180419922,8.559494972229004,111944,0.085406494140625,4.592974662780762,4.47892427444458,0.06322843581438065,0.989158950617284,False,0.5396825671195984,0.02777777798473835,0.7350676655769348,BiDAVideo original flow_warp; common-mask evaluation
RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.9,,,0,0.0,8.022991180419922,8.559494972229004,111944,0.085406494140625,,,0.06322843581438065,0.989158950617284,False,,,,BiDAVideo original flow_warp; common-mask evaluation
RAFT,StereoAnywhere,dataset_7_keyframe_4,001100,001099,0.05,22.47243881225586,22.497798919677734,11539,0.4451774691358025,6.9119038581848145,7.296538829803467,111944,0.085406494140625,27.071582794189453,27.071752548217773,0.06322843581438065,0.989158950617284,False,0.680908203125,0.0,0.13034959137439728,BiDAVideo original flow_warp; common-mask evaluation
RAFT,StereoAnywhere,dataset_7_keyframe_4,001100,001099,0.25,10.794519424438477,10.909788131713867,2693,0.1038966049382716,6.9119038581848145,7.296538829803467,111944,0.085406494140625,16.674304962158203,16.724565505981445,0.06322843581438065,0.989158950617284,False,0.5681396126747131,0.0,0.2035032957792282,BiDAVideo original flow_warp; common-mask evaluation
