sequence_id,backbone,current_frame,coverage_threshold,age,ppm_similarity,ppm_confidence_adapter,ppm_score,support_ratio,epe_raw_common_cache_px,candidate_epe_cache_px,common_valid_count,common_valid_ratio
dataset_3_keyframe_1,S2M2-S,000033,0.05,1,0.992883563041687,0.9809218645095825,1.8793201446533203,0.9864583333333333,3.974390745162964,3.9910624027252197,21547,0.8312885802469135
dataset_3_keyframe_1,S2M2-S,000033,0.05,2,0.9935176372528076,0.9725270867347717,1.8714990615844727,0.9793595679012346,3.9739503860473633,4.000263690948486,21525,0.8304398148148148
dataset_3_keyframe_1,S2M2-S,000033,0.05,4,0.9903419017791748,0.9507867693901062,1.8468852043151855,0.9612268518518519,3.9739503860473633,4.032256603240967,21525,0.8304398148148148
dataset_3_keyframe_1,S2M2-S,000033,0.05,8,0.9769160747528076,0.8712518811225891,1.755202054977417,0.9017746913580247,3.932332754135132,4.180928707122803,21159,0.8163194444444445
dataset_3_keyframe_1,S2M2-S,000033,0.05,16,0.978543758392334,0.8261257410049438,1.7115488052368164,0.8668595679012345,3.9251456260681152,4.283478736877441,20980,0.8094135802469136
dataset_3_keyframe_1,S2M2-S,000033,0.25,1,0.992883563041687,0.9809218645095825,1.8793201446533203,0.9864583333333333,3.515988826751709,3.5308380126953125,20058,0.7738425925925926
dataset_3_keyframe_1,S2M2-S,000033,0.25,2,0.9935176372528076,0.9725270867347717,1.8714990615844727,0.9793595679012346,3.5158743858337402,3.539750814437866,20044,0.7733024691358025
dataset_3_keyframe_1,S2M2-S,000033,0.25,4,0.9903419017791748,0.9507867693901062,1.8468852043151855,0.9612268518518519,3.5158743858337402,3.568833827972412,20044,0.7733024691358025
dataset_3_keyframe_1,S2M2-S,000033,0.25,8,0.9769160747528076,0.8712518811225891,1.755202054977417,0.9017746913580247,3.4897594451904297,3.719221830368042,19736,0.7614197530864197
dataset_3_keyframe_1,S2M2-S,000033,0.25,16,0.978543758392334,0.8261257410049438,1.7115488052368164,0.8668595679012345,3.4865598678588867,3.8175714015960693,19574,0.7551697530864198
