coverage_threshold,error_threshold_px,count,prevalence,auroc,average_precision,brier,ece,regression_mae
0.05,0.25,1454920,0.3327619433403015,0.8105820968090232,0.7177428825726231,0.2149825245141983,0.20245573563022995,1.157165765762329
0.05,0.5,1832539,0.15890084207057953,0.8384492142390645,0.5890440771695664,0.09988415241241455,0.05550255082181535,1.157165765762329
0.05,1.0,1945440,0.0994206964969635,0.8510605688096207,0.5108897521556854,0.07171318680047989,0.03420070843587156,1.157165765762329
0.05,3.0,1963699,0.07389319688081741,0.8362517794261606,0.3911981198296945,0.07104524970054626,0.04741348425913974,1.157165765762329
0.25,0.25,1372611,0.315868079662323,0.8166872071714865,0.7091106288565486,0.2058423012495041,0.1919129364882861,1.0519098043441772
0.25,0.5,1735007,0.14684782922267914,0.846242237195897,0.5812064876761285,0.0931084081530571,0.04920705320525633,1.0519098043441772
0.25,1.0,1840752,0.09112145751714706,0.8562820863280832,0.5065419513717891,0.06661780923604965,0.03140979645437755,1.0519098043441772
0.25,3.0,1856173,0.06846506148576736,0.840535310164495,0.3907448217074506,0.06618154793977737,0.04480695083493337,1.0519098043441772
0.5,0.25,950172,0.28025558590888977,0.839066658571105,0.7145693043955882,0.17915619909763336,0.1651052647930566,1.0305856466293335
0.5,0.5,1189052,0.1372479945421219,0.8702163227977381,0.612628342718561,0.08349402248859406,0.04419648406915134,1.0305856466293335
0.5,1.0,1250722,0.09409365057945251,0.8725034195290028,0.5376879179434956,0.0645018145442009,0.028763493782266236,1.0305856466293335
0.5,3.0,1257911,0.07378105074167252,0.8542025030650996,0.41190711336772456,0.06557906419038773,0.038247677422078116,1.0305856466293335
0.9,0.25,29078,0.4541921615600586,0.9067150762643714,0.8905456105980812,0.19887521862983704,0.21004972084654647,1.392994999885559
0.9,0.5,32694,0.3259619474411011,0.9064654729960181,0.8120641179830412,0.13636234402656555,0.11619112780588281,1.392994999885559
0.9,1.0,34117,0.2698654532432556,0.8800160255425015,0.6912764299985033,0.13433730602264404,0.09885807602983546,1.392994999885559
0.9,3.0,34246,0.16109910607337952,0.7897839247617002,0.3624530468131546,0.16905371844768524,0.13816398626986087,1.392994999885559
