coverage,regression_risk_mae,error_precision,mean_uncertainty
0.01,0.05251755192875862,1.0,0.06050129234790802
0.05,0.05610020086169243,1.0,0.06546813994646072
0.1,0.05939212813973427,1.0,0.06900946795940399
0.2,0.06406325846910477,1.0,0.07404264062643051
0.5,0.07333533465862274,1.0,0.08493736386299133
1.0,0.13728614151477814,0.5614265356633916,0.12254463136196136
