backbone,epe,raw_epe,epe_gain,false_update_rate,clean_pixel_degradation,intervention_coverage
S2M2-S,1.0095919803661897,1.0289503864811451,0.01935840611495543,0.01962476267935906,0.0102267449834808,0.051722399484684274
RAFT-Stereo,0.8973242611803847,0.925868842566091,0.02854458138570637,0.019672720733680992,0.00967451897140802,0.058604247688203985
StereoAnywhere,0.8970623391402738,0.9299963128261026,0.03293397368582884,0.018396919367669955,0.009235064155437228,0.05834717313825111
