backbone,sequence,coverage_threshold,method,frames,valid_count,epe,raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_pixel_degradation,mean_update_magnitude_clean,percentage_frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,clean_frame_degradation
Fast-FoundationStereo,dataset_7_keyframe_3,0.05,raw,160,1683403,2.2930010191237726,2.2930010191237726,0.16430587353048667,0.13749470577858164,6.635422962485431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fast-FoundationStereo,dataset_7_keyframe_3,0.05,original_a2,160,1683403,2.234435340898118,2.2930010191237726,0.16453695347761582,0.1344229520773268,6.3825877099012684,0.0009824251763318598,0.3448983985101694,0.6188966743608728,0.2602330771974242,0.09510647733583423,0.05085417761156572,0.01875,0.01986359991133213,-0.010605130391195424,0.011293280064128306,0.04918032786885246
Fast-FoundationStereo,dataset_7_keyframe_3,0.05,heuristic_bida_gate,160,1683403,2.287820456124562,2.2930010191237726,0.16379500329207855,0.1373182774633789,6.62942509720078,0.0016184518663423966,0.33831946494289133,0.5312442683523234,0.23028242750163866,0.0700535217593818,0.0388156809219259,0.4125,0.11200183629989624,0.04401322305202474,0.0861614491790532,0.21311475409836064
Fast-FoundationStereo,dataset_7_keyframe_3,0.05,authorized_ultra_safe,160,1683403,2.2609072425705325,2.2930010191237726,0.16392628532293071,0.13579517253144854,6.487856269783441,0.0005368230750871695,0.03321842718803374,0.822043532273432,0.003537848790230623,0.0031482050742014985,0.004071242504747437,0.0125,0.013092083856463432,-0.0046847908524796375,0.0011178060108795475,0.03278688524590164
Fast-FoundationStereo,dataset_7_keyframe_3,0.05,authorized_balanced,160,1683403,2.2446250150804903,2.2930010191237726,0.16447992565358058,0.13473779071388875,6.411034409453966,0.0007287590341623962,0.0933828674783887,0.770616334080729,0.01742743194188236,0.013388120162831935,0.00983602907088585,0.01875,0.010727929882705212,-0.01226465329527855,0.004662134834798029,0.04918032786885246
Fast-FoundationStereo,dataset_7_keyframe_3,0.05,authorized_high_coverage,160,1683403,2.2446250150804903,2.2930010191237726,0.16447992565358058,0.13473779071388875,6.411034409453966,0.0007287590341623962,0.0933828674783887,0.770616334080729,0.01742743194188236,0.013388120162831935,0.00983602907088585,0.01875,0.010727929882705212,-0.01226465329527855,0.004662134834798029,0.04918032786885246
Fast-FoundationStereo,dataset_7_keyframe_3,0.05,oracle_authorized_a2,160,1683403,2.205154999141057,2.2930010191237726,0.15766872302186422,0.133565759304377,6.3059849745420395,0.0,0.2244774421138236,0.9800480786333831,0.1591937589249979,0.0,0.023204144404792116,0.0,-0.028978770598769188,-0.03374909013509751,-0.030432284716516735,0.0
Fast-FoundationStereo,dataset_7_keyframe_3,0.25,raw,160,1608626,2.026566197280179,2.026566197280179,0.1455701938995162,0.12332512291965607,6.037531367275898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fast-FoundationStereo,dataset_7_keyframe_3,0.25,original_a2,160,1608626,1.973325193596197,2.026566197280179,0.14604637715914653,0.12061784407000481,5.771605433024117,0.0008508199948963836,0.330682208383735,0.6091363800414813,0.25737926394169486,0.09231962396610352,0.04889462180268432,0.025,0.017768822610378265,-0.006813558284193277,0.009590790625661583,0.06060606060606061
Fast-FoundationStereo,dataset_7_keyframe_3,0.25,heuristic_bida_gate,160,1608626,2.020126159811682,2.026566197280179,0.14490130018638014,0.12308454467104561,6.022722256573342,0.0014678500962127762,0.3251936748811837,0.544457913246926,0.22735574285928017,0.06826777268926616,0.03837813735009212,0.4,0.11172935366630554,0.03979019541293381,0.08017583958804597,0.21212121212121213
