study,variant,auroc,average_precision,brier,ece,regression_mae,spearman,uncertainty_error_correlation,selection
architecture,S1_pixel,0.8455,0.1675,0.0277,0.0558,0.1115,0.4350,,selected
architecture,S2_local,0.7523,0.0829,0.0289,0.0217,0.1176,0.2929,,rejected
architecture,S3_multiscale,0.6829,0.0807,0.0328,0.0550,0.1169,0.0147,,rejected
target,A0_classification,0.8507,0.1673,0.0273,0.0456,0.3516,,,rejected
target,A1_regression,0.5000,0.0251,0.0333,0.0941,0.1106,0.3949,,rejected
target,A2_joint,0.8455,0.1675,0.0277,0.0558,0.1115,0.4350,,rejected
target,A3_joint_uncertainty,0.8320,0.2110,0.0246,0.0487,0.1190,0.3795,0.6504,rejected
target,A4_indifference_asymmetric,0.8303,0.2100,0.0237,0.0376,0.1180,0.3723,0.6315,selected
false_positive_cost,1_to_1,0.8242,0.1794,0.0400,0.1266,0.1159,0.3646,0.7091,rejected
false_positive_cost,3_to_1,0.8303,0.2100,0.0237,0.0376,0.1180,0.3723,0.6315,rejected
false_positive_cost,5_to_1,0.8280,0.2209,0.0225,0.0220,0.1143,0.3645,0.5666,selected

