probability_threshold,error_threshold_px,uncertainty_threshold_px,intervention_coverage,intervention_precision,false_update_rate,clean_pixel_degradation,epe_gain,retained_a2_gain
0.5,0.25,0.25,6.650333447719069e-07,1.0,6.953010166691466e-07,0.0,8.940697e-08,9.399836e-06
0.5,0.25,0.5,0.005761848899103801,0.5444367497691598,0.003349960298311948,0.0020796453408574176,0.00020824373,0.021893784
0.5,0.25,1.0,0.015026428425121235,0.6096924098251826,0.007363933067542932,0.004803139423150465,0.0022132397,0.23268981
0.5,0.25,2.0,0.01701953335940264,0.6211706783369803,0.007927822192061609,0.005298889048035566,0.003149107,0.33108258
0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.0005586280096084018,0.5761904761904761,0.0003073230493677628,0.00021276211110075885,4.325807e-05,0.004547954
0.5,0.5,1.0,0.009789290835042468,0.6466032608695652,0.004313647507415385,0.002930693785260453,0.002048105,0.2153283
0.5,0.5,2.0,0.011782395769323875,0.6569396624710729,0.004877536631934063,0.003426443410145554,0.0029839724,0.3137211
0.5,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,2.0,0.0014391321580864065,0.7786506469500925,0.0002822922127676735,0.0002551754731175768,0.0008471459,0.089065015
0.65,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.25,0.5,0.002078229202412209,0.54624,0.0011423795703874079,0.0007391049807193028,8.0540776e-05,0.008467685
0.65,0.25,1.0,0.010846028819885029,0.6340057636887608,0.004787842800783744,0.003267914778344989,0.002055809,0.21613826
0.65,0.25,2.0,0.012836473620787346,0.6454771526266708,0.005350341323269083,0.003762273801196752,0.0029915571,0.3145185
0.65,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,0.5,0.0005060903753714212,0.5650459921156373,0.0002836828148010118,0.00019677018771736848,3.5077333e-05,0.003687869
0.65,0.5,1.0,0.009251943892466767,0.6502300172512938,0.003927755443164009,0.0027248846843263854,0.0020103157,0.21135531
0.65,0.5,2.0,0.011242388693369085,0.660455486542443,0.004490253965649348,0.0032192437071781486,0.0029460788,0.30973715
0.65,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,2.0,0.0014391321580864065,0.7786506469500925,0.0002822922127676735,0.0002551754731175768,0.0008471459,0.089065015
0.8,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.25,0.5,0.0001935247033286249,0.3917525773195876,0.00011402936673374004,8.204551996695929e-05,-1.4483929e-05,-0.0015227734
0.8,0.25,1.0,0.006432202510633883,0.6761786600496278,0.0022027136208078563,0.0016325667871391562,0.0016992092,0.17864701
0.8,0.25,2.0,0.008358139077093325,0.6866645448758752,0.002709588061959664,0.002083121845940763,0.002642393,0.27780902
0.8,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.5,0.5,8.046903471740073e-05,0.36363636363636365,4.7975770150171115e-05,3.685095388346477e-05,-5.066395e-06,-0.0005326574
0.8,0.5,1.0,0.006314491608609256,0.6807793575566088,0.0021366600242242874,0.0015873722210556617,0.0017082393,0.17959641
0.8,0.5,2.0,0.008240428175068698,0.6903397627310145,0.002643534465376095,0.0020379272798572686,0.0026514232,0.2787584
0.8,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,2.0,0.001435806991362547,0.7795275590551181,0.00027951100870099693,0.00025308957006756934,0.0008469671,0.08904622
0.9,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.25,0.5,5.985300102947161e-06,0.3333333333333333,2.7812040666765865e-06,2.0859030500074396e-06,-7.003546e-07,-7.363205e-05
0.9,0.25,1.0,0.003085754719741648,0.7112068965517241,0.0007669170213860687,0.000625770915002232,0.0010817647,0.11373175
0.9,0.25,2.0,0.0046944703807448905,0.7448647117155405,0.0010172253873869613,0.0008454860362696822,0.002083838,0.21908511
0.9,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.5,0.5,3.990200068631441e-06,0.16666666666666666,2.0859030500074396e-06,2.0859030500074396e-06,-8.940697e-07,-9.399836e-05
0.9,0.5,1.0,0.003083759619707332,0.7112357127453095,0.0007662217203693995,0.000625770915002232,0.0010816008,0.113714516
0.9,0.5,2.0,0.004692475280710575,0.7448979591836735,0.0010165300863702923,0.0008454860362696822,0.002083674,0.21906789
0.9,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,2.0,0.0013167660226483756,0.8237373737373738,0.00018564537145066213,0.00016756754501726431,0.00086803734,0.09126144
0.95,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.25,1.0,0.0012176760542773615,0.7367558711086838,0.00021137150906742056,0.00017382525416728665,0.0004759133,0.050035328
0.95,0.25,2.0,0.002614246078298366,0.7964894428898499,0.0003525176154512573,0.0003003700392010713,0.0014472604,0.15215828
0.95,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5,1.0,0.0012176760542773615,0.7367558711086838,0.00021137150906742056,0.00017382525416728665,0.0004759133,0.050035328
0.95,0.5,2.0,0.002614246078298366,0.7964894428898499,0.0003525176154512573,0.0003003700392010713,0.0014472604,0.15215828
0.95,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.95,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,1.0,2.0,0.0011771090202462751,0.86045197740113,0.0001105528616503943,0.0001015139484336954,0.00085002184,0.089367375
