backbone,epe_cache_px_frame_weighted,bad1_cache_frame_weighted,bad3_cache_frame_weighted,total_frames_usable,total_frames_available
S2M2-S,1.0421221441499338,0.33149063436620646,0.040799881120582776,7806,16921
RAFT-Stereo,1.0442858655048644,0.3370209571671187,0.03774038866170151,7806,16921
StereoAnywhere,1.0585845807061849,0.3415024098257086,0.03793778710764764,7806,16921
CREStereo,1.0595443296243128,0.336125288321813,0.04044447913190495,7806,16921
Fast-FoundationStereo,1.062122529692797,0.3445538735389254,0.03953577153515627,7806,16921
