backbone,sequence,n_frames_available,n_frames_usable,epe_cache_px,bad1_cache,bad3_cache,absrel_cache,valid_ratio_cache,disparity_min_cache,disparity_median_cache,disparity_max_cache
S2M2-S,dataset_1_keyframe_2,280,24,0.656556331863006,0.0,0.0,0.08381367148831487,6.26929012345679e-05,5.154459635416667,8.569986979166666,17.875
S2M2-S,dataset_1_keyframe_3,471,167,0.5617649981718578,0.007734708718856136,0.0,0.07328834148224242,0.00037471353589118065,5.236456773952096,9.248830464071856,10.957709580838323
S2M2-S,dataset_2_keyframe_2,1033,63,0.8954654932022095,0.1862340471019568,0.0,0.11550990279231753,0.00325237605330198,6.598090277777778,8.339161706349206,16.27393353174603
S2M2-S,dataset_2_keyframe_3,1102,792,1.0129169693799933,0.34147190234877184,0.026185820004519283,0.10326526236409943,0.008916518580870432,7.668604995265151,12.57095367739899,21.035600142045453
S2M2-S,dataset_2_keyframe_4,2114,1588,1.0948201320333504,0.5703467496338809,0.007741434318683507,0.10582989435736793,0.039133999790092355,7.584798587059194,10.723908316278338,23.00336508186398
S2M2-S,dataset_3_keyframe_1,329,142,0.5308869800097505,0.01856857714130563,0.0,0.08768370952194846,0.002482720396452791,3.8796902508802815,8.117847711267606,24.649757922535212
S2M2-S,dataset_3_keyframe_2,1597,1528,0.635303911348288,0.06694331779423345,0.001127887891631347,0.10073611444942361,0.008546206410380713,4.560334689954188,8.848650707624346,20.905114937827225
S2M2-S,dataset_3_keyframe_3,448,423,0.46154178111829375,0.053025249596228605,0.00031526750758136067,0.07709482527969859,0.0061261419023436355,4.704029994089835,10.561558067375886,17.44738105791962
S2M2-S,dataset_3_keyframe_4,834,776,1.0415631390570366,0.4897117147601074,0.0047568839132492114,0.11161463367800738,0.013038731386025201,5.871131503704897,12.984072970360824,24.920717219716494
S2M2-S,dataset_6_keyframe_1,637,24,0.7003387783964475,0.08611111111111112,0.0,0.09973995666950941,0.0011381172839506173,5.44482421875,7.620279947916667,8.656575520833334
S2M2-S,dataset_6_keyframe_2,1087,80,0.8834003746509552,0.21083829365079368,0.0,0.10300369607284665,0.00013792438271604938,7.492333984375,9.649609375,14.0365234375
S2M2-S,dataset_6_keyframe_3,1573,454,0.8244791199260346,0.17545145798733996,0.03330467321019141,0.10949291561274802,0.00040033379561646817,6.146424146475771,8.02405699339207,12.277687912995594
S2M2-S,dataset_6_keyframe_4,1360,329,1.3360517099273241,0.5070467299783024,0.06928183318775652,0.1545550429696036,0.004270211827835942,7.234933035714286,8.655775075987842,12.34375
S2M2-S,dataset_7_keyframe_1,647,23,1.6892106960649076,0.5217391304347826,0.1956521739130435,0.18606163375079632,8.722490606548576e-05,4.877887228260869,10.90625,24.683423913043477
