method,causal,checkpoint,temporal_diff,teacher_delta_mae,refined_to_backbone_mae,refined_to_sav_mae,runtime_ms_per_frame,peak_vram_mb,depth_mae_mm,bad_2mm
raw_s2m2_l736,True,,1.2552756021022797,0.7057699236869812,0.0,1.4577294526592133,0.0,0.0,nan,nan
stereoanyvideo,False,,0.9672406885623932,0.0,1.4577294526592133,0.0,0.0,0.0,nan,nan
ema_alpha_0.3,True,,0.8788181698322296,0.6613989477157592,1.929268889957004,2.613780438426941,0.0,0.0,nan,nan
prev_blend_alpha_0.3,True,,1.1177281482219696,0.7205540883541107,0.8231413889498937,1.708479953190637,0.0,0.0,nan,nan
ema_alpha_0.5,True,,0.9991271004676819,0.588235728263855,0.9382085104783376,1.8266868903523399,0.0,0.0,nan,nan
prev_blend_alpha_0.5,True,,1.0904561393260956,0.6099124104976654,0.5879581595460573,1.5819757268542336,0.0,0.0,nan,nan
ema_alpha_0.7,True,,1.0970052623748778,0.5851808910369873,0.44089607764331123,1.5328862813730089,0.0,0.0,nan,nan
prev_blend_alpha_0.7,True,,1.1212829530239106,0.5863234288692475,0.3527749280134837,1.489794604835056,0.0,0.0,nan,nan
ema_alpha_0.9,True,,1.1960785627365111,0.6452890167236328,0.12452571085166364,1.4502122794824934,0.0,0.0,nan,nan
prev_blend_alpha_0.9,True,,1.198378077507019,0.644874009847641,0.11759165908017802,1.4492969844076369,0.0,0.0,nan,nan
median3_noncausal,False,,1.0257213275432586,0.5303130350112915,0.15621315535630972,1.4244314285497817,0.0,0.0,nan,nan
median3_causal,True,,1.0194842764139176,0.8175739850997925,1.0226838567427226,1.9009332358837128,0.0,0.0,nan,nan
median5_noncausal,False,,0.9447306764125823,0.49158774518966675,0.23968586798698183,1.4117111705598377,0.0,0.0,nan,nan
median5_causal,True,,0.9316155455112457,0.9190742876529694,1.8722078187598123,2.5899700120327966,0.0,0.0,nan,nan
tiny_unet_conservative,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/best.pt,1.2434049863815309,0.6958011786937713,0.08595171647648962,1.403774448803493,95.65664372140807,973.634765625,nan,nan
tiny_unet_conservative:epoch_0010,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0010.pt,1.2462707805633544,0.6987845664024352,0.0960744410043671,1.4212722243770721,94.06561862736467,973.634765625,nan,nan
tiny_unet_conservative:epoch_0020,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0020.pt,1.2403305191993714,0.6928183615207673,0.11038092795818572,1.3971265686882868,91.99582439817725,973.634765625,nan,nan
tiny_unet_conservative:epoch_0030,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0030.pt,1.2414252560138703,0.693881217956543,0.08867358777021604,1.3981756695679255,92.05754708853506,973.634765625,nan,nan
tiny_unet_conservative:epoch_0040,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0040.pt,1.2434049863815309,0.6958011786937713,0.08595171647648962,1.403774448803493,90.45998215128387,973.634765625,nan,nan
tiny_unet_conservative:epoch_0050,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0050.pt,1.2391061868667603,0.6916265738010406,0.09338608313174475,1.3915347475854178,90.76221748476937,973.634765625,nan,nan
tiny_unet_conservative:epoch_0060,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0060.pt,1.2397371547222138,0.6926768441200256,0.11277034098193758,1.3787515925036535,90.99558923053482,973.634765625,nan,nan
tiny_unet_conservative:epoch_0070,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0070.pt,1.2372464864253998,0.6900138823986054,0.10187531629252056,1.3919621393794106,90.03453826280459,973.634765625,nan,nan
tiny_unet_conservative:epoch_0080,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0080.pt,1.2368434274196625,0.6898315880298614,0.11407915017907581,1.3814600398616186,90.93911550746905,973.634765625,nan,nan
tiny_unet_conservative:epoch_0090,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0090.pt,1.23729967212677,0.690203566789627,0.10369640541455102,1.3897442264216286,91.22051872379545,973.634765625,nan,nan
tiny_unet_conservative:epoch_0100,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0100.pt,1.2353265476226807,0.6887048380374908,0.1225934245638431,1.3793259650941878,90.2737703410879,973.634765625,nan,nan
convgru_v1_conservative,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/best.pt,1.240955428123474,0.6932295055389405,0.05502557855040308,1.435530124202607,67.584449380991,974.474609375,nan,nan
convgru_v1_conservative:latest,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/latest.pt,1.2281372137069702,0.6814937205314636,0.09144478368144186,1.3949883471405695,67.137563214933,974.474609375,nan,nan
convgru_v1_conservative:epoch_0010,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0010.pt,1.2287138462066651,0.685927681684494,0.1573973929006902,1.397969550083554,67.72495562668949,974.474609375,nan,nan
convgru_v1_conservative:epoch_0020,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0020.pt,1.231355585336685,0.6856489386558533,0.11924897459527803,1.407408322606768,67.11204738045733,974.474609375,nan,nan
convgru_v1_conservative:epoch_0030,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0030.pt,1.2217375695705415,0.6774802474975586,0.1222929446588433,1.4055748321707286,67.3002573099756,974.474609375,nan,nan
