dataset,frame,valid_px,retained_le_1px,retained_le_1px_ratio,retained_le_2px,retained_le_2px_ratio,retained_le_3px,retained_le_3px_ratio,retained_le_5px,retained_le_5px_ratio,retained_le_10px,retained_le_10px_ratio
dataset_3,keyframe_4/frame_000740,374400,225602,0.6025694444444445,316774,0.8460844017094017,347289,0.927588141025641,364236,0.9728525641025642,373407,0.9973477564102564
dataset_5,keyframe_3/frame_001040,405080,3137,0.007744149303841217,5671,0.013999703762219809,7732,0.019087587637009972,12885,0.031808531648069516,26847,0.06627579737335836
dataset_2,keyframe_2/frame_000700,396562,109233,0.27544999268714604,184380,0.4649462126981405,235612,0.5941366041123456,305481,0.7703234298798171,376400,0.9491580131227904
dataset_4,keyframe_4/frame_000050,460371,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
dataset_5,keyframe_3/frame_000560,459559,48331,0.10516821561540521,91561,0.19923665949312275,124919,0.2718236396197224,180374,0.39249367328242946,291760,0.6348695162101058
dataset_1,keyframe_3/frame_000120,1004042,178433,0.17771467727445664,490923,0.48894667752942605,769991,0.7668912256658585,957549,0.9536941681722477,1004001,0.9999591650548483
dataset_2,keyframe_4/frame_001030,480524,13402,0.02789038632825832,33450,0.06961150743771383,72880,0.15166776269239413,207614,0.43205750389158504,399865,0.8321436598380102
dataset_2,keyframe_3/frame_000180,292715,100240,0.34244913994841397,170979,0.5841142408144441,217486,0.742995746716089,256148,0.875076439540167,282222,0.9641528449174112
dataset_3,keyframe_4/frame_000430,347064,169256,0.48767950579720165,256961,0.7403850586635318,296169,0.8533555770693589,329266,0.9487183919968651,342882,0.9879503492151304
dataset_3,keyframe_2/frame_000740,450375,207615,0.46098251457119066,334545,0.7428143213988343,391153,0.8685051346100472,433175,0.9618096031085207,447305,0.9931834582292534
dataset_1,keyframe_2/frame_000250,693389,356452,0.5140721874734095,548805,0.7914821261946757,628760,0.9067925796342313,684432,0.9870822871432918,693361,0.9999596186267737
dataset_2,keyframe_2/frame_000070,606150,292499,0.4825521735544007,461672,0.7616464571475707,515804,0.8509510847150046,545111,0.8993005031757816,587499,0.9692303885176936
dataset_5,keyframe_2/frame_001340,445517,10710,0.02403948670870023,21137,0.04744375635497635,31832,0.07144957431478484,53439,0.11994828480170229,108438,0.24339811948814524
dataset_3,keyframe_4/frame_000170,368778,126308,0.3425041623958045,230389,0.6247362912104302,299011,0.8108157211113461,343813,0.9323034454332959,357196,0.9685935712000173
dataset_5,keyframe_3/frame_000980,411884,6425,0.015599052160316982,12973,0.031496732089617466,19595,0.04757407425391615,33984,0.08250866748890465,72803,0.1767560769537054
dataset_5,keyframe_2/frame_000920,450203,13727,0.03049068975551029,27746,0.061629975810911966,42311,0.09398204809830232,73230,0.1626599556200203,152944,0.3397223030499575
dataset_4,keyframe_4/frame_000060,424790,590,0.0013889215847830692,1151,0.0027095741425174793,1796,0.004227971468254902,2939,0.006918712775724476,5939,0.013981025918689235
dataset_3,keyframe_2/frame_001240,477770,139226,0.29140799966511083,259743,0.5436569897649497,334515,0.7001590723569918,399391,0.835948259622831,461531,0.9660108420369634
dataset_3,keyframe_2/frame_001500,459608,119843,0.26075046561417553,237108,0.5158918034498964,305212,0.6640702511705627,382217,0.8316152025204087,445223,0.968701589180345
dataset_6,keyframe_4/frame_000310,764264,308376,0.4034940805794856,515482,0.6744815927480556,621018,0.8125700019888416,702571,0.9192778935027687,736429,0.9635793390765495
dataset_3,keyframe_2/frame_000300,448536,115968,0.25854780887152873,209047,0.4660651541905221,274621,0.6122607772843205,334367,0.7454630174612518,424183,0.9457055843901047
dataset_6,keyframe_4/frame_000180,499126,154213,0.308966072695071,292855,0.5867356138530151,375510,0.7523350817228516,431214,0.8639381639105156,449461,0.900496067125335
dataset_6,keyframe_1/frame_000250,665411,142307,0.21386331154729935,279042,0.4193528510950375,379834,0.570826151055513,528305,0.7939529103065625,659560,0.9912069382682283
dataset_2,keyframe_3/frame_000030,518660,66522,0.1282574326148151,158696,0.30597308448694716,258421,0.4982474067790074,386601,0.745384259437782,507015,0.9775479119268885
dataset_3,keyframe_2/frame_001310,448954,102286,0.22783180459468008,221212,0.4927275400152354,298084,0.6639522089122717,363376,0.809383589410051,432325,0.9629605705707044
dataset_6,keyframe_3/frame_000940,317064,93541,0.295022456034113,172117,0.5428462392450736,244101,0.769879267277269,307457,0.9697001236343451,316986,0.9997539928847173
dataset_1,keyframe_1/frame_000090,751882,424255,0.5642574233722845,640676,0.8520964725847939,719577,0.9570344814744867,751410,0.9993722419209398,751868,0.999981380056977
dataset_5,keyframe_3/frame_000390,383203,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
dataset_3,keyframe_2/frame_001180,521455,197656,0.3790470893940992,306653,0.588071837454814,367775,0.7052861704269784,489682,0.9390685677575246,515330,0.9882540200017259
dataset_4,keyframe_2/frame_000250,787163,95418,0.12121758771690234,187244,0.23787195282298584,281068,0.3570645469870916,456630,0.5800958632456048,662581,0.841732906653387
dataset_4,keyframe_1/frame_000160,673038,3,4.457400622253127e-06,4,5.943200829670836e-06,6,8.914801244506254e-06,7,1.0400601451923962e-05,9,1.337220186675938e-05
dataset_2,keyframe_4/frame_001240,363791,10263,0.02821125316459176,23932,0.06578502491815355,45136,0.12407123870574038,140460,0.38610081063027946,339252,0.9325464346286741
dataset_4,keyframe_4/frame_000180,436485,442,0.0010126350275496295,1011,0.0023162307983092202,1429,0.0032738811184805892,2433,0.00557407471047115,4523,0.010362326311327994
dataset_6,keyframe_4/frame_000580,312831,45364,0.14501120413258275,88502,0.2829067451755101,128442,0.4105795141785821,191101,0.6108761599713584,282153,0.9019342712199239
dataset_5,keyframe_2/frame_000630,270274,597,0.0022088695176006572,1203,0.004451038575667656,1698,0.006282513301316441,2625,0.009712365969349624,5319,0.019680028415607866
dataset_5,keyframe_3/frame_001070,406863,1,2.457829785456038e-06,1,2.457829785456038e-06,1,2.457829785456038e-06,2,4.915659570912076e-06,3,7.373489356368114e-06
dataset_6,keyframe_3/frame_000770,285630,151768,0.5313447467002765,234124,0.8196758043622868,267198,0.9354689633441865,285498,0.9995378636697826,285603,0.9999054721142737
dataset_2,keyframe_1/frame_000060,592895,215342,0.36320427731723154,449279,0.7577716121741623,549369,0.9265873383988733,581558,0.9808785704045404,591303,0.9973148702552729
dataset_3,keyframe_4/frame_000070,452712,155363,0.34318286239375145,281122,0.6209731573273958,351031,0.7753958366466981,401371,0.8865923589390164,437278,0.9659076852391808
dataset_4,keyframe_1/frame_000180,678164,0,0.0,0,0.0,0,0.0,0,0.0,1,1.4745695731415999e-06
