epoch,selection_loss_domain_equal,gradient_norm,train_total,train_classification,train_regression,train_uncertainty,train_sigma_penalty,train_clean_authorization,train_probability_mean,train_mu_mean,train_sigma_mean,train_positive_prevalence,train_classification_valid_count,train_regression_valid_count,scared_cal_loss_total,scared_cal_loss_classification,scared_cal_loss_regression,scared_cal_loss_uncertainty,scared_cal_loss_sigma_penalty,scared_cal_loss_clean_authorization,scared_cal_loss_probability_mean,scared_cal_loss_mu_mean,scared_cal_loss_sigma_mean,scared_cal_loss_positive_prevalence,scared_cal_loss_classification_valid_count,scared_cal_loss_regression_valid_count,scared_cal_auroc,scared_cal_average_precision,scared_cal_brier,scared_cal_ece,scared_cal_regression_mae,scared_cal_pearson,scared_cal_spearman,scared_cal_uncertainty_error_correlation,added_cal_loss_total,added_cal_loss_classification,added_cal_loss_regression,added_cal_loss_uncertainty,added_cal_loss_sigma_penalty,added_cal_loss_clean_authorization,added_cal_loss_probability_mean,added_cal_loss_mu_mean,added_cal_loss_sigma_mean,added_cal_loss_positive_prevalence,added_cal_loss_classification_valid_count,added_cal_loss_regression_valid_count,added_cal_auroc,added_cal_average_precision,added_cal_brier,added_cal_ece,added_cal_regression_mae,added_cal_pearson,added_cal_spearman,added_cal_uncertainty_error_correlation
1,3.7400255454083284,5.360042095184326,3.1746039625722915,0.3594467045040801,2.2589795191888697,2.1098680302966386,0.6910452090404995,0.10793249099515378,0.18497435926110484,0.9104337593307719,1.292481376323849,0.3781144574750215,8001.4765625,9308.40625,0.6040688062707583,0.279408868526419,0.18833334868152937,0.4555010348558426,0.00046450323649006956,0.08980067571004231,0.09365051649510861,0.39859884480635327,0.4926003028949102,0.03708341515157372,55681.066666666666,57684.25,0.8694507916739878,0.2217642586341308,0.032291971147060394,0.057915243247756015,0.3085957467556,0.2041896167043519,0.21453809873303806,0.7918620810716568,6.875982284545898,0.5204818248748779,5.430921384266445,3.5256960732596263,1.9632754496165685,0.1529879825455802,0.45665912117276874,4.317475387028286,3.251539707183838,0.7706583653177533,3841.5714285714284,3978.4285714285716,0.831977059598543,0.9842058591537841,0.24752052128314972,0.35932853410266485,3.0949411392211914,0.6700483888702491,0.6565633714118752,0.23997172710214174
2,3.2942478535962954,3.177766799926758,1.5945815802551806,0.2903567904722877,1.0401239577913657,0.9523904477537144,2.0815197141935915,0.08319766643398907,0.2188066833477933,2.2904580840840936,1.34647945035249,0.3781730913906358,8014.9375,9319.8359375,0.269314094632864,0.23222553196052712,0.07775844720502695,-0.22542355231319863,4.908096727831435e-05,0.06274352197845777,0.0719019876793027,0.24128256092468897,0.26796205540498097,0.03708341515157372,55681.066666666666,57684.25,0.9156797401094792,0.5079511717823002,0.022941594943404198,0.0428810054496416,0.1541110724210739,0.6229245127739468,0.20866812205191715,0.7721027971906693,6.319181612559727,0.5818458135638919,4.762936183384487,3.7747224058423723,0.21986021533874528,0.12067779153585434,0.45025521516799927,5.388841322490147,2.3175595147269115,0.7706583653177533,3841.5714285714284,3978.4285714285716,0.8195768425947455,0.9790276113946043,0.26902979612350464,0.3572854045427071,2.619091033935547,0.7736737977584716,0.7570378166159362,0.47734807025157483
3,2.898799739092855,11.18813705444336,1.2015798327047378,0.27189574990188703,0.7152842357172631,0.7734175770892762,0.2575765487041082,0.08160608155594673,0.22784605858032592,2.469096352928318,0.9901097046677023,0.37717138772131875,8037.8828125,9363.10546875,0.38859935393556955,0.22627292101581892,0.13154003024101257,0.04013706519035622,4.218056109608741e-05,0.08300812213371198,0.0941183552145958,0.3538970040778319,0.2493610476454099,0.03708341515157372,55681.066666666666,57684.25,0.9166343148912117,0.5261737258124878,0.02383449114859104,0.052122559551116006,0.1942007839679718,0.6387360109496051,0.09446717780546529,0.8468415521328839,5.40900012425014,0.4847262842314584,4.1057614258357455,3.1044749191829135,0.10566287210583271,0.1685183346271515,0.5311895779200962,7.227874415261405,1.7715160506112235,0.7706583653177533,3841.5714285714284,3978.4285714285716,0.8060141052468418,0.968403877324868,0.24530795216560364,0.33326234443570085,3.291687488555908,0.6587074420678823,0.6582597435017318,0.6720014212221871
4,2.7849052357975217,11.000821113586426,1.0986659592017531,0.26166588193154894,0.63805009360658,0.7144036495010369,0.020202156092689813,0.08119427219207864,0.23641484425752424,2.594911169959232,0.7981157107278705,0.37829086009878665,8024.82421875,9329.6796875,0.41266350684066616,0.22393429155151048,0.14840255125115315,0.06960726612402747,4.8194017389372826e-05,0.09169891687730948,0.10381341191629569,0.3696754090487957,0.30084242299199104,0.03708341515157372,55681.066666666666,57684.25,0.9145207819802994,0.5531986656332315,0.02448064088821411,0.0572708291813367,0.21221964061260223,0.621412745764532,0.12046091727252342,0.8841266595115873,5.157146964754377,0.45773729256221224,3.932880844388689,2.866173948560442,0.09286269971302577,0.19901351630687714,0.5868494170052665,8.596002578735352,1.5413204090935844,0.7706583653177533,3841.5714285714284,3978.4285714285716,0.8091141594977913,0.9685915845668629,0.2053721845149994,0.2695972967260289,3.9867966175079346,0.6534997129948248,0.6180635260143482,0.8724927776591334
5,2.874939924540619,15.1361665725708,1.0094171150121838,0.260232163942419,0.5660979084204882,0.6500436561036622,0.010452489087738215,0.08220000377332326,0.23889139021048322,2.6049317298457026,0.7044007256627083,0.37725497427163646,8011.7734375,9324.44921875,0.4082782388975223,0.2234943401068449,0.13892698809504508,0.08857070337592934,1.0879178691484507e-05,0.09485684012373288,0.10706961092849572,0.36529259060819946,0.3062425896525383,0.03708341515157372,55681.066666666666,57684.25,0.9178242676308939,0.5633066661390087,0.024599583819508553,0.061197383962873324,0.20761847496032715,0.6337411805173975,0.16893308718455582,0.874502404767262,5.341601610183716,0.43897174085889545,4.066928420748029,3.1307790279388428,0.01975033325808389,0.21182931321007864,0.6103122404643467,9.329006331307548,1.295284935406276,0.7706583653177533,3841.5714285714284,3978.4285714285716,0.7973339533441834,0.9675116635809744,0.1926151067018509,0.2399386147845466,4.729609966278076,0.725355231963905,0.6321157561195629,0.9266945419399724
