coverage,sample_count,mean_realized_utility_px,memory_better_precision,harmful_fraction,mean_helpful_magnitude_px,mean_harmful_magnitude_px
0.001,1794,8.653287887573242,0.9498327759197325,0.04793756967670011,9.288291931152344,3.958193778991699
0.002,3588,5.123118877410889,0.9264214046822743,0.06661092530657749,5.655959129333496,2.3433351516723633
0.005,8970,2.535655975341797,0.8583054626532888,0.12028985507246377,3.062135934829712,1.3146251440048218
0.01,17939,1.3971246480941772,0.7487596856012041,0.21015664195328615,1.9571605920791626,0.7076897025108337
0.02,35877,0.7626965045928955,0.6550714942720963,0.28371937452964296,1.2475842237472534,0.4614556133747101
0.05,89691,0.3292640745639801,0.5414032623117147,0.36407220345408126,0.6855647563934326,0.2930891811847687
0.1,179382,0.16978543996810913,0.4314256725869931,0.41052056505111995,0.4328719675540924,0.20798873901367188
0.2,358764,0.08519427478313446,0.23453022042345387,0.45032388979942245,0.25263512134552,0.11917862296104431
0.5,896909,0.034570496529340744,0.09401734178160773,0.4701614099089205,0.11701717227697372,0.05829798802733421
1.0,1793817,0.0016429569805040956,0.09633368398225683,0.46978593691552706,0.0985092967748642,0.10765569657087326
