Method,Training / Checkpoint,Input res.,Depth MAE ↓,Bad-2 mm ↓,Disp. MAE ↓,Temporal diff ↓,Runtime ↓,VRAM ↓,Causal,Frames with GT,Notes
ConvGRU V2 e40,ARGOS scheduled checkpoint epoch 40,S2M2-L@736 input,2.5508430536510875,36.79527999352749,8.215698098673403,1.0810852055401765,23.979755122071275,982.904296875,yes,103,
ConvGRU V2 e50,ARGOS scheduled checkpoint epoch 50,S2M2-L@736 input,2.5547832910296986,36.756385830362746,8.226896943397893,1.137467644473379,24.042227989635787,982.904296875,yes,103,
ConvGRU V2 e30,ARGOS scheduled checkpoint epoch 30,S2M2-L@736 input,2.5618109216967833,37.36130463749182,8.234534513603137,1.0944998273553774,24.051144951954484,982.904296875,yes,103,
ConvGRU V2 latest,ARGOS scheduled latest checkpoint,S2M2-L@736 input,2.5700328280624833,36.8391113724078,8.27919915115949,1.1758703718813814,23.954332963778423,982.904296875,yes,103,
S2M2-S@512,official pretrained S,512 px width,2.5840161031889686,37.08130215176434,8.383543611730186,0.9944954754090777,67.18399060564568,,yes,103,
StereoAnyVideo@384x640,official MIX checkpoint,384x640 video,2.587449113142143,36.69301938674641,8.250206387158736,0.924819832624391,146.29532493752976,10132.17724609375,no,103,
Fast-FoundationStereo ONNX,official ONNX checkpoint,ONNX script default,2.5883518700460786,36.82693085337381,8.281796876666615,1.0092914028494966,46.08483918834008,,yes,103,
S2M2-L@736,official pretrained L,736 px width,2.592555212743074,37.1485525306757,8.330501449918284,0.9878140498025745,179.43649179103232,,yes,103,
DEFOM-Stereo ViT-L ETH3D,official ETH3D checkpoint,native adapter,2.592890267233247,37.011723976963005,8.312901941317957,1.0027786957867004,1642.9580019886416,,yes,103,
S2M2-L full,official pretrained L,full resolution,2.594657076215281,37.181582116943204,8.318929561133524,0.9921940664450327,491.26553563039425,,yes,103,
CREStereo,official checkpoint,native adapter,2.598468461082977,37.030140117214955,8.338610862065288,1.0370300242713852,444.82889032280707,,yes,103,
S2M2-XL,official pretrained XL,full resolution,2.6029080071495576,37.2625873418045,8.294164828883792,0.9859846920943728,894.3569227777313,,yes,103,
MonSter++ MixAll,official MixAll checkpoint,native adapter,2.6074810653056915,37.37057471515073,8.309692040230464,0.9919965091873618,1874.8042587805721,,yes,103,
RT-MonSter++ zero-shot,official zero-shot checkpoint,native adapter,2.6074934468686,36.813259848978056,8.334421657821506,1.0554589751888723,132.9901678085291,,yes,103,
Tiny U-Net e100,ARGOS conservative checkpoint epoch 100,S2M2-L@736 5-frame input,2.6094908853179044,37.72033271064046,8.321422072290217,0.974182093097258,24.034698188881435,982.064453125,no,103,
RAFT-Stereo Middlebury,official Middlebury checkpoint,native adapter,2.609664748015913,37.024837267952016,8.335789837883514,1.0340518764421052,912.2444544263293,,yes,103,
StereoAnywhere,official checkpoint,native adapter,2.6172471625133626,37.35707875732898,8.362783362564532,1.0125670164239173,1506.0167305298078,,yes,103,
SGBM,OpenCV classical baseline,full resolution,2.789541135713892,37.794501836620576,7.927840746722175,1.1299084115262126,95.88583733533844,,yes,103,Fragile classical baseline; about one quarter of pixels are excluded by the positive-disparity filter.
