method,checkpoint,input_resolution,frame,runtime_ms,valid_px,valid_pixel_ratio,mae_px,rmse_px,bad1_pct,bad2_pct,bad5_pct,depth_mae_mm,depth_median_abs_error_mm,depth_rmse_mm,depth_bad1mm_pct,depth_bad2mm_pct,depth_bad5mm_pct,abs_depth_error_p50,abs_depth_error_p75,abs_depth_error_p90,abs_depth_error_p95,abs_depth_error_p99,pred_disp_le_0_1_ratio,pred_disp_le_0_5_ratio,excluded_pred_disp_le_0_1_ratio,valid_disp_valid_px,valid_disp_valid_pixel_ratio,valid_disp_mae_px,valid_disp_rmse_px,valid_disp_bad1_pct,valid_disp_bad2_pct,valid_disp_bad5_pct,valid_disp_depth_mae_mm,valid_disp_depth_median_abs_error_mm,valid_disp_depth_rmse_mm,valid_disp_depth_bad1mm_pct,valid_disp_depth_bad2mm_pct,valid_disp_depth_bad5mm_pct,valid_disp_abs_depth_error_p50,valid_disp_abs_depth_error_p75,valid_disp_abs_depth_error_p90,valid_disp_abs_depth_error_p95,valid_disp_abs_depth_error_p99,depth_mae_cap100_mm,depth_rmse_cap100_mm,depth_mae_cap200_mm,depth_rmse_cap200_mm
CREStereo,local checkpoint,native warped_gt_108,dataset_1_keyframe_1_frame_000000,718.3041521348059,967338,0.7380203247070313,1.7236589193344116,2.2129204273223877,64.1470716543752,32.77933876266621,2.958118051808158,1.413011074066162,1.0390052795410156,2.009310483932495,51.638517250433665,22.20340770237497,2.400401927764649,1.0390052795410156,1.8561878204345703,2.975684642791748,3.868502140045166,6.893826961517334,0.0,0.0,0.0,967338,0.7380203247070313,1.7236589193344116,2.2129204273223877,64.1470716543752,32.77933876266621,2.958118051808158,1.413011074066162,1.0390052795410156,2.009310483932495,51.638517250433665,22.20340770237497,2.400401927764649,1.0390052795410156,1.8561878204345703,2.975684642791748,3.868502140045166,6.893826961517334,1.4129612445831299,2.0122909545898438,1.413011074066162,2.009310483932495
CREStereo,local checkpoint,native warped_gt_108,dataset_1_keyframe_1_frame_000001,434.96941099874675,963111,0.7347953796386719,1.8356667757034302,2.307441234588623,68.18632535605968,36.0086220591396,3.253726725164597,1.5072108507156372,1.1470413208007812,2.0860626697540283,56.30088328344293,24.407155561508485,2.624515761942289,1.1470413208007812,1.9701709747314453,3.0946044921875,4.005163192749023,7.000766754150391,0.0,0.0,0.0,963111,0.7347953796386719,1.8356667757034302,2.307441234588623,68.18632535605968,36.0086220591396,3.253726725164597,1.5072108507156372,1.1470413208007812,2.0860626697540283,56.30088328344293,24.407155561508485,2.624515761942289,1.1470413208007812,1.9701709747314453,3.0946044921875,4.005163192749023,7.000766754150391,1.506453037261963,2.0902225971221924,1.5072108507156372,2.0860626697540283
CREStereo,local checkpoint,native warped_gt_108,dataset_1_keyframe_1_frame_000002,432.5096250977367,956849,0.7300178527832031,1.8610799312591553,2.330198049545288,69.09627328867982,36.867886155495796,3.214300270993647,1.5428516864776611,1.18182373046875,2.1306324005126953,57.65559665109124,25.41090600502274,2.697917853287196,1.18182373046875,2.0184860229492188,3.1482911109924316,4.050118446350098,7.151836395263672,0.0,0.0,0.0,956849,0.7300178527832031,1.8610799312591553,2.330198049545288,69.09627328867982,36.867886155495796,3.214300270993647,1.5428516864776611,1.18182373046875,2.1306324005126953,57.65559665109124,25.41090600502274,2.697917853287196,1.18182373046875,2.0184860229492188,3.1482911109924316,4.050118446350098,7.151836395263672,1.543939232826233,2.1367194652557373,1.5428516864776611,2.1306324005126953
CREStereo,local checkpoint,native warped_gt_108,dataset_1_keyframe_1_frame_000003,432.19488114118576,951100,0.7256317138671875,1.872668743133545,2.347107172012329,69.5179266112922,37.13889180948375,3.3455998317737357,1.5782458782196045,1.1969623565673828,2.2068166732788086,58.289980023131115,26.023025969929552,2.9255598780359584,1.1969623565673828,2.051812171936035,3.2171406745910645,4.159653663635254,7.484017848968506,0.0,0.0,0.0,951100,0.7256317138671875,1.872668743133545,2.347107172012329,69.5179266112922,37.13889180948375,3.3455998317737357,1.5782458782196045,1.1969623565673828,2.2068166732788086,58.289980023131115,26.023025969929552,2.9255598780359584,1.1969623565673828,2.051812171936035,3.2171406745910645,4.159653663635254,7.484017848968506,1.578368067741394,2.2074129581451416,1.5782458782196045,2.2068166732788086
CREStereo,local checkpoint,native warped_gt_108,dataset_1_keyframe_1_frame_000004,434.7827569581568,946667,0.7222496032714844,1.7993180751800537,2.2631776332855225,67.23325097420741,35.13960030295764,2.854224347104103,1.5178592205047607,1.1492347717285156,2.1066465377807617,56.127973194375635,24.515484325533688,2.774682121590802,1.1492347717285156,1.9753055572509766,3.134202480316162,4.079385757446289,7.130428791046143,0.0,0.0,0.0,946667,0.7222496032714844,1.7993180751800537,2.2631776332855225,67.23325097420741,35.13960030295764,2.854224347104103,1.5178592205047607,1.1492347717285156,2.1066465377807617,56.127973194375635,24.515484325533688,2.774682121590802,1.1492347717285156,1.9753055572509766,3.134202480316162,4.079385757446289,7.130428791046143,1.5177042484283447,2.109128952026367,1.5178592205047607,2.1066465377807617
CREStereo,local checkpoint,native warped_gt_108,dataset_1_keyframe_1_frame_000005,435.579078970477,942074,0.7187454223632812,1.785020351409912,2.256446123123169,66.81301044291638,34.48232304468651,2.8417088254213576,1.534294605255127,1.147104263305664,2.1743788719177246,56.04474807711496,24.742960744060447,2.9338459611453027,1.147104263305664,1.9874143600463867,3.1626274585723877,4.141648292541504,7.554947853088379,0.0,0.0,0.0,942074,0.7187454223632812,1.785020351409912,2.256446123123169,66.81301044291638,34.48232304468651,2.8417088254213576,1.534294605255127,1.147104263305664,2.1743788719177246,56.04474807711496,24.742960744060447,2.9338459611453027,1.147104263305664,1.9874143600463867,3.1626274585723877,4.141648292541504,7.554947853088379,1.5337908267974854,2.1740708351135254,1.534294605255127,2.1743788719177246
CREStereo,local checkpoint,native warped_gt_108,dataset_1_keyframe_1_frame_000006,432.8191189561039,938049,0.7156745910644531,1.7932536602020264,2.286405324935913,66.62509101336924,34.730914909562294,2.9148797131066715,1.5745701789855957,1.1477394104003906,2.317406177520752,56.07841381420373,25.206678968795877,3.2636887838481785,1.1477394104003906,2.0106048583984375,3.2294280529022217,4.259049892425537,8.526811599731445,0.0,0.0,0.0,938049,0.7156745910644531,1.7932536602020264,2.286405324935913,66.62509101336924,34.730914909562294,2.9148797131066715,1.5745701789855957,1.1477394104003906,2.317406177520752,56.07841381420373,25.206678968795877,3.2636887838481785,1.1477394104003906,2.0106048583984375,3.2294280529022217,4.259049892425537,8.526811599731445,1.5745790004730225,2.31742000579834,1.5745701789855957,2.317406177520752
CREStereo,local checkpoint,native warped_gt_108,dataset_1_keyframe_1_frame_000007,432.58630600757897,933232,0.71199951171875,1.7420099973678589,2.2100703716278076,65.61476674610385,33.785489567438745,2.3451831913179144,1.5209314823150635,1.1316642761230469,2.1492316722869873,55.62882541533081,24.849126476588886,2.632357227356113,1.1316642761230469,1.9919137954711914,3.1655941009521484,4.043892860412598,7.308899879455566,0.0,0.0,0.0,933232,0.71199951171875,1.7420099973678589,2.2100703716278076,65.61476674610385,33.785489567438745,2.3451831913179144,1.5209314823150635,1.1316642761230469,2.1492316722869873,55.62882541533081,24.849126476588886,2.632357227356113,1.1316642761230469,1.9919137954711914,3.1655941009521484,4.043892860412598,7.308899879455566,1.522409200668335,2.1565847396850586,1.5209314823150635,2.1492316722869873
CREStereo,local checkpoint,native warped_gt_108,dataset_1_keyframe_1_frame_000008,435.2232839446515,926095,0.7065544128417969,1.7767993211746216,2.2382771968841553,66.96958735334928,34.523563997214104,2.568526986972179,1.5653735399246216,1.1792106628417969,2.1915650367736816,57.58901624563355,25.79897310751057,3.0190207268152838,1.1792106628417969,2.0395641326904297,3.207357883453369,4.155257225036621,7.368197441101074,0.0,0.0,0.0,926095,0.7065544128417969,1.7767993211746216,2.2382771968841553,66.96958735334928,34.523563997214104,2.568526986972179,1.5653735399246216,1.1792106628417969,2.1915650367736816,57.58901624563355,25.79897310751057,3.0190207268152838,1.1792106628417969,2.0395641326904297,3.207357883453369,4.155257225036621,7.368197441101074,1.5646703243255615,2.1944167613983154,1.5653735399246216,2.1915650367736816
CREStereo,local checkpoint,native warped_gt_108,dataset_1_keyframe_1_frame_000009,435.7624009717256,920519,0.7023002624511718,1.7096806764602661,2.165530204772949,64.78855949741396,32.60443293402961,2.12423643618437,1.5249279737472534,1.1301345825195312,2.1405253410339355,55.44339660561053,24.942994115276274,2.8010285501983123,1.1301345825195312,1.9971237182617188,3.1772658824920654,4.11222505569458,7.502197742462158,0.0,0.0,0.0,920519,0.7023002624511718,1.7096806764602661,2.165530204772949,64.78855949741396,32.60443293402961,2.12423643618437,1.5249279737472534,1.1301345825195312,2.1405253410339355,55.44339660561053,24.942994115276274,2.8010285501983123,1.1301345825195312,1.9971237182617188,3.1772658824920654,4.11222505569458,7.502197742462158,1.5172432661056519,2.131632089614868,1.5249279737472534,2.1405253410339355
