family,seed,epoch,total,error,harm,rank,validation_harm_auroc,validation_harm_auprc,validation_raw_error_mae,validation_proposal_error_mae,validation_delta_mae,validation_delta_spearman,validation_sample_count,validation_harm_fraction,validation_best_selective_gain,validation_best_selective_harm,validation_best_selective_coverage,validation_best_constrained_gain,validation_best_constrained_harm,validation_best_constrained_coverage,learning_rate
stereo,20260722,1,-0.14339453464916177,-1.2937671643919342,1.144712859802198,0.0565977006072441,0.6451496594114258,0.5826538232272164,0.44048601388931274,0.3177720010280609,0.3435076177120209,0.08514309228581515,563434,0.45272738244408395,0.051544271409511566,0.19414307135926612,0.060363769314595854,0.04323096200823784,0.07028804007514089,0.011337618958032352,0.0009838147674871471
stereo,20260722,2,-0.7068017019691014,-1.6995219431501882,0.9880266773120668,0.04693564025625811,0.6886344489810448,0.65163510289783,0.32395628094673157,0.3144897222518921,0.26469290256500244,0.35906233513707464,563434,0.45272738244408395,0.061048395931720734,0.2956138850889193,0.2491010482150527,0.0,0.0,0.0,0.0009363620667974238
stereo,20260722,3,-1.1368937676592774,-1.9673096178328828,0.8267000468235288,0.0371580444957636,0.6846568708544167,0.6596038836217754,0.3219386637210846,0.291366308927536,0.2620218098163605,0.3487865260815049,563434,0.45272738244408395,0.06086387112736702,0.3032638980423884,0.39048584217494864,0.013970596715807915,0.09014479215319944,0.011399738034978365,0.000860875721063441
stereo,20260722,4,-1.3953232845379002,-2.1305223090174112,0.731991317898235,0.032077066637669384,0.7302472757572465,0.6992474829186027,0.31802991032600403,0.2971179485321045,0.24274681508541107,0.4430488136444872,563434,0.45272738244408395,0.07019083946943283,0.27193009382897954,0.3469119719434752,0.013521915301680565,0.09393346379647749,0.010883262280941513,0.000762499999999851
stereo,20260722,5,-1.596729404964928,-2.2784665840784175,0.678822538766685,0.029146410658449286,0.6968005575709082,0.671961470589026,0.3151061534881592,0.29931381344795227,0.2505752742290497,0.4199931065664464,563434,0.45272738244408395,0.06614349037408829,0.3050025086663018,0.31129111839186135,0.0,0.0,0.0,0.0006479390464235705
stereo,20260722,6,-1.7626020346615063,-2.393949102770362,0.6286627393590923,0.026843305707334123,0.7303276885904085,0.6905294611847739,0.3205743134021759,0.29764798283576965,0.2536294162273407,0.45716903834442413,563434,0.45272738244408395,0.07071565836668015,0.263268300635835,0.32658660996673966,0.04373471811413765,0.09479324082978431,0.012918993174000859,0.0005249999999998892
stereo,20260722,7,-1.9046202022219765,-2.499913118878261,0.5927950879321402,0.02497826477992442,0.7466802039468479,0.7138219857552506,0.3150799572467804,0.29244014620780945,0.23932631313800812,0.5002872067772177,563434,0.45272738244408395,0.07632709294557571,0.26011342155009454,0.3896374730669431,0.04498925432562828,0.09777337951509153,0.017934664929698953,0.00040206095357620187
stereo,20260722,8,-2.032272343723191,-2.5998985720079566,0.565264283375652,0.023619433434136312,0.7444687415504975,0.6984393793038951,0.31028732657432556,0.2953364849090576,0.240096777677536,0.4806001061469418,563434,0.45272738244408395,0.07643797248601913,0.2615255935278996,0.3755825882002151,0.0,0.0,0.0,0.00028749999999993424
stereo,20260722,9,-2.1411660745463355,-2.6829474099249198,0.5395389144752649,0.02242422472348049,0.7250190052094254,0.6872107177392597,0.31549760699272156,0.2962140440940857,0.24674002826213837,0.44870562520096624,563434,0.45272738244408395,0.07172095775604248,0.2792450652804515,0.33835196314031457,0.0,0.0,0.0,0.0001891242789363633
stereo,20260722,10,-2.2226819832043585,-2.748919249724772,0.5240706305275827,0.02166634017832877,0.7331304567457274,0.6957459890179972,0.31369537115097046,0.29414063692092896,0.24250677227973938,0.47164793408734534,563434,0.45272738244408395,0.07415430247783661,0.26633286972647197,0.3828309970644299,0.0,0.0,0.0,0.00011363793320239151
stereo,20260722,11,-2.2860377637681943,-2.8026224494292933,0.514467404447746,0.021172812312447636,0.7228089513114132,0.6855653128737255,0.31536948680877686,0.29766643047332764,0.2459377944469452,0.45879368659017755,563434,0.45272738244408395,0.07255714386701584,0.2771284010532294,0.34376697181923704,0.0,0.0,0.0,6.618523251269294e-05
stereo,20260722,12,-2.325289433474509,-2.8319187304486313,0.5045494744591665,0.02079822086899435,0.7340157530559692,0.6944367704168228,0.3147713840007782,0.29705810546875,0.24415193498134613,0.4734746659678758,563434,0.45272738244408395,0.07464708387851715,0.26541735278428463,0.382626891525893,0.0,0.0,0.0,5e-05
