method,sequences,frames,depth_mae_mm,disp_mae_px,bad_2mm_pct,raw_temporal_diff,motion_compensated_temporal_mae,runtime_ms,peak_vram_mb
StereoAnyVideo,10,211,2.8633876344038978,7.017117712735,39.673715668483894,0.6958263615181794,0.5857667162249156,59.991646555561154,6977.112172782138
S2M2-S@512+EMA0.50,10,211,2.9754577558752486,7.478280102189683,41.43740333876889,0.8881151313454778,0.8340623759104572,60.97414830090622,371.33447265625
S2M2-S@512,10,211,3.058753968415102,7.6098154303021905,41.44500865986782,1.4092387092832954,1.3141419216739327,60.97414830090622,371.33447265625
Fast-FoundationStereo ONNX,10,211,4.237739852819398,12.545416968411178,42.798159715676725,3.096115667958088,3.0613229955014685,45.3597867449459,nan
S2M2-L@736+EMA0.50,10,211,4.551272518826887,13.294483206283426,44.60503379361304,1.578544153478563,1.4738011867298384,187.76713038364855,1672.4599609375
S2M2-L@736,10,211,4.603342848366471,13.556722643816075,44.46173365519399,3.0862332407074073,2.841420969433508,187.76713038364855,1672.4599609375
ConvGRU V2 e40,10,211,4.6193765893366665,13.479395955942254,45.00204493630666,2.960164830287136,2.6723540263188745,209.9492236636233,2679.9345703125
