sequence_id,method,frames,depth_mae_mm,disp_mae_px,bad_2mm_pct,raw_temporal_diff,motion_compensated_temporal_mae,runtime_ms,peak_vram_mb
test_dataset_9_keyframe_3,S2M2-S@512,103,2.5840161031889686,8.383543611730186,37.08130215176434,0.9944954754090777,0.7726735358729082,60.974148300906215,371.33447265625
test_dataset_9_keyframe_3,S2M2-L@736,103,2.592555212743074,8.330501449918284,37.1485525306757,0.9878140498025745,0.756868244240097,187.76713038364855,1672.4599609375
test_dataset_9_keyframe_3,Fast-FoundationStereo ONNX,103,2.5883518700460786,8.281796876666615,36.82693085337382,1.0092914028494966,0.8034532216249728,45.3597867449459,nan
test_dataset_9_keyframe_3,S2M2-S@512+EMA0.50,103,2.490222146210161,8.251053861043985,36.61283909326057,0.8726782246547586,0.7469226072231928,60.974148300906215,371.33447265625
test_dataset_9_keyframe_3,S2M2-L@736+EMA0.50,103,2.496061899129627,8.186081520562032,36.67150492323009,0.8747218195714203,0.7441331080946267,187.76713038364855,1672.4599609375
test_dataset_9_keyframe_3,StereoAnyVideo,103,2.587133629808148,8.249181478926278,36.68667175637304,0.9310458752454496,0.7292001951558917,59.87309189614557,10156.74755859375
test_dataset_9_keyframe_3,ConvGRU V2 e40,103,2.5508430143004484,8.215698061637507,36.79523273209695,1.085077776044023,0.7566981585878952,210.1474319723427,2679.9345703125
dataset_1_keyframe_1,S2M2-S@512,12,1.419033944606781,1.701899031798045,23.514344986777406,0.38870113681663165,0.37095495381138544,60.974148300906215,371.33447265625
dataset_1_keyframe_1,S2M2-L@736,12,1.4597659607728322,1.7260697682698567,23.685791289421726,0.39562883431261237,0.37848341871391644,187.76713038364855,1672.4599609375
dataset_1_keyframe_1,Fast-FoundationStereo ONNX,12,1.5499004622300465,1.803726464509964,25.648116129100256,0.3925281641158191,0.37480304457924585,45.3597867449459,nan
dataset_1_keyframe_1,S2M2-S@512+EMA0.50,12,1.6057734191417694,1.949957827727,28.50414603486912,0.34819862652908673,0.32882245494560763,60.974148300906215,371.33447265625
dataset_1_keyframe_1,S2M2-L@736+EMA0.50,12,1.662467857201894,1.9866219758987427,28.902078030631227,0.3498040654442527,0.32991816238923505,187.76713038364855,1672.4599609375
dataset_1_keyframe_1,StereoAnyVideo,12,1.4444547891616821,1.678685466448466,22.90198326068905,0.3716242868791927,0.3515061289072037,62.3215377466598,3944.68212890625
dataset_1_keyframe_1,ConvGRU V2 e40,12,1.3493626316388447,1.5467769304911296,20.484268299290008,0.42974858392368664,0.4109355577013709,209.69840663288218,2679.9345703125
dataset_1_keyframe_2,S2M2-S@512,12,1.1053962608178456,0.9270024498303732,12.079979264961663,0.18459762768311935,0.1604584570635449,60.974148300906215,371.33447265625
dataset_1_keyframe_2,S2M2-L@736,12,1.1118635932604473,0.9300464391708374,12.360758704230891,0.19862396337769248,0.17111034826798874,187.76713038364855,1672.4599609375
dataset_1_keyframe_2,Fast-FoundationStereo ONNX,12,1.210670401652654,0.9958994885285696,14.723437328995379,0.16564909368753433,0.14307060024955057,45.3597867449459,nan
dataset_1_keyframe_2,S2M2-S@512+EMA0.50,12,1.1171009341875713,0.9375638713439306,12.234095843001635,0.11365043439648369,0.09044158323244615,60.974148300906215,371.33447265625
