probability_threshold,error_threshold_px,uncertainty_threshold_px,SCARED-C_raw_epe,SCARED-C_a2_epe,SCARED-C_refined_epe,SCARED-C_epe_gain,SCARED-C_retained_a2_gain,SCARED-C_intervention_coverage,SCARED-C_intervention_precision,SCARED-C_false_update_rate,SCARED-C_clean_degradation,D4D_raw_epe,D4D_a2_epe,D4D_refined_epe,D4D_epe_gain,D4D_retained_a2_gain,D4D_intervention_coverage,D4D_intervention_precision,D4D_false_update_rate,D4D_clean_degradation
0.5,0.25,0.25,0.19187043607234955,0.17545701563358307,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,0.5,0.19187043607234955,0.17545701563358307,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,1.0,0.19187043607234955,0.17545701563358307,0.19170421361923218,0.0001662224531173706,0.01012722812636747,0.0012695486551695702,0.8323729701414353,0.0007502297969860091,0.00019746548873403764,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.25,2.0,0.19187043607234955,0.17545701563358307,0.19036747515201569,0.0015029609203338623,0.09156902584326991,0.004920581717967339,0.8744424922286795,0.0019176402039735062,0.0005701468336687002,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.25,0.19187043607234955,0.17545701563358307,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.19187043607234955,0.17545701563358307,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,1.0,0.19187043607234955,0.17545701563358307,0.19170421361923218,0.0001662224531173706,0.01012722812636747,0.0012695486551695702,0.8323729701414353,0.0007502297969860091,0.00019746548873403764,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,2.0,0.19187043607234955,0.17545701563358307,0.19036747515201569,0.0015029609203338623,0.09156902584326991,0.004920581717967339,0.8744424922286795,0.0019176402039735062,0.0005701468336687002,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.25,0.19187043607234955,0.17545701563358307,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.5,0.19187043607234955,0.17545701563358307,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,1.0,0.19187043607234955,0.17545701563358307,0.19170421361923218,0.0001662224531173706,0.01012722812636747,0.0012695486551695702,0.8323729701414353,0.0007502297969860091,0.00019746548873403764,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,2.0,0.19187043607234955,0.17545701563358307,0.19036747515201569,0.0015029609203338623,0.09156902584326991,0.004920581717967339,0.8744424922286795,0.0019176402039735062,0.0005701468336687002,0.882704496383667,0.5500692129135132,0.882704496383667,0.0,0.0,0.0,0.0,0.0,0.0
