dataset,split,backbone,sequence,frame,protocol,record_level,section,metric_path,method,horizon,metric_scope,applicability,diagnostic_tags,statistic,value,source_id,source_run,source_manifest_sha256,source_report_sha256,specimen,session,window_index,step_since_reset,reset
D4D,,,,,,applicability,unified_metrics,gt_referenced_evaluation,,,no_reference_prediction_space,NOT_APPLICABLE,{},,,definitive/D4D/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/d4d/model_design_comparison_canonical_h4__factory,674eccf732d550a35b6e9629ae35abe16a191f5ce8e45e0e438cb7666c528b3b,,,,,,
SERV-CT,,,,,,applicability,temporal_h4,temporal_h4_evaluation,,,not_applicable,NOT_APPLICABLE,"{""dataset"": ""SERVCT"", ""numeric_gt_metrics"": null, ""reason"": ""static stereo pairs have no temporal adjacency"", ""unified_gt_metric_families"": ""NOT_APPLICABLE""}",,,definitive/SERV-CT/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/servct/model_design_comparison_canonical_h4__factory,14f677287381bb20b5b6de9b7c26d408c3054e90338837e51085010e5623838f,a9aee1900189663f182884dfe6980be242d90c91430a1f9174393621df1d86ec,,,,,
DRENDS,pilot,,,,,applicability,unified_metrics,tof_reference_evaluation,,,tof_reference_nonindependent,APPLICABLE_WITH_CAVEAT,{},,,definitive/DRENDS/canonical_h4@4148ee8b4b6d,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/canonical_h4_ood_v7/runs/drends/model_design_comparison_canonical_h4__factory,9c629de2f3be420f94fa4acce1ac25ec5e25ba36df7588bd0bb529c6daa3f768,,,,,,
