model,adjacent_delta_mean,adjacent_delta_p95_mean,frame_mean_std,frame_p95_std
stereoanyvideo,0.01026702864516166,0.02662194351996145,0.019601866602897644,0.09915166348218918
s2m2,0.013799403148192552,0.03313451146166171,0.024043934419751167,0.09644373506307602
fast_foundation,0.025225743621347413,0.11165071567220072,0.02954036369919777,0.01441415585577488
