policy,lambda_uncertainty,tau_gain,tau_harm,gain,output_epe,coverage,exact_raw_fallback_frequency,intervention_precision,harmful_update_rate,harmful_update_rate_all_valid,clean_degradation,degraded_frame_fraction,worst_frame_degradation,gain_over_fixed_h4,mean_accepted_update,valid_count,accepted_count,feasible
geometry,0.0,-0.05,0.5,0.005640074145048857,0.3043648898601532,0.030067049309985213,0.9699329506900148,0.47744501685171503,0.25358541744683866,0.007624565250667283,0.012702492443464908,0.22406311637080867,0.6149354722764757,0.21289458870887756,0.4051123559474945,6572178,197606,False
temporal,0.0,0.025,0.6,0.006068903021514416,0.30393603444099426,0.027638326290006145,0.9723616737099938,0.5492336658518862,0.2550868732245491,0.00705017423447752,0.012196897242079922,0.21175542406311637,0.5582609176635742,0.2133234441280365,0.4562290608882904,6572178,181644,False
stereo,0.0,0.025,0.7,0.006349275354295969,0.3036556839942932,0.031540381286082025,0.968459618713918,0.5351079893289079,0.2631350433452812,0.00829937959683989,0.014432160237676704,0.23944773175542405,0.8727216720581055,0.21360379457473755,0.434155136346817,6572178,207289,False
plane_sweep,0.0,0.05,0.7,0.0064864871092140675,0.30351847410202026,0.029892830048121034,0.970107169951879,0.5573065392113448,0.25740477753854457,0.0076945572685341145,0.013650287782284132,0.22193293885601578,0.32810449600219727,0.2137410044670105,0.4444114863872528,6572178,196461,False
