model,margin,sample_count,harm_fraction,harm_auroc,harm_auprc,brier,ece,raw_error_mae,proposal_error_mae,delta_mae,delta_spearman
geometry,0.0,546309,0.5515468352159675,0.6897142738010424,0.7010164556302342,0.24138808747489637,0.12902611443753625,0.3062153458595276,0.2863752841949463,0.25043967366218567,0.37497110837284453
geometry,0.05,546309,0.5164824302729774,0.696338262987332,0.6759377200620058,0.2426400218621991,0.13528528101037932,0.3062153458595276,0.2863752841949463,0.25043967366218567,0.37497110837284453
geometry,0.1,546309,0.4570856420084604,0.7076445365824252,0.6356261645174958,0.2483014412179516,0.1647975362532082,0.3062153458595276,0.2863752841949463,0.25043967366218567,0.37497110837284453
temporal,0.0,546309,0.5515468352159675,0.7213475163453436,0.7405269980258925,0.23313397092136584,0.1378882402842166,0.29387980699539185,0.2879757285118103,0.23904961347579956,0.43665623845089874
temporal,0.05,546309,0.5164824302729774,0.7332606754117222,0.7215124055592246,0.2330740156812953,0.14155883180999648,0.29387980699539185,0.2879757285118103,0.23904961347579956,0.43665623845089874
temporal,0.1,546309,0.4570856420084604,0.7470346318454684,0.6885584985463755,0.24178409239434925,0.17666635168679437,0.29387980699539185,0.2879757285118103,0.23904961347579956,0.43665623845089874
stereo,0.0,546309,0.5515468352159675,0.7155237898206654,0.7482841040847447,0.2418713116054438,0.15784027696565495,0.3092361390590668,0.29559269547462463,0.24202167987823486,0.4819375724236207
stereo,0.05,546309,0.5164824302729774,0.724984108141673,0.7283727389311074,0.24309969220611924,0.16419234641028665,0.3092361390590668,0.29559269547462463,0.24202167987823486,0.4819375724236207
stereo,0.1,546309,0.4570856420084604,0.7426698011645776,0.699664355908506,0.24854996602237078,0.19330974282714786,0.3092361390590668,0.29559269547462463,0.24202167987823486,0.4819375724236207
plane_sweep,0.0,546309,0.5515468352159675,0.7275114150201087,0.7692092710986324,0.2377235746749292,0.15670695881229188,0.29681965708732605,0.2842107117176056,0.22800271213054657,0.503429760495555
plane_sweep,0.05,546309,0.5164824302729774,0.7369486891393706,0.7531567040096706,0.23789077224706853,0.1618448294006693,0.29681965708732605,0.2842107117176056,0.22800271213054657,0.503429760495555
plane_sweep,0.1,546309,0.4570856420084604,0.749930490834545,0.724862253889002,0.24417473364954928,0.1890579202247939,0.29681965708732605,0.2842107117176056,0.22800271213054657,0.503429760495555
