epoch,optimizer_step,total,classification,regression,ranking,fusion,weight_regularizer,learning_rate,loader_wait_s
1,3973,0.7824383742400329,0.5614403086455889,0.08263084931140158,0.08034402781686299,0.1464345273056616,0.06581041022568844,0.001953503690479977,6.507621048134752
2,7946,0.6028830800632101,0.4306673518910145,0.03863081697820201,0.06815738370653787,0.12489560894619345,0.054826736930273,0.0018185661446558055,0.9005222778650932
3,11919,0.5606178767789739,0.39743235903533525,0.026380286830553133,0.06279833751606148,0.12409308659774948,0.05101370649436184,0.001608395989677501,0.9555841119581601
4,15892,0.53188632517723,0.3738470265748232,0.022051373875668058,0.05860606917847495,0.12300298533095537,0.04679563019697534,0.0013435661446559164,0.9810372869396815
5,19865,0.507919185225501,0.35333743763362285,0.019990285019723854,0.056031091277024145,0.12170249213125363,0.044381573972550804,0.0010499999999997692,0.8529141064645955
6,23838,0.48665680586279053,0.3355711532886551,0.018145123937260053,0.053175579130498606,0.12010177798459497,0.04308707522649834,0.0007564338553436019,0.9031715501623694
7,27811,0.4741577800431751,0.32323811015242176,0.01693276257523524,0.051627834360453956,0.12115064946798153,0.04197842295272447,0.0004916040103220687,0.9466745571116917
8,31784,0.4600672330636988,0.3114195474874244,0.01581115551654361,0.04966951937693891,0.12022181452347377,0.04051470378469587,0.00028143385534377816,0.9646067076537292
9,35757,0.45465325039904964,0.3052168608662571,0.015272069815182934,0.048451371465052726,0.1216799213721872,0.04003802841267177,0.00014649630951960442,0.9625565419992199
10,39730,0.44850539038294873,0.3022211345412885,0.014834125506793135,0.047817126821900965,0.11892986456269815,0.039915173173160776,0.0001,0.9786889612150844
