quantile,backbone,sequence,valid_pixels,raw_error_sum,base_error_sum,veto_error_sum,base_authorized,veto_authorized,base_harmful,veto_harmful,raw_clean,base_clean_harmful,veto_clean_harmful,raw_epe,base_epe,veto_epe,base_gain,veto_gain,gain_retained,base_coverage,veto_coverage,base_harmful_acceptance,veto_harmful_acceptance,base_clean_degradation,veto_clean_degradation,harmful_updates_removed,authorized_updates_retained
0.5,S2M2-S,dataset_7_keyframe_1,2954590.0,508443.54821777344,507205.5822753906,507406.3083496094,7640.0,5521.0,2317.0,1495.0,1261996.0,1105.0,744.0,0.17208599102338173,0.17166699348315353,0.17173493051476157,0.0004189975402281998,0.00035106050862016014,0.8378581612411402,0.0025858071678303927,0.0018686179808365966,0.3032722513089005,0.27078427821046913,0.0008755970700382569,0.0005895422806411431,0.3547690979715149,0.7226439790575916
0.5,S2M2-S,dataset_7_keyframe_2,250844.0,45817.74229431152,45734.27278518677,45684.45333480835,1593.0,1217.0,564.0,329.0,110276.0,78.0,23.0,0.18265432816535984,0.1823215735085821,0.18212296620532423,0.00033275465677773397,0.0005313619600356145,1.5968580730954032,0.006350560507725918,0.004851620927747923,0.3540489642184557,0.2703368940016434,0.0007073161884725598,0.00020856759403678043,0.41666666666666663,0.7639673571876961
0.5,RAFT-Stereo,dataset_7_keyframe_1,2954939.0,421735.7624511719,421469.51623535156,421651.0549316406,18126.0,14480.0,8175.0,6990.0,1670092.0,4392.0,3772.0,0.14272232436986748,0.1426322222676514,0.1426936579508547,9.01021022160775e-05,2.8666419012779443e-05,0.31815482999534617,0.006134136779134865,0.004900270360911003,0.45100959947037406,0.48273480662983426,0.0026297952448128604,0.002258558211164415,0.14495412844036693,0.7988524771047114
0.5,RAFT-Stereo,dataset_7_keyframe_2,250858.0,36308.29625034332,36215.63224887848,36275.32431125641,3022.0,2548.0,1152.0,1053.0,135422.0,753.0,695.0,0.14473644950666642,0.14436706124133367,0.14460501284095548,0.00036938826533275404,0.00013143666571094337,0.3558225261772785,0.012046655877030034,0.01015714069314114,0.3812045003309067,0.413265306122449,0.005560396390542157,0.00513210556630385,0.0859375,0.8431502316346791
0.5,StereoAnywhere,dataset_7_keyframe_1,2954979.0,467991.14306640625,465364.64685058594,465871.2077636719,11046.0,8527.0,1926.0,1716.0,1513431.0,441.0,386.0,0.15837376274633636,0.15748492522301713,0.15765635145416326,0.0008888375233192247,0.0007174112921730924,0.8071343449745823,0.0037380976311506783,0.0028856381043655473,0.17436175991309072,0.20124311012079277,0.00029139088600669606,0.0002550496190444097,0.1090342679127726,0.7719536483795039
0.5,StereoAnywhere,dataset_7_keyframe_2,250869.0,47678.48158073425,46611.01451587677,46761.65948200226,3993.0,3160.0,563.0,398.0,118746.0,182.0,97.0,0.19005330104849244,0.1857982234388337,0.18639871599122354,0.004255077609658736,0.0036545850572689,0.8588762397595853,0.01591667364241895,0.012596215554731753,0.14099674430252943,0.1259493670886076,0.0015326832061711552,0.0008168696208714399,0.29307282415630553,0.7913849236163286
0.75,S2M2-S,dataset_7_keyframe_1,2954590.0,508443.54821777344,507205.5822753906,507599.39611816406,7640.0,3266.0,2317.0,727.0,1261996.0,1105.0,358.0,0.17208599102338173,0.17166699348315353,0.17180028231266067,0.0004189975402281998,0.00028570871072106097,0.6818863675558922,0.0025858071678303927,0.0011053987186039349,0.3032722513089005,0.22259644825474587,0.0008755970700382569,0.0002836776027816253,0.686232196806215,0.4274869109947644
0.75,S2M2-S,dataset_7_keyframe_2,250844.0,45817.74229431152,45734.27278518677,45666.85257148743,1593.0,758.0,564.0,110.0,110276.0,78.0,6.0,0.18265432816535984,0.1823215735085821,0.18205280003303817,0.00033275465677773397,0.0006015281323216715,1.80772265712713,0.006350560507725918,0.003021798408572659,0.3540489642184557,0.14511873350923482,0.0007073161884725598,5.440893757481229e-05,0.8049645390070922,0.4758317639673572
0.75,RAFT-Stereo,dataset_7_keyframe_1,2954939.0,421735.7624511719,421469.51623535156,421531.8474121094,18126.0,11012.0,8175.0,5334.0,1670092.0,4392.0,2837.0,0.14272232436986748,0.1426322222676514,0.142653316163924,9.01021022160775e-05,6.900820594349377e-05,0.7658889664749707,0.006134136779134865,0.0037266420728143627,0.45100959947037406,0.48438067562658915,0.0026297952448128604,0.0016987088136461944,0.3475229357798165,0.6075251020633344
0.75,RAFT-Stereo,dataset_7_keyframe_2,250858.0,36308.29625034332,36215.63224887848,36295.584053993225,3022.0,1997.0,1152.0,870.0,135422.0,753.0,558.0,0.14473644950666642,0.14436706124133367,0.14468577463741727,0.00036938826533275404,5.067486924914544e-05,0.1371859206287895,0.012046655877030034,0.007960678949844134,0.3812045003309067,0.4356534802203305,0.005560396390542157,0.004120453102154746,0.24479166666666663,0.6608206485771012
