epoch,global_step,learning_rate,train_total,train_classification,train_positive_gain,train_harmful_magnitude,train_harmful_selection,validation_loss_total,validation_loss_classification,validation_loss_positive_gain,validation_loss_harmful_magnitude,validation_loss_harmful_selection,validation_auroc,validation_auprc,validation_utility_mae
1,2576,0.002,0.10763197282896093,0.10170550736047686,0.0016754224002658946,0.0018530060328080169,0.000735767047160607,0.35283806831236386,0.3342560377437621,0.0015532384250627992,0.0016322679389986661,0.007290195041484064,0.9525072764306863,0.41479745508128896,0.04540208354592323
2,5152,0.001961518324933773,0.07980203214470262,0.07612679290486882,0.0009551418725596925,0.001165944701212414,0.0004855901657968654,0.3205113496822984,0.30802229581555973,0.001426848717906439,0.001671802743760494,0.004277249853354685,0.9546584767409405,0.42360637829920395,0.04549233987927437
3,7728,0.0018491908561896221,0.07337623798890004,0.07079278144866853,0.0007189610516444072,0.0007068013782653912,0.0004021467396946351,0.325981431368867,0.3136671772925183,0.0014142307401149923,0.0017287555602384448,0.004153444502420219,0.9564232782869749,0.3860231291173437,0.045762356370687485
4,10304,0.001672117697248021,0.0674390396785124,0.06496995302265718,0.0007371191523782484,0.0006763070738834951,0.0003587534532289,0.32252337550356364,0.31139070010588815,0.0013745340747012354,0.001831291163246836,0.0035056027376413113,0.9503103706835843,0.422932148610494,0.04564312472939491
5,12880,0.0014446442623517923,0.062120324917577255,0.06018800406155657,0.0005969489669794384,0.00048381847247169416,0.0003048220929324981,0.3304905616537629,0.3163582354473571,0.0014831886191881102,0.001727810277400484,0.005028710753686027,0.9561474427007952,0.4761612832965435,0.04522963613271713
6,15456,0.001185199096359621,0.05718409526559542,0.05530555930056592,0.0005261083790046061,0.000541123395689893,0.00027037128952387497,0.32947282628168373,0.3156783039836834,0.0013474836928875388,0.002195644362806822,0.0045767866696526955,0.9477772991639815,0.4091053869308908,0.0453215092420578
7,18032,0.0009148009036403791,0.052919382365747294,0.05126388996560416,0.00048027364181218275,0.00046976962410692226,0.00023528220640047767,0.30804852184810444,0.2932628318977853,0.0013713073195864617,0.002200893974583096,0.0050565200457640454,0.9512350105545866,0.4768558787323399,0.04535134509205818
8,20608,0.000655355737648208,0.04897516963299167,0.047500899167852884,0.0004186959190290209,0.0004179023042241421,0.00021436055593095142,0.32473517356425724,0.30867068173053364,0.0015250042517574549,0.002192648631415987,0.00562525729577222,0.9599018462295619,0.502374064606969,0.04508736729621887
9,23184,0.0004278823027519793,0.046466151913280906,0.045084400618772794,0.0004455491031858231,0.0003605064117542562,0.00019772127829868318,0.30320219968435824,0.28914286467867595,0.0013105807808714072,0.0026129362836987487,0.00441467289438151,0.9579116212466365,0.5015595956961625,0.04512704163789749
10,25760,0.0002508091438103778,0.04389915608378671,0.042655042192236356,0.0003757211932535588,0.0003334647974790828,0.00018409773192036805,0.3032293898573395,0.28993925992399455,0.0013002531622049072,0.002326680895094076,0.00424992882120326,0.9568652451572831,0.49837091573877396,0.04515691474080086
11,28336,0.0001384816750662276,0.04298363154195828,0.041806575236625114,0.00034575196474230237,0.0003137826698496904,0.00018031516038726584,0.3076302825384384,0.2933505016379058,0.0013295056586240307,0.002384794286071686,0.004686543027613273,0.9571442227531068,0.4937169486572759,0.04512869566679001
12,30912,0.0001,0.042171304852062524,0.04101428033759447,0.00033361511493299275,0.0003158829486950403,0.00017479249301209307,0.29933349475012583,0.286452426481992,0.001294829549581727,0.002302645983833429,0.004066133697475985,0.9593793880944321,0.5057181315275526,0.045142762362957
