config,specimen,clip,frames,applied_abs,boundary_mc,corr_var,depth_mc_mm,hf_energy,isolated_rate,mc_highmotion,mc_inconsistency,mc_lowmotion,modified_ratio,signflip_rate
raw,specimen_1,Clip_1,100,,2.0001235008239746,,0.5692707896232605,0.31330400705337524,,2.2784647941589355,0.21652229130268097,0.1439308077096939,,
vdpp_tgm,specimen_1,Clip_1,100,0.0012665529502555728,2.0001919269561768,3.493459189485293e-06,0.5692819356918335,0.3132932186126709,0.0,2.2782247066497803,0.21651169657707214,0.1439257115125656,0.0,0.0
raw,specimen_1,Clip_1,100,,1.8093398809432983,,0.5256174802780151,0.37113434076309204,,1.809586524963379,0.21566931903362274,0.15599264204502106,,
vdpp_tgm,specimen_1,Clip_1,100,0.0013619348173961043,1.8093591928482056,4.578841526381439e-06,0.5256376266479492,0.3711196482181549,0.0,1.8095734119415283,0.21566766500473022,0.1559944450855255,0.0,0.0
raw,specimen_1,Clip_1,98,,2.1851468086242676,,0.5591431260108948,0.26747986674308777,,1.3405280113220215,0.22409588098526,0.1527995616197586,,
vdpp_tgm,specimen_1,Clip_1,98,0.001401868648827076,2.18501353263855,2.3707607397227548e-05,0.5591725707054138,0.26748931407928467,0.09765586188483724,1.340614676475525,0.22410964965820312,0.1528066098690033,0.0002554091460019,0.0
raw,specimen_2,Clip_1,100,,2.593066930770874,,1.0738986730575562,0.6341059803962708,,5.723923206329346,0.4475893974304199,0.21587514877319336,,
vdpp_tgm,specimen_2,Clip_1,100,0.002868952229619026,2.5908751487731934,0.0010627259034663439,1.0738587379455566,0.6338192820549011,0.07944037211941514,5.720373153686523,0.44744715094566345,0.21583302319049835,0.0024189907704654894,0.008040189471841278
raw,specimen_2,Clip_1,100,,2.070592164993286,,0.6792389750480652,0.3593880832195282,,5.732453346252441,0.2559393346309662,0.19099313020706177,,
vdpp_tgm,specimen_2,Clip_1,100,0.0026474117767065763,2.069521903991699,0.0005099476547911763,0.6791989207267761,0.3592061698436737,0.04585029148121543,5.721148490905762,0.2558153569698334,0.1909538358449936,0.0020410313001605136,0.0050491306157865404
raw,specimen_2,Clip_2,92,,1.6319979429244995,,0.5085680484771729,0.20475523173809052,,nan,0.1696218103170395,0.16589732468128204,,
vdpp_tgm,specimen_2,Clip_2,92,0.0035769641399383545,1.6316289901733398,0.0012702776584774256,0.5085219740867615,0.20454877614974976,0.018125107702399605,nan,0.16948843002319336,0.16577273607254028,0.0027427441726568494,0.0
raw,specimen_3,Clip_1,100,,4.215086460113525,,0.7887951135635376,0.8444551825523376,,7.1353864669799805,0.7123229503631592,0.21097782254219055,,
vdpp_tgm,specimen_3,Clip_1,100,0.35846465826034546,4.091726779937744,0.8379020690917969,0.7808111310005188,0.824866533279419,0.023695575612638606,6.792236328125,0.6880980730056763,0.20804911851882935,0.16227603330658105,0.0016204287444395106
raw,specimen_3,Clip_1,100,,4.923966884613037,,0.8365664482116699,0.9337847828865051,,7.3862433433532715,0.7317121624946594,0.3061657249927521,,
vdpp_tgm,specimen_3,Clip_1,100,0.48643824458122253,4.824971675872803,1.109250545501709,0.8316255211830139,0.9149091839790344,0.019254668327195544,7.123495578765869,0.7110629677772522,0.3004135489463806,0.20747742776886036,0.0010554154815799167
raw,specimen_3,Clip_1,100,,2.092914581298828,,0.3514779210090637,0.39175698161125183,,5.363046646118164,0.29220718145370483,0.17569997906684875,,
vdpp_tgm,specimen_3,Clip_1,100,0.4461521804332733,2.02841854095459,1.030373454093933,0.3501226007938385,0.3850107491016388,0.0077101850751278836,5.2087883949279785,0.2845809757709503,0.172355055809021,0.19347236155698233,0.00014936552172698666
