clip_id,sequence_id,frame_start,frame_end,frames_requested,frames_processed,dominant_failure_mode,candidates_available,raw_disp_mae_mean,fixed_ema_disp_mae_mean,adaptive_no_raft_disp_mae_mean,raftsmall_disp_mae_mean,sav_disp_mae_mean,oracle_no_flow_disp_mae_mean,oracle_raw_fixed_raftsmall_disp_mae_mean,oracle_all_available_disp_mae_mean,oracle_gain_no_flow_vs_raw_px,oracle_gain_raw_fixed_raftsmall_vs_raw_px,oracle_gain_all_available_vs_raw_px,mean_selected_raw_pct,mean_selected_fixed_pct,mean_selected_adaptive_pct,mean_selected_raftsmall_pct,mean_selected_sav_pct,edge_region_raw_selection_pct,occlusion_region_raw_selection_pct,stable_region_raft_selection_pct,output_size_mb
dataset_2_keyframe_1_000000_000087,dataset_2_keyframe_1,000000,000087,88,88,clean_core,raw_s2m2|fixed_ema_alpha_0.35|adaptive_no_raft|raft_small_6_warped_ema_alpha_0.50|stereoanyvideo,1.0495965819467197,1.5877885347740217,1.4989217739890923,1.3626550452953035,1.074641478671269,0.9449396235021678,0.930707173929973,0.803684220395305,0.10465695844455192,0.11888940801674663,0.24591236155141472,45.49659564825986,4.95744200231866,5.461540240145231,8.389358016759559,35.695064092516695,35.70066655828014,nan,8.07271754092563,50.488314628601074
dataset_5_keyframe_3_001100_001199,dataset_5_keyframe_3,001100,001199,100,55,high_boundary_error,raw_s2m2|fixed_ema_alpha_0.35|adaptive_no_raft|raft_small_6_warped_ema_alpha_0.50|stereoanyvideo,40.38260484175249,39.461795286698774,39.88071913285689,39.89326088645242,61.38412454778498,37.733231111006305,37.71588970531117,34.42810398448597,2.649373730746184,2.6667151364413186,5.954500857266517,34.21513537295397,38.16150184488204,4.160151760410023,7.354847565572829,16.10836345618114,32.685193709151,nan,7.9978583716765375,23.760552406311035
dataset_4_keyframe_3_000270_000369,dataset_4_keyframe_3,000270,000369,100,96,high_temporal_flicker,raw_s2m2|fixed_ema_alpha_0.35|adaptive_no_raft|raft_small_6_warped_ema_alpha_0.50|stereoanyvideo,8.530297994613647,7.7495459616184235,7.942320128281911,7.993822852770488,10.863416800896326,6.813539599378903,6.818996916214625,4.73434382925431,1.716758395234744,1.7113010783990221,3.795954165359338,24.792087423920574,26.778095106540658,8.746953330706447,4.130277898804692,35.55258624002763,23.161911349624877,nan,4.1676982359867845,16.878093719482422
dataset_7_keyframe_1_000540_000639,dataset_7_keyframe_1,000540,000639,100,100,high_motion_mismatch,raw_s2m2|fixed_ema_alpha_0.35|adaptive_no_raft|raft_small_6_warped_ema_alpha_0.50|stereoanyvideo,2.698691072463989,2.986643686294556,2.9207558751106264,2.877303133010864,2.338849984407425,2.5477211129665376,2.5304096615314484,2.1152025544643402,0.15096995949745162,0.1682814109325408,0.583488517999649,20.95390380705822,5.201289984607334,5.2494888798464805,6.021752044402002,62.57356528408595,20.77591513317941,nan,5.69311992242586,48.99392509460449
dataset_2_keyframe_3_000610_000709,dataset_2_keyframe_3,000610,000709,100,63,low_valid_stress,raw_s2m2|fixed_ema_alpha_0.35|adaptive_no_raft|raft_small_6_warped_ema_alpha_0.50|stereoanyvideo,2.9836916592386036,3.8328515045226568,3.671271566360716,3.594546147755214,2.579997228251563,2.9182557643405973,2.910323659578959,2.4303465769404458,0.06543589489800627,0.07336799965964458,0.5533450822981578,16.120928570687248,4.131495585666398,2.13701501168352,3.030678170619965,74.57988266134288,19.12311868757289,nan,2.926038230538022,10.925783157348633
dataset_5_keyframe_1_000030_000129,dataset_5_keyframe_1,000030,000129,100,100,catastrophic_geometry,raw_s2m2|fixed_ema_alpha_0.35|adaptive_no_raft|raft_small_6_warped_ema_alpha_0.50|stereoanyvideo,20.940512404441833,20.276642827987672,20.461550254821777,20.629888644218443,8.682615823745728,17.976173334121704,17.950195150375365,6.333146643638611,2.964339070320129,2.9903172540664684,14.607365760803223,16.999235837102898,9.3693960926064,3.6004847275407754,5.221469999695089,64.80941334305481,20.987941182236856,nan,6.035720520559964,107.9709644317627
