require_helpful_class,utility_margin_px,uncertainty_threshold_px,SCARED-C_raw_epe,SCARED-C_output_epe,SCARED-C_gain,SCARED-C_coverage,SCARED-C_precision,SCARED-C_harmful_acceptance,SCARED-C_false_update_rate,SCARED-C_clean_degradation
True,0.0,0.1,0.18623508512973785,0.18623508512973785,0.0,0.0,0.0,0.0,0.0,0.0
True,0.0,0.25,0.18623508512973785,0.18598483502864838,0.00025025010108947754,0.0010261732314136916,0.8419263456090652,0.09631728045325778,0.00048340526213348724,0.00010293617076837449
True,0.0,0.5,0.18623508512973785,0.1854422241449356,0.0007928609848022461,0.0023084537197326136,0.848004029719179,0.0837426016874449,0.0008596233021984312,0.0002016212902365801
True,0.0,1.0,0.18623508512973785,0.1853850781917572,0.0008500069379806519,0.002337523782945466,0.8491481159059818,0.08307424449695311,0.0008599269487198718,0.00020192493675802074
True,0.0,2.0,0.18623508512973785,0.1853850781917572,0.0008500069379806519,0.002337523782945466,0.8491481159059818,0.08307424449695311,0.0008599269487198718,0.00020192493675802074
True,0.02,0.1,0.18623508512973785,0.18623508512973785,0.0,0.0,0.0,0.0,0.0,0.0
True,0.02,0.25,0.18623508512973785,0.18598483502864838,0.00025025010108947754,0.0010261732314136916,0.8419263456090652,0.09631728045325778,0.00048340526213348724,0.00010293617076837449
True,0.02,0.5,0.18623508512973785,0.1854422241449356,0.0007928609848022461,0.0023084537197326136,0.848004029719179,0.0837426016874449,0.0008596233021984312,0.0002016212902365801
True,0.02,1.0,0.18623508512973785,0.1853850781917572,0.0008500069379806519,0.002337523782945466,0.8491481159059818,0.08307424449695311,0.0008599269487198718,0.00020192493675802074
True,0.02,2.0,0.18623508512973785,0.1853850781917572,0.0008500069379806519,0.002337523782945466,0.8491481159059818,0.08307424449695311,0.0008599269487198718,0.00020192493675802074
True,0.05,0.1,0.18623508512973785,0.18623508512973785,0.0,0.0,0.0,0.0,0.0,0.0
True,0.05,0.25,0.18623508512973785,0.18598483502864838,0.00025025010108947754,0.0010261732314136916,0.8419263456090652,0.09631728045325778,0.00048340526213348724,0.00010293617076837449
True,0.05,0.5,0.18623508512973785,0.1854422241449356,0.0007928609848022461,0.0023084537197326136,0.848004029719179,0.0837426016874449,0.0008596233021984312,0.0002016212902365801
True,0.05,1.0,0.18623508512973785,0.1853850781917572,0.0008500069379806519,0.002337523782945466,0.8491481159059818,0.08307424449695311,0.0008599269487198718,0.00020192493675802074
True,0.05,2.0,0.18623508512973785,0.1853850781917572,0.0008500069379806519,0.002337523782945466,0.8491481159059818,0.08307424449695311,0.0008599269487198718,0.00020192493675802074
True,0.1,0.1,0.18623508512973785,0.18623508512973785,0.0,0.0,0.0,0.0,0.0,0.0
True,0.1,0.25,0.18623508512973785,0.18601210415363312,0.00022298097610473633,0.0009273350164899933,0.8304075235109718,0.10282131661442007,0.0004560770752038303,9.929241251108689e-05
True,0.1,0.5,0.18623508512973785,0.1854695826768875,0.0007655024528503418,0.002209615504808915,0.843441652414156,0.08590974871727404,0.0008322951152687743,0.00019797753197929252
