dataset,scope,backbone,backbone_status,specimen,method,metric,value,session_count
D4D,macro_session,RAFT-Stereo,seen,specimen_2,raw,disparity_EPE,2.8704610226056126,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,raw,disparity_P99,30.442264637947105,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,raw,disparity_Bad3,0.17821914700756603,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,raw,disparity_InvalidRate,0.0,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,raw,depth_MAE,5.480008684537273,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,raw,depth_P99,50.586762466417156,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,raw,depth_BadMM10,0.13908914856015772,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,raw,depth_InvalidRate,0.0,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,refined,disparity_EPE,2.9942293016665165,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,refined,disparity_P99,29.331716833114644,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,refined,disparity_Bad3,0.2009208803736194,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,refined,disparity_InvalidRate,0.0,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,refined,depth_MAE,19.646006010159212,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,refined,depth_P99,49.86920537967055,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,refined,depth_BadMM10,0.15167431171301554,8
D4D,macro_session,RAFT-Stereo,seen,specimen_2,refined,depth_InvalidRate,0.0,8
D4D,macro_session,RAFT-Stereo,seen,specimen_3,raw,disparity_EPE,2.78511719897703,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,raw,disparity_P99,32.06895631631217,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,raw,disparity_Bad3,0.15625818981617423,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,raw,disparity_InvalidRate,0.0,12
D4D,macro_session,RAFT-Stereo,seen,specimen_3,raw,depth_MAE,6.0925313177854,12
