backbone,specimen,session_count,depth_BPlus,depth_BUR,depth_FrameDegradation_CatastrophicFraction,depth_FrameDegradation_Mean,depth_FrameDegradation_Median,depth_FrameDegradation_P95,depth_FrameDegradation_P99,depth_FrameDegradation_PositiveFraction,depth_FrameDegradation_Worst,depth_HPlus,depth_HUR,depth_MAEDelta,depth_Neutral,depth_PixelDeltaDistribution_Mean,depth_PixelDeltaDistribution_Median,depth_PixelDeltaDistribution_P95,depth_PixelDeltaDistribution_P99,depth_thresholds_10.0_BadDelta,depth_thresholds_10.0_IdentityPreservation,depth_thresholds_10.0_NewBad,depth_thresholds_10.0_RecoveredBad,depth_thresholds_2.0_BadDelta,depth_thresholds_2.0_IdentityPreservation,depth_thresholds_2.0_NewBad,depth_thresholds_2.0_RecoveredBad,depth_thresholds_5.0_BadDelta,depth_thresholds_5.0_IdentityPreservation,depth_thresholds_5.0_NewBad,depth_thresholds_5.0_RecoveredBad,disparity_BPlus,disparity_BUR,disparity_FrameDegradation_CatastrophicFraction,disparity_FrameDegradation_Mean,disparity_FrameDegradation_Median,disparity_FrameDegradation_P95,disparity_FrameDegradation_P99,disparity_FrameDegradation_PositiveFraction,disparity_FrameDegradation_Worst,disparity_HPlus,disparity_HUR,disparity_MAEDelta,disparity_Neutral,disparity_PixelDeltaDistribution_Mean,disparity_PixelDeltaDistribution_Median,disparity_PixelDeltaDistribution_P95,disparity_PixelDeltaDistribution_P99,disparity_thresholds_1.0_BadDelta,disparity_thresholds_1.0_IdentityPreservation,disparity_thresholds_1.0_NewBad,disparity_thresholds_1.0_RecoveredBad,disparity_thresholds_3.0_BadDelta,disparity_thresholds_3.0_IdentityPreservation,disparity_thresholds_3.0_NewBad,disparity_thresholds_3.0_RecoveredBad,disparity_thresholds_5.0_BadDelta,disparity_thresholds_5.0_IdentityPreservation,disparity_thresholds_5.0_NewBad,disparity_thresholds_5.0_RecoveredBad
RAFT-Stereo,specimen_2,8,0.6054128811724587,0.494124707567449,0.75,14.16599732562194,14.16599732562194,14.16599732562194,14.16599732562194,0.75,14.16599732562194,14.771410206794402,0.40528210410833954,14.165997325621928,0.10059318832421144,14.165997325621928,-5.179164060375996e-05,4.8269244828072,20.25950102650141,0.01258516315285782,0.9730435707320412,0.022387897572433823,0.009802734419576006,0.026340112273060726,0.8961805833191565,0.059108013932594905,0.032767901659534165,0.014537657142356275,0.9551700946243689,0.03366741760772425,0.01912976046536797,0.3090764091293481,0.4950023999386565,0.625,0.12376827906090332,0.12376827906090332,0.12376827906090332,0.12376827906090332,0.625,0.12376827906090332,0.4328446881902513,0.40440344813831064,0.12376827906090321,0.10059415192303287,0.12376827906090321,-2.3126602172851562e-05,2.562250161170944,9.165273294448856,0.0164617959990973,0.9043528176441694,0.0538291232757664,0.037367327276669096,0.02270173336605338,0.9577240489595447,0.03380022540976724,0.011098492043713852,0.015031254057895032,0.9721978243785042,0.02333075781415815,0.008299503756263118
RAFT-Stereo,specimen_3,12,0.5861741711867766,0.4751981641206391,0.6666666666666666,44.449051555273336,44.449051555273336,44.449051555273336,44.449051555273336,0.6666666666666666,44.449051555273336,45.03522572646011,0.3990280313899912,44.44905155527331,0.12577380448936962,44.44905155527331,-3.1505559340653613e-06,2.7113670517263393,13.667491064943208,0.004630538180914302,0.9778086022238108,0.018726309492335447,0.014095771311421137,-0.009712208223186131,0.9081755773831491,0.04139994855113056,0.05111215677431668,0.004810198487872741,0.9563191046997069,0.03129691919747053,0.02648672070959779,0.2831975934775181,0.4756824369759472,0.4166666666666667,-0.008326153758277166,-0.008326153758277166,-0.008326153758277166,-0.008326153758277166,0.4166666666666667,-0.008326153758277166,0.27487143971924105,0.3985423826569758,-0.008326153758277105,0.12577518036707694,-0.008326153758277105,-1.5894571940104167e-06,0.9347375631332389,5.73647195974986,-0.0032387649468474783,0.943721793774071,0.03354554210755528,0.036784307054402755,0.0033754509767138577,0.9789375188079718,0.017412875125943958,0.014037424149230098,0.0014330701444769257,0.9869871760858276,0.01157379941952414,0.010140729275047214
StereoAnywhere,specimen_2,8,3.4952882239290712,0.4373689400320889,0.875,2542.4751313316556,2542.4751313316556,2542.4751313316556,2542.4751313316556,0.875,2542.4751313316556,2545.970419555585,0.39078213272658224,2542.475131331656,0.17184892724132877,2542.475131331656,-0.012376399816907302,7.547619276263897,14.339779374748515,-0.04665171533613319,0.9782467276924969,0.013247964644062145,0.05989967998019534,-0.006377502479736667,0.9212680746521347,0.03850667857320611,0.044884181052942757,-0.03701719940099302,0.9671737058071874,0.01897865594186631,0.055995855342859335,3.0326949454367975,0.43905368845667586,0.5,-1.582435298612942,-1.582435298612942,-1.582435298612942,-1.582435298612942,0.5,-1.582435298612942,1.450259646823856,0.38909738430199536,-1.5824352986129417,0.17184892724132877,-1.5824352986129417,-0.007683277130126953,12.261581254005431,25.782360782623332,-0.012926946154222164,0.912999612198949,0.041860359134529915,0.05478730528875208,-0.05265120735119909,0.965924369440692,0.020823580410615897,0.07347478776181497,-0.0587158729056276,0.9779166142133573,0.013475411726724316,0.07219128463235192
StereoAnywhere,specimen_3,12,8.363577940070435,0.5824683638848115,0.75,260.25724343271384,260.25724343271384,260.25724343271384,260.25724343271384,0.75,260.25724343271384,268.6208213727842,0.2905182253464851,260.25724343271384,0.12701341076870332,260.25724343271384,-3.785333130193377,2.27265339651927,372.31101520729027,-0.0968350720969403,0.974686767281542,0.01163809045827697,0.10847316255521727,-0.051337530563776684,0.9043979919118762,0.029067504942881694,0.08040503550665837,-0.08172508627429527,0.9606059603811681,0.01589811911167713,0.09762320538597241,15.061223331840838,0.5865094802793565,0.25,-14.854544136153988,-14.854544136153988,-14.854544136153988,-14.854544136153988,0.25,-14.854544136153988,0.2066791956868508,0.28647686292159064,-14.85454413615399,0.12701365679905285,-14.85454413615399,-12.22776492436727,0.923078529040018,4.5422985659043045,-0.06453931235777098,0.9305414786944395,0.022190553007202286,0.08672986536497328,-0.09438343587257103,0.9744633644985788,0.011657253550297711,0.1060406894228687,-0.09968843848326582,0.9820727953066749,0.006861550291668308,0.10654998877493414
CREStereo,specimen_2,8,0.6295641831764829,0.5393179893806839,0.5,-0.12351870922652436,-0.12351870922652436,-0.12351870922652436,-0.12351870922652436,0.5,-0.12351870922652436,0.5060454739499587,0.3687099514034875,-0.12351870922652412,0.09197205921582868,-0.12351870922652412,-0.001205571215419532,1.109271667061514,5.764317385172731,-0.008129837290204294,0.9919667245443238,0.006789222204173185,0.014919059494377482,-0.0102767030916688,0.9397138532700202,0.03596009505932973,0.04623679815099854,-0.011203318280083882,0.978774667964603,0.016170198629245888,0.027373516909329775,0.31017979431450093,0.5399092126207289,0.125,-0.1431911379814927,-0.1431911379814927,-0.1431911379814927,-0.1431911379814927,0.125,-0.1431911379814927,0.16698865633300825,0.36811838683203146,-0.1431911379814927,0.09197240054723964,-0.1431911379814927,-0.0005307197570800781,0.6640841722488401,3.029026722908022,-0.013850526338955178,0.9327521026210173,0.04141105278642719,0.05526157912538237,-0.007844544138340827,0.9845675909898841,0.013242209408869821,0.02108675354721065,-0.006832587564845893,0.9929623977897073,0.006294188862136108,0.013126776426982
CREStereo,specimen_3,12,0.8503529422741267,0.4821453069294192,0.6666666666666666,23052.233823695162,23052.233823695162,23052.233823695162,23052.233823695162,0.6666666666666666,23052.233823695162,23053.084176637447,0.39091620167388985,23052.233823695165,0.1269384913966909,23052.233823695165,-6.0577317133751286e-05,2.5742143857920836,14.142429421322895,-0.006872128148517904,0.9847423615970193,0.012609063962135167,0.019481192110653075,0.002515615684866306,0.8951834139260858,0.052170656922727404,0.04965504123786108,0.0048264607965883685,0.9572952870376423,0.031066882093208653,0.02624042129662028,0.5917977821609232,0.4838377627498897,0.25,-0.4174604527087679,-0.4174604527087679,-0.4174604527087679,-0.4174604527087679,0.25,-0.4174604527087679,0.1743373294521554,0.38922203035750197,-0.41746045270876775,0.1269402068926084,-0.41746045270876775,-3.4332275390625e-05,0.793343838055928,2.784281077384945,0.011241671504578625,0.9315289986366778,0.04341954318084992,0.0321778716762713,-0.006859319677540678,0.9838975008516027,0.012852815448864399,0.019712135126405076,-0.009541430753582152,0.9920628509379128,0.0068156349696632335,0.016357065723245388
Fast-FoundationStereo,specimen_2,8,1.6176451791762438,0.5748858416462548,0.5,2460.0829548486336,2460.0829548486336,2460.0829548486336,2460.0829548486336,0.5,2460.0829548486336,2461.7006000278097,0.33688914318437946,2460.0829548486345,0.08822501516936582,2460.0829548486345,-0.010196963007199411,0.7669176582517842,7.610674732281441,-0.031222867767144568,0.9953797302721816,0.0038302019556688193,0.035053069722813385,-0.02883735140015641,0.9527882446462841,0.027581550901923605,0.05641890230207999,-0.039092999568633977,0.9878148342616089,0.009239003694486134,0.04833200326312011,0.8097651294796868,0.5767832719362637,0.0,-0.6540068159638346,-0.6540068159638346,-0.6540068159638346,-0.6540068159638346,0.0,-0.6540068159638346,0.15575831351585212,0.3349903248634126,-0.6540068159638349,0.08822640320032377,-0.6540068159638349,-0.005131721496582031,0.49481303691864015,2.6079033994674696,-0.03716974879167745,0.9453860766127897,0.029527081772940975,0.06669683056461842,-0.03337929654961959,0.9856760373106661,0.011631529815425513,0.04501082636504511,-0.02782313881649019,0.9940099757561704,0.005089351233239672,0.03291249004972986
Fast-FoundationStereo,specimen_3,12,1.0137399553658284,0.4830972202925435,0.5,156.67329419486973,156.67329419486973,156.67329419486973,156.67329419486973,0.5,156.67329419486973,157.68703415023546,0.37631234385598905,156.67329419486978,0.1405904358514674,156.67329419486978,-4.895503011563089e-06,1.8367169710233873,5.935987709929922,-0.008322732313532134,0.9847918885380862,0.012066843487142,0.020389575800674135,-0.008206965336437796,0.9106326718414429,0.037574187760240345,0.045781153096678136,-0.01264667682264821,0.9717926244019086,0.018690929424954237,0.03133760624760245,0.6500302846859496,0.4842156999169143,0.08333333333333333,-0.512901037655075,-0.512901037655075,-0.512901037655075,-0.512901037655075,0.08333333333333333,-0.512901037655075,0.13712924703087467,0.3751933036212462,-0.512901037655075,0.1405909964618395,-0.512901037655075,-1.7484029134114583e-06,0.6283269405364983,2.409387755393982,-0.011160622061060619,0.9440354365762179,0.03080092620379812,0.04196154826485873,-0.009307543475029044,0.9841062589823534,0.011838608847194614,0.021146152322223666,-0.012730808744098687,0.9901037910734395,0.007976684390021367,0.020707493134120052
