backbone,sequence,n_sample_frames,mean_abs_error_px,max_abs_error_px,p99_abs_error_px
S2M2-S,dataset_3_keyframe_1,5,0.0017384529346600175,0.0078105926513671875,0.006994262337684631
S2M2-S,dataset_7_keyframe_4,5,0.0020678292494267225,0.0078125,0.0065708160400390625
RAFT-Stereo,dataset_3_keyframe_1,5,0.0017443726537749171,0.0078125,0.006988540291786194
RAFT-Stereo,dataset_7_keyframe_4,5,0.00205424171872437,0.0078105926513671875,0.006427794694900513
StereoAnywhere,dataset_3_keyframe_1,5,0.0017383486265316606,0.0078125,0.0069599151611328125
StereoAnywhere,dataset_7_keyframe_4,5,0.002043144777417183,0.0078105926513671875,0.006237030029296875
CREStereo,dataset_3_keyframe_1,5,0.0017383132362738252,0.0078105926513671875,0.006946578621864319
CREStereo,dataset_7_keyframe_4,5,0.0020606655161827803,0.0078125,0.006486907601356506
Fast-FoundationStereo,dataset_3_keyframe_1,5,0.001745122135616839,0.0078125,0.006998077034950256
Fast-FoundationStereo,dataset_7_keyframe_4,5,0.0020797988399863243,0.0078105926513671875,0.006633758544921875
