epoch,train_total,train_disparity,train_reset,train_fusion,validation_fused_epe,validation_gain
1,1.7686474811283421,0.08057504241030448,0.6913163003094049,0.99675613841531,0.31023031563844194,-0.0005786373007761747
2,1.667221018425949,0.06854694442821217,0.6237340015715331,0.9749400695793974,0.30997915485780053,-0.0003274765201347618
3,1.5668740080499561,0.05741774198679516,0.5809781875494519,0.9284780767857843,0.3064577521102397,0.0031939262274260916
4,1.5076241255694482,0.05230854750910923,0.5495295334966985,0.9057860418293951,0.30553272088903183,0.004118957448633942
5,1.4500069988025486,0.049921261839809106,0.5156569311434369,0.8844288077730337,0.30520315106568935,0.0044483385717956625
6,1.4089683299291067,0.05090263897488339,0.5029882325348924,0.8550774575870722,0.3033509299152881,0.006300559722196897
7,1.356360982324232,0.05265826368380701,0.484039966650202,0.8196627477878817,0.3000160001065152,0.00963548953096982
8,1.3016952539289464,0.049099163568511024,0.455101231376317,0.797494858114857,0.3033060212319978,0.00634546840548722
9,1.251412209565043,0.04862511992306535,0.43609769501696094,0.7666893951238719,0.30385935187945706,0.005792137758027949
10,1.1826545476524968,0.04654598076903556,0.40163549216141614,0.7344730762056059,0.2992275528663824,0.010423852126092259
11,1.130556014718512,0.04790036700415055,0.37750843037374204,0.7051472153114577,0.3001799288618773,0.0094714761305974
12,1.081486916196117,0.04989918894039075,0.3511644803725959,0.6804232476458352,0.2982718480119743,0.01137955698050036
