epoch,loss,harm_loss,delta_loss,validation_harm_auroc,validation_harm_auprc,validation_brier,validation_sample_count,validation_harm_fraction,learning_rate
1,1.433745312690735,1.433745312690735,0.0,0.43699005106069383,0.2713986164419564,0.2765929035247083,435,0.27816091954022987,0.0019992675844286863
2,1.3451069355010987,1.3451069355010987,0.0,0.4417276412065063,0.27707303016441814,0.31652454792458257,435,0.27816091954022987,0.0019970714670464705
3,1.3090116262435914,1.3090116262435914,0.0,0.47110070011054384,0.33680770470345656,0.3218974325505313,435,0.27816091954022987,0.001993415034107178
4,1.3173197746276855,1.3173197746276855,0.0,0.5140548507659104,0.35767612765864965,0.3269037539361183,435,0.27816091954022987,0.001988303923565378
5,1.3438355922698975,1.3438355922698975,0.0,0.5901194925514555,0.4427478612809124,0.31821945204314717,435,0.27816091954022987,0.0019817460163830654
6,1.4035680055618287,1.4035680055618287,0.0,0.6520766436805812,0.555406699982617,0.3209735387493568,435,0.27816091954022987,0.001973751424377789
7,1.2404927968978883,1.2404927968978883,0.0,0.6909512028214981,0.6212530482105876,0.31367132786023477,435,0.27816091954022987,0.0019643324746309605
8,1.310498094558716,1.310498094558716,0.0,0.7143233142075065,0.6204343331448487,0.3076573313890636,435,0.27816091954022987,0.001953503690480391
9,1.3149168014526367,1.3149168014526367,0.0,0.7318523977470126,0.6174176555368917,0.3155247267899492,435,0.27816091954022987,0.001941281769126355
10,1.3984740495681762,1.3984740495681762,0.0,0.7442227720166342,0.617109467616803,0.3246240088025681,435,0.27816091954022987,0.0019276855558857176
11,1.283696961402893,1.283696961402893,0.0,0.7479338842975206,0.6108189846510358,0.3226406578501243,435,0.27816091954022987,0.0019127360151338223
12,1.192741048336029,1.192741048336029,0.0,0.745854608622414,0.6026447885197983,0.31906330147779255,435,0.27816091954022987,0.0018964561979789446
13,1.3635920286178589,1.3635920286178589,0.0,0.7461441280202137,0.5982651915541558,0.3196318813381966,435,0.27816091954022987,0.0018788712067191527
14,1.381411361694336,1.381411361694336,0.0,0.7461967679107229,0.5988715261042096,0.33065843893127794,435,0.27816091954022987,0.001860008156136383
15,1.26666579246521,1.26666579246521,0.0,0.7441438121808706,0.5950145571346462,0.3175527341709331,435,0.27816091954022987,0.0018398961316874133
16,1.3320802211761475,1.3320802211761475,0.0,0.7434331736589987,0.5891773995988915,0.3106769194473916,435,0.27816091954022987,0.0018185661446561956
