config,correction_flicker,correction_sign_flip_rate,delta_mae,frames,high_frequency_temporal_error,high_motion_mc_inconsistency,isolated_activation,low_motion_mc_inconsistency,medium_motion_mc_inconsistency,modified_pixel_ratio,motion_compensated_inconsistency,new_bad3,raw_bad3,raw_mae,refined_bad3,refined_mae,sequence_id,temporal_error_jitter,tepe,tgm_error,valid_temporal_pair_count,valid_warp_support_ratio
raw_s2m2,0.0,0.0,0.0,128.0,3.523681163787842,4.222716365273543,0.0,4.222716365273543,4.222716365273543,0.0,4.222716365273543,0.0,54.68938446044922,6.912731170654297,54.68938446044922,6.912731170654297,dataset_4_keyframe_1,2.189343242664037,4.222716365273543,2.387747202332564,127.0,0.7375030850800942
aligned_local_faithful,0.12859770919628968,0.1397088585791772,0.06871414184570312,128.0,3.4107396602630615,4.101780812571368,0.1763354241847992,4.101780812571368,4.101780812571368,0.465898334980011,4.101780812571368,1.129651427268982,54.68938446044922,6.912731170654297,53.997867584228516,6.844017028808594,dataset_4_keyframe_1,2.131112373250676,4.101780812571368,2.3216236477761756,127.0,0.7375030850800942
faithful_full,0.021671162522214606,0.0,0.10373497009277344,128.0,3.503352165222168,4.207719190852848,0.01552360039204359,4.207719190852848,4.207719190852848,0.9973873496055603,4.207719190852848,1.637709140777588,54.68938446044922,6.912731170654297,53.489662170410156,6.808996200561523,dataset_4_keyframe_1,2.1763227694616543,4.207719190852848,2.3778471547787583,127.0,0.7375030850800942
faithful_state_reset,0.0207430726562546,0.0,0.10785055160522461,128.0,3.503694772720337,4.20773946581863,0.015444084070622921,4.20773946581863,4.20773946581863,0.997996985912323,4.20773946581863,1.7194833755493164,54.68938446044922,6.912731170654297,53.45792007446289,6.804880619049072,dataset_4_keyframe_1,2.176119249167405,4.20773946581863,2.3778612585518304,127.0,0.7375030850800942
faithful_shuffled_existing,0.02956601502153817,7.683223326081836e-07,0.10313892364501953,128.0,3.5057342052459717,4.209258670881977,0.016197914257645607,4.209258670881977,4.209258670881977,0.9952327013015747,4.209258670881977,1.5902891159057617,54.68938446044922,6.912731170654297,53.50257873535156,6.809592247009277,dataset_4_keyframe_1,2.1772495264143457,4.209258670881977,2.3788993846713087,127.0,0.7375030850800942
safe_causal_bida,9.798156528254981e-11,0.0,0.0,128.0,3.523681163787842,4.222716365273543,0.0,4.222716365273543,4.222716365273543,0.0,4.222716365273543,0.0,54.68938446044922,6.912731170654297,54.68938446044922,6.912731170654297,dataset_4_keyframe_1,2.189343242664037,4.222716365273543,2.387747202332564,127.0,0.7375030850800942
faithful_full,0.021671162522214606,0.0,0.10373497009277344,128.0,3.503352165222168,4.207719190852848,0.01552360039204359,4.207719190852848,4.207719190852848,0.9973873496055603,4.207719190852848,1.637709140777588,54.68938446044922,6.912731170654297,53.489662170410156,6.808996200561523,dataset_4_keyframe_1,2.1763227694616543,4.207719190852848,2.3778471547787583,127.0,0.7375030850800942
faithful_zero_state,0.0207430726562546,0.0,0.10785055160522461,128.0,3.503694772720337,4.20773946581863,0.015444084070622921,4.20773946581863,4.20773946581863,0.997996985912323,4.20773946581863,1.7194833755493164,54.68938446044922,6.912731170654297,53.45792007446289,6.804880619049072,dataset_4_keyframe_1,2.176119249167405,4.20773946581863,2.3778612585518304,127.0,0.7375030850800942
faithful_random_state,0.0250228549991771,0.0,0.10777997970581055,128.0,3.50374698638916,4.207707124432241,0.015499291010200977,4.207707124432241,4.207707124432241,0.9977979063987732,4.207707124432241,1.71542489528656,54.68938446044922,6.912731170654297,53.461849212646484,6.804951190948486,dataset_4_keyframe_1,2.1761938464923167,4.207707124432241,2.377934184130721,127.0,0.7375030850800942
faithful_shuffled_corrected,0.026502935054499334,3.75907781179151e-07,0.10809612274169922,128.0,3.506221055984497,4.209456598664832,0.015808643773198128,4.209456598664832,4.209456598664832,0.9965826272964478,4.209456598664832,1.6822490692138672,54.68938446044922,6.912731170654297,53.46576690673828,6.804635047912598,dataset_4_keyframe_1,2.1772463509416955,4.209456598664832,2.3791820848081993,127.0,0.7375030850800942
