config,frame_index,modified_pixel_ratio,raw_mae,refined_mae,sequence_id
raw_s2m2,64,0.0,13.034028053283691,13.034028053283691,dataset_4_keyframe_1
raw_s2m2,65,0.0,14.101887702941895,14.101887702941895,dataset_4_keyframe_1
raw_s2m2,66,0.0,11.83201789855957,11.83201789855957,dataset_4_keyframe_1
raw_s2m2,67,0.0,10.510710716247559,10.510710716247559,dataset_4_keyframe_1
raw_s2m2,68,0.0,10.725910186767578,10.725910186767578,dataset_4_keyframe_1
raw_s2m2,69,0.0,11.850449562072754,11.850449562072754,dataset_4_keyframe_1
raw_s2m2,70,0.0,9.748889923095703,9.748889923095703,dataset_4_keyframe_1
raw_s2m2,71,0.0,10.772536277770996,10.772536277770996,dataset_4_keyframe_1
raw_s2m2,72,0.0,11.700876235961914,11.700876235961914,dataset_4_keyframe_1
raw_s2m2,73,0.0,10.480977058410645,10.480977058410645,dataset_4_keyframe_1
raw_s2m2,74,0.0,6.914381504058838,6.914381504058838,dataset_4_keyframe_1
raw_s2m2,75,0.0,7.08359956741333,7.08359956741333,dataset_4_keyframe_1
raw_s2m2,76,0.0,10.684420585632324,10.684420585632324,dataset_4_keyframe_1
raw_s2m2,77,0.0,10.011382102966309,10.011382102966309,dataset_4_keyframe_1
raw_s2m2,78,0.0,12.89316177368164,12.89316177368164,dataset_4_keyframe_1
raw_s2m2,79,0.0,9.190312385559082,9.190312385559082,dataset_4_keyframe_1
raw_s2m2,80,0.0,6.780852794647217,6.780852794647217,dataset_4_keyframe_1
raw_s2m2,81,0.0,6.036298751831055,6.036298751831055,dataset_4_keyframe_1
raw_s2m2,82,0.0,4.8513288497924805,4.8513288497924805,dataset_4_keyframe_1
raw_s2m2,83,0.0,7.448764801025391,7.448764801025391,dataset_4_keyframe_1
raw_s2m2,84,0.0,5.02047872543335,5.02047872543335,dataset_4_keyframe_1
raw_s2m2,85,0.0,5.520598888397217,5.520598888397217,dataset_4_keyframe_1
raw_s2m2,86,0.0,4.758561611175537,4.758561611175537,dataset_4_keyframe_1
raw_s2m2,87,0.0,4.4748406410217285,4.4748406410217285,dataset_4_keyframe_1
raw_s2m2,88,0.0,5.1351704597473145,5.1351704597473145,dataset_4_keyframe_1
raw_s2m2,89,0.0,4.5885467529296875,4.5885467529296875,dataset_4_keyframe_1
raw_s2m2,90,0.0,4.896280765533447,4.896280765533447,dataset_4_keyframe_1
raw_s2m2,91,0.0,4.264264106750488,4.264264106750488,dataset_4_keyframe_1
raw_s2m2,92,0.0,4.618225574493408,4.618225574493408,dataset_4_keyframe_1
raw_s2m2,93,0.0,4.560856342315674,4.560856342315674,dataset_4_keyframe_1
raw_s2m2,94,0.0,5.0233154296875,5.0233154296875,dataset_4_keyframe_1
raw_s2m2,95,0.0,4.735302925109863,4.735302925109863,dataset_4_keyframe_1
raw_s2m2,96,0.0,3.842177391052246,3.842177391052246,dataset_4_keyframe_1
raw_s2m2,97,0.0,4.664228439331055,4.664228439331055,dataset_4_keyframe_1
raw_s2m2,98,0.0,4.68751335144043,4.68751335144043,dataset_4_keyframe_1
raw_s2m2,99,0.0,5.4760613441467285,5.4760613441467285,dataset_4_keyframe_1
raw_s2m2,100,0.0,4.87246561050415,4.87246561050415,dataset_4_keyframe_1
raw_s2m2,101,0.0,4.681422233581543,4.681422233581543,dataset_4_keyframe_1
raw_s2m2,102,0.0,4.518485069274902,4.518485069274902,dataset_4_keyframe_1
raw_s2m2,103,0.0,4.051941871643066,4.051941871643066,dataset_4_keyframe_1
raw_s2m2,104,0.0,4.749631881713867,4.749631881713867,dataset_4_keyframe_1
raw_s2m2,105,0.0,4.24636173248291,4.24636173248291,dataset_4_keyframe_1
raw_s2m2,106,0.0,3.687105894088745,3.687105894088745,dataset_4_keyframe_1
raw_s2m2,107,0.0,4.183923244476318,4.183923244476318,dataset_4_keyframe_1
raw_s2m2,108,0.0,4.57879114151001,4.57879114151001,dataset_4_keyframe_1
raw_s2m2,109,0.0,4.392562389373779,4.392562389373779,dataset_4_keyframe_1
raw_s2m2,110,0.0,3.8359453678131104,3.8359453678131104,dataset_4_keyframe_1
raw_s2m2,111,0.0,3.9000651836395264,3.9000651836395264,dataset_4_keyframe_1
raw_s2m2,112,0.0,4.439538955688477,4.439538955688477,dataset_4_keyframe_1
raw_s2m2,113,0.0,4.161973476409912,4.161973476409912,dataset_4_keyframe_1
raw_s2m2,114,0.0,4.078733444213867,4.078733444213867,dataset_4_keyframe_1
raw_s2m2,115,0.0,4.3919830322265625,4.3919830322265625,dataset_4_keyframe_1
raw_s2m2,116,0.0,3.6446287631988525,3.6446287631988525,dataset_4_keyframe_1
raw_s2m2,117,0.0,3.4257051944732666,3.4257051944732666,dataset_4_keyframe_1
raw_s2m2,118,0.0,3.4837772846221924,3.4837772846221924,dataset_4_keyframe_1
raw_s2m2,119,0.0,4.570660591125488,4.570660591125488,dataset_4_keyframe_1
raw_s2m2,120,0.0,4.0091047286987305,4.0091047286987305,dataset_4_keyframe_1
raw_s2m2,121,0.0,3.5968024730682373,3.5968024730682373,dataset_4_keyframe_1
raw_s2m2,122,0.0,3.52744197845459,3.52744197845459,dataset_4_keyframe_1
raw_s2m2,123,0.0,4.350011348724365,4.350011348724365,dataset_4_keyframe_1
raw_s2m2,124,0.0,3.8300347328186035,3.8300347328186035,dataset_4_keyframe_1
raw_s2m2,125,0.0,4.145031452178955,4.145031452178955,dataset_4_keyframe_1
raw_s2m2,126,0.0,4.066136360168457,4.066136360168457,dataset_4_keyframe_1
raw_s2m2,127,0.0,3.8059380054473877,3.8059380054473877,dataset_4_keyframe_1
aligned_local_faithful,0,0.3547251522541046,6.060244083404541,5.977323532104492,dataset_4_keyframe_1
aligned_local_faithful,1,0.6101979613304138,9.039661407470703,8.843963623046875,dataset_4_keyframe_1
aligned_local_faithful,2,0.3798745274543762,6.012317657470703,5.972752094268799,dataset_4_keyframe_1
aligned_local_faithful,3,0.42076575756073,6.124181747436523,6.032049655914307,dataset_4_keyframe_1
aligned_local_faithful,4,0.5020256042480469,9.188918113708496,9.01637077331543,dataset_4_keyframe_1
aligned_local_faithful,5,0.3833124339580536,8.369651794433594,8.282550811767578,dataset_4_keyframe_1
aligned_local_faithful,6,0.4406178295612335,7.902944564819336,7.811700344085693,dataset_4_keyframe_1
aligned_local_faithful,7,0.37413233518600464,7.557080268859863,7.466458320617676,dataset_4_keyframe_1
aligned_local_faithful,8,0.4214440882205963,6.627152442932129,6.556004524230957,dataset_4_keyframe_1
aligned_local_faithful,9,0.4446474015712738,7.395853042602539,7.286662578582764,dataset_4_keyframe_1
aligned_local_faithful,10,0.39055243134498596,6.696791172027588,6.6293110847473145,dataset_4_keyframe_1
aligned_local_faithful,11,0.4962182343006134,7.725963115692139,7.5882978439331055,dataset_4_keyframe_1
aligned_local_faithful,12,0.4811452329158783,5.421593189239502,5.382978439331055,dataset_4_keyframe_1
aligned_local_faithful,13,0.5003674626350403,6.61635160446167,6.509317874908447,dataset_4_keyframe_1
