config,correction_flicker,correction_sign_flip_rate,delta_mae,frames,high_frequency_temporal_error,high_motion_mc_inconsistency,isolated_activation,low_motion_mc_inconsistency,medium_motion_mc_inconsistency,modified_pixel_ratio,motion_compensated_inconsistency,new_bad3,raw_bad3,raw_mae,refined_bad3,refined_mae,temporal_error_jitter,tepe,tgm_error,valid_temporal_pair_count,valid_warp_support_ratio
aligned_local_faithful,0.08784834493508958,0.05138448420151202,0.042677223682403564,128.0,1.4689649492502213,2.8808030017952277,0.18969660252332687,2.8808030017952277,2.8808030017952277,0.3850623220205307,2.8808030017952277,0.7452425062656403,30.5309476852417,3.4599472284317017,29.569079875946045,3.417270004749298,0.931515029682888,2.8808030017952277,1.0138623814765861,127.0,0.5905541221457203
faithful_all_reliable,0.017213918452928446,0.0,0.0773022472858429,128.0,1.4895425736904144,2.9481000850989125,0.014135097619146109,2.9481000850989125,2.9481000850989125,0.9935380518436432,2.9481000850989125,1.1909610629081726,30.5309476852417,3.4599472284317017,29.122199296951294,3.3826449811458588,0.9418517339417315,2.9481000850989125,1.0268915898100597,127.0,0.5905541221457203
faithful_full,0.017213918452928446,0.0,0.0773022472858429,128.0,1.4895425736904144,2.9481000850989125,0.014135097619146109,2.9481000850989125,2.9481000850989125,0.9935380518436432,2.9481000850989125,1.1909610629081726,30.5309476852417,3.4599472284317017,29.122199296951294,3.3826449811458588,0.9418517339417314,2.9481000850989125,1.0268915898100597,127.0,0.5905541221457203
faithful_prev_current,0.016864037130204006,6.345347954509377e-08,0.07709622383117676,128.0,1.4911745935678482,2.9490623031192875,0.014349445467814803,2.9490623031192875,2.9490623031192875,0.9926931113004684,2.9490623031192875,1.1845539957284927,30.5309476852417,3.4599472284317017,29.12674379348755,3.382851004600525,0.9425772038970407,2.9490623031192875,1.027766179616057,127.0,0.5905541221457203
faithful_random_state,0.02070855400635032,0.0,0.07989528775215149,128.0,1.4898527562618256,2.9482250216556345,0.014039732050150633,2.9482250216556345,2.9482250216556345,0.9945343285799026,2.9482250216556345,1.2521508634090424,30.5309476852417,3.4599472284317017,29.09177589416504,3.38005194067955,0.9419428316626961,2.9482250216556345,1.0270408667096003,127.0,0.5905541221457203
faithful_shuffled_corrected,0.02464400545517936,2.4146893481411386e-07,0.07807552814483643,128.0,1.4910536408424377,2.9495795309895607,0.014570755884051323,2.9495795309895607,2.9495795309895607,0.9919467866420746,2.9495795309895607,1.2334981188178062,30.5309476852417,3.4599472284317017,29.122037649154663,3.3818717002868652,0.9425683339221741,2.9495795309895607,1.027746674465382,127.0,0.5905541221457203
faithful_shuffled_existing,0.028557269430653315,3.396137147742199e-07,0.07554793357849121,128.0,1.4912560880184174,2.9497410780566886,0.01535849366337061,2.9497410780566886,2.9497410780566886,0.9892881959676743,2.9497410780566886,1.165176685899496,30.5309476852417,3.4599472284317017,29.145658254623413,3.3843992948532104,0.9427355431078925,2.9497410780566886,1.0278671336338276,127.0,0.5905541221457203
faithful_state_reset,0.016526273981572723,0.0,0.07994115352630615,128.0,1.4896197617053986,2.9481794860536654,0.013804144458845258,2.9481794860536654,2.9481794860536654,0.9953563660383224,2.9481794860536654,1.2549794502556324,30.5309476852417,3.4599472284317017,29.091874837875366,3.3800060749053955,0.9417701549828051,2.9481794860536654,1.026859929301138,127.0,0.5905541221457203
faithful_zero_prev,0.023319743452667015,4.248930311827796e-06,0.062291890382766724,128.0,1.4918648600578308,2.946200914152964,0.01974929845891893,2.946200914152964,2.946200914152964,0.9523847699165344,2.946200914152964,0.8837977796792984,30.5309476852417,3.4599472284317017,29.32978916168213,3.397655338048935,0.9431472417465814,2.946200914152964,1.0281390739590164,127.0,0.5905541221457203
faithful_zero_state,0.016526273981572723,0.0,0.07994115352630615,128.0,1.4896197617053986,2.9481794860536654,0.013804144458845258,2.9481794860536654,2.9481794860536654,0.9953563660383224,2.9481794860536654,1.2549794502556324,30.5309476852417,3.4599472284317017,29.091874837875366,3.3800060749053955,0.9417701549828051,2.9481794860536654,1.026859929301138,127.0,0.5905541221457203
raw_s2m2,0.0,0.0,0.0,128.0,1.4956673085689545,2.9569218211521315,0.0,2.9569218211521315,2.9569218211521315,0.0,2.9569218211521315,0.0,30.5309476852417,3.4599472284317017,30.5309476852417,3.4599472284317017,0.9455814422291564,2.9569218211521315,1.02960425902774,127.0,0.5905541221457203
safe_causal_bida,4.696512936044479e-11,0.0,0.0,128.0,1.4956673085689545,2.9569218211521315,0.0,2.9569218211521315,2.9569218211521315,0.0,2.9569218211521315,0.0,30.5309476852417,3.4599472284317017,30.5309476852417,3.4599472284317017,0.9455814422291564,2.9569218211521315,1.02960425902774,127.0,0.5905541221457203
