frame_index,hidden_l1,hidden_l2,hidden_near_zero_fraction,hidden_saturated_fraction,local_feature_l2,mode,propagated_feature_l2,reliability_coverage,residual_l1,sequence_id,warped_hidden_l2
0,2.8591370582580566,4.467774391174316,3.611246938817203e-05,0.04066569358110428,25.26714515686035,full,4.467774391174316,0.8287597894668579,0.26156529784202576,dataset_4_keyframe_1,0.0
1,2.9330251216888428,4.677276611328125,6.434122769860551e-05,0.04089203104376793,25.87206268310547,full,4.677276611328125,0.785754382610321,0.2656407654285431,dataset_4_keyframe_1,4.353293418884277
2,2.8503053188323975,4.453182697296143,6.230672443052754e-05,0.03654022514820099,25.507959365844727,full,4.453182697296143,0.78857421875,0.24962182343006134,dataset_4_keyframe_1,4.5750579833984375
3,2.852743148803711,4.464407920837402,5.9763595345430076e-05,0.0378265418112278,25.046680450439453,full,4.464407920837402,0.797680675983429,0.2565571069717407,dataset_4_keyframe_1,4.345078468322754
4,2.937303304672241,4.626338958740234,5.594889444182627e-05,0.04094594717025757,25.831157684326172,full,4.626338958740234,0.773730456829071,0.26402637362480164,dataset_4_keyframe_1,4.366093158721924
5,2.898477077484131,4.535159111022949,6.815592496423051e-05,0.03777872771024704,25.82288360595703,full,4.535159111022949,0.7783447504043579,0.25667038559913635,dataset_4_keyframe_1,4.495701789855957
6,2.872300386428833,4.498599052429199,6.383260188158602e-05,0.03817596659064293,25.371803283691406,full,4.498599052429199,0.789355456829071,0.2579581141471863,dataset_4_keyframe_1,4.399248123168945
7,2.8360819816589355,4.456691265106201,7.171631295932457e-05,0.03698934242129326,25.128990173339844,full,4.456691265106201,0.7880615592002869,0.25438499450683594,dataset_4_keyframe_1,4.3668293952941895
8,2.7856428623199463,4.389072418212891,7.502238440793008e-05,0.035879772156476974,24.812294006347656,full,4.389072418212891,0.789355456829071,0.24939914047718048,dataset_4_keyframe_1,4.330180644989014
9,2.766407012939453,4.392923355102539,6.764729914721102e-05,0.035714469850063324,24.692779541015625,full,4.392923355102539,0.78717041015625,0.24810419976711273,dataset_4_keyframe_1,4.273383617401123
10,2.7136025428771973,4.311851501464844,6.739298987668008e-05,0.034343719482421875,24.368982315063477,full,4.311851501464844,0.7818359732627869,0.24230265617370605,dataset_4_keyframe_1,4.267003536224365
11,2.757620096206665,4.371969699859619,6.841024151071906e-05,0.03707275539636612,24.408428192138672,full,4.371969699859619,0.7763671875,0.25024399161338806,dataset_4_keyframe_1,4.1848602294921875
12,2.6202163696289062,4.139606952667236,8.290608820971102e-05,0.031556956470012665,23.716588973999023,full,4.139606952667236,0.772216796875,0.22845332324504852,dataset_4_keyframe_1,4.242852687835693
13,2.683278799057007,4.235651016235352,6.078084697946906e-05,0.035252638161182404,23.564411163330078,full,4.235651016235352,0.766613781452179,0.24425680935382843,dataset_4_keyframe_1,4.051877498626709
14,2.7309420108795166,4.2955098152160645,6.4849853515625e-05,0.03553975746035576,24.03987693786621,full,4.2955098152160645,0.772595226764679,0.24777212738990784,dataset_4_keyframe_1,4.121379375457764
15,2.7014381885528564,4.253584861755371,7.858276512706652e-05,0.03306783363223076,24.044334411621094,full,4.253584861755371,0.773181140422821,0.24116705358028412,dataset_4_keyframe_1,4.195353984832764
16,2.650343894958496,4.175743579864502,6.408691842807457e-05,0.03243153914809227,23.597675323486328,full,4.175743579864502,0.7690796256065369,0.23672877252101898,dataset_4_keyframe_1,4.152010917663574
17,2.7445850372314453,4.331302642822266,5.925496589043178e-05,0.03717092052102089,23.980621337890625,full,4.331302642822266,0.7697510123252869,0.251842737197876,dataset_4_keyframe_1,4.064503192901611
18,2.76065731048584,4.350067615509033,6.790161569369957e-05,0.035635124891996384,24.443117141723633,full,4.350067615509033,0.766345202922821,0.2492717057466507,dataset_4_keyframe_1,4.209475517272949
19,2.718289852142334,4.280059337615967,5.366007826523855e-05,0.03349050134420395,24.182233810424805,full,4.280059337615967,0.7660278677940369,0.2431277334690094,dataset_4_keyframe_1,4.232772350311279
20,2.757038116455078,4.33651876449585,6.230672443052754e-05,0.036850232630968094,24.196929931640625,full,4.33651876449585,0.7681884765625,0.2501834034919739,dataset_4_keyframe_1,4.180063247680664
21,2.6625804901123047,4.190996170043945,5.8746340073412284e-05,0.030374910682439804,23.814985275268555,full,4.190996170043945,0.7633423209190369,0.2349366992712021,dataset_4_keyframe_1,4.227851390838623
22,2.70829176902771,4.282171249389648,5.6711836805334315e-05,0.036178335547447205,23.848119735717773,full,4.282171249389648,0.761120617389679,0.24620421230793,dataset_4_keyframe_1,4.083032608032227
23,2.712820529937744,4.283809661865234,6.434122769860551e-05,0.03458353877067566,24.08867835998535,full,4.283809661865234,0.761584460735321,0.24421007931232452,dataset_4_keyframe_1,4.161959171295166
