comparison,max,mean,median,p90,p95,p99,sequence_id
full_vs_faithful_state_reset,0.181915283203125,0.011837033924694523,0.0094146728515625,0.0219573974609375,0.0273895263671875,0.040496826171875,dataset_4_keyframe_1
full_vs_faithful_shuffled_existing,1.2479705810546875,0.019894368500328406,0.010711669921875,0.04943084716796875,0.07051849365234375,0.1226043701171875,dataset_4_keyframe_1
full_vs_faithful_zero_state,0.181915283203125,0.011837033924694523,0.0094146728515625,0.0219573974609375,0.0273895263671875,0.040496826171875,dataset_4_keyframe_1
full_vs_faithful_random_state,0.1873016357421875,0.013754246927116956,0.01146697998046875,0.028167724609375,0.034454345703125,0.04941558837890625,dataset_4_keyframe_1
full_vs_faithful_shuffled_corrected,1.237091064453125,0.021142492554033283,0.0135345458984375,0.04686737060546875,0.06528472900390625,0.1175994873046875,dataset_4_keyframe_1
full_vs_faithful_state_reset,0.12987518310546875,0.012751001334092004,0.0100860595703125,0.024169921875,0.0294342041015625,0.04096221923828125,dataset_7_keyframe_4
full_vs_faithful_shuffled_existing,1.097015380859375,0.021800404140464025,0.0146331787109375,0.0501708984375,0.0662689208984375,0.1092987060546875,dataset_7_keyframe_4
full_vs_faithful_zero_state,0.12987518310546875,0.012751001334092004,0.0100860595703125,0.024169921875,0.0294342041015625,0.04096221923828125,dataset_7_keyframe_4
full_vs_faithful_random_state,0.1483917236328125,0.014181109199888542,0.011688232421875,0.0294342041015625,0.03609466552734375,0.05057525634765625,dataset_7_keyframe_4
full_vs_faithful_shuffled_corrected,1.0853805541992188,0.02285468265408858,0.01641845703125,0.048919677734375,0.06461334228515625,0.10638427734375,dataset_7_keyframe_4
full_vs_faithful_state_reset,0.223480224609375,0.011741674428725068,0.008819580078125,0.0213623046875,0.0272216796875,0.04076385498046875,dataset_2_keyframe_4
full_vs_faithful_shuffled_existing,1.909881591796875,0.02350639301089649,0.01610565185546875,0.05419921875,0.07064056396484375,0.11629486083984375,dataset_2_keyframe_4
full_vs_faithful_zero_state,0.223480224609375,0.011741674428725068,0.008819580078125,0.0213623046875,0.0272216796875,0.04076385498046875,dataset_2_keyframe_4
full_vs_faithful_random_state,0.282012939453125,0.013056969013945778,0.01062774658203125,0.0268402099609375,0.03411865234375,0.0511474609375,dataset_2_keyframe_4
full_vs_faithful_shuffled_corrected,1.9010772705078125,0.021482882744786297,0.01473236083984375,0.043426513671875,0.05776214599609375,0.10916900634765625,dataset_2_keyframe_4
full_vs_faithful_state_reset,0.126739501953125,0.011120430659390031,0.009429931640625,0.021392822265625,0.02593231201171875,0.035858154296875,dataset_3_keyframe_2
full_vs_faithful_shuffled_existing,0.9639358520507812,0.014033397462419132,0.008090972900390625,0.03414154052734375,0.04683685302734375,0.08170318603515625,dataset_3_keyframe_2
full_vs_faithful_zero_state,0.126739501953125,0.011120430659390031,0.009429931640625,0.021392822265625,0.02593231201171875,0.035858154296875,dataset_3_keyframe_2
full_vs_faithful_random_state,0.1356353759765625,0.012603878092117398,0.0105743408203125,0.02599334716796875,0.0314483642578125,0.04327392578125,dataset_3_keyframe_2
full_vs_faithful_shuffled_corrected,0.9566726684570312,0.015265808884465971,0.009674072265625,0.03517913818359375,0.04729461669921875,0.0806427001953125,dataset_3_keyframe_2
