epoch,global_step,learning_rate,total,geometry,correction,error_gate,memory_gate,clean_preservation,clean_pixel_update,clean_frame_update,safety_ranking,update_magnitude,target_error_mean,target_memory_mean,clean_pixel_ratio,clean_frame_ratio,gradient_norm,gate_mean,flow_latency_ms,update_abs_max,validation_raw_epe,validation_refined_epe,validation_oracle_epe,validation_oracle_recovery
0,1205,0.00042307188042020084,0.3426362796566793,0.21856910447238392,0.12393377573843814,0.2591379813633519,0.6696707821980552,0.01879519759143164,0.017689286736577475,0.019901108424891168,0.0037826367077655023,0.02028525450137991,0.07062561102675205,0.38624228610042716,0.2033505402536313,0.9331320391651011,0.4267162307370377,0.031682463206690874,3.1051257214159174,2.484375,0.7873572578335644,0.8217088492931689,0.6991422231907028,-0.3894074473662786
1,2410,0.0012070826984827768,0.31370680442242205,0.1953344790952829,0.10366754829574423,0.24685285346141989,0.6693736093667533,0.07388126024690407,0.06739281653523198,0.08036970373598619,0.015277089346663957,0.08327898152512633,0.07061455869946737,0.38614859531529216,0.20335254141774908,0.933139448739681,0.945774062849674,0.069189453125,2.9126552719307535,3.0,0.7873572578335644,0.7872818943730492,0.6991422231907028,0.000854315376288015
2,3615,0.0018716739841408369,0.299477799527378,0.18350428149907916,0.09375039477256819,0.24592295359526434,0.6690387121374677,0.09030542196203564,0.08199090264212046,0.09861994139015427,0.016995896465488984,0.1039750072842317,0.07068825569081108,0.38642470418664926,0.20335253853644572,0.9331357439523911,0.7297884196043014,0.07707813310425311,2.9128182069260795,3.0,0.7873572578335644,0.8201218450186386,0.6991422231907028,-0.37141726824369165
3,4820,0.0019887845648068705,0.28741140019349537,0.17319192468996364,0.08622891210421486,0.2454588404211266,0.6694368275369351,0.09954568401164533,0.08990272090024473,0.10918864726834772,0.01721592111845358,0.11726786631828028,0.07084695020713747,0.3864547118853731,0.20335405992645444,0.933139448739681,0.5518089909956663,0.08459300440871369,2.9135923740319947,3.0,0.7873572578335644,0.8355077262558245,0.6991422231907028,-0.5458306355282548
4,6025,0.0018658707122344853,0.27635820344770595,0.16377644439332217,0.07966272950605238,0.2445816571781744,0.6695614707420475,0.1049401255533161,0.09412708294218507,0.1157531681149827,0.016684278716715788,0.12517626540603974,0.07049785956307565,0.38631123808904305,0.20335177948613384,0.9331357439523911,0.41534190948635213,0.08811703757131743,2.912367648858851,3.0,0.7873572578335644,0.8204687171703033,0.6991422231907028,-0.37534938880646246
5,7230,0.0016232486196810256,0.27102079034098947,0.15934138518151406,0.07594880066595631,0.24399562124394777,0.669806875232839,0.1088890736188384,0.09731128681682946,0.12046686024772181,0.016474701524074518,0.13119539820678006,0.07062793642406147,0.38646254940151675,0.2033564089059335,0.933139448739681,0.37374033715220406,0.08910524993516597,2.9119583325955016,3.0,0.7873572578335644,0.839812786150867,0.6991422231907028,-0.5946325196115239
6,8435,0.0012944613986551297,0.2667256911884205,0.155825629669601,0.07281758364490948,0.24372082159726946,0.6696454123837324,0.1121194469421731,0.09991517137751539,0.12432372246973247,0.016232809675973358,0.13590412162460727,0.0707219733644076,0.3863374705383886,0.20335909659313464,0.933139448739681,0.3348418066919592,0.08940875421421161,2.9124885504467026,3.0,0.7873572578335644,0.824953263641704,0.6991422231907028,-0.42618592125874
7,9640,0.0009249647053232175,0.2599859348718556,0.1500757135110772,0.06847702834554233,0.2435423936586657,0.670199102979478,0.11641916501571528,0.10353675921490084,0.12930157090000097,0.0160587834217489,0.14168128656895823,0.07065433671241975,0.38639410840525173,0.2033593182432701,0.933139448739681,0.30402547179786993,0.09098361320020747,2.9112809713864576,3.0,0.7873572578335644,0.8110719351226384,0.6991422231907028,-0.268828067518002
8,10845,0.000565842382282083,0.2547510048289517,0.14547435320388233,0.06510309860326689,0.244304288422913,0.6710179542604818,0.1200518586205249,0.10636873369518653,0.13373498344075135,0.01586720972318063,0.1468651445451119,0.07075921042640675,0.3861333506977904,0.20335237527289332,0.933139448739681,0.30587561332091256,0.09279552158973028,2.908817171567518,3.0,0.7873572578335644,0.8151101468490517,0.6991422231907028,-0.3146049778004949
9,12050,0.000266743989471764,0.2509085686993302,0.14221096774601838,0.062388319982779966,0.2446119094290674,0.6714087172167924,0.12232759358106313,0.10803918171349403,0.13661600567740523,0.015609014448149447,0.14984555588223628,0.07065991094931033,0.38649421294695113,0.20335454116594742,0.9331320391651011,0.31108579173127643,0.0938956739496888,2.9092313231283953,3.0,0.7873572578335644,0.8020284869858822,0.6991422231907028,-0.16631211688250588
10,13255,6.902062825530119e-05,0.2475260710320532,0.1393000127183451,0.06017378728481249,0.24488853249559758,0.6717250538564816,0.12384424254112719,0.10912225586497437,0.13856622935949026,0.015241553356940569,0.1521250802327983,0.07063324671563272,0.3865236528186877,0.20336476662717914,0.9331357439523911,0.2871194013947026,0.09419532870850622,2.910011106122946,3.0,0.7873572578335644,0.8233187597771435,0.6991422231907028,-0.40765728981651794
11,14460,8.048165419058827e-09,0.24588444174819962,0.1378470909422364,0.059353640163896985,0.24490371760738341,0.6717990703107906,0.12442340460679344,0.10955267139861198,0.13929413766039853,0.01507061227723276,0.15286603688080777,0.07067246246634677,0.3864114453189106,0.20336553874228505,0.933139448739681,0.26731099713269113,0.09438152392375519,2.9103784444671086,3.0,0.7873572578335644,0.8204022530917567,0.6991422231907028,-0.37459595625592634
